Method,Time (ms)
Greedy MKA,0.06475949287414551
Welsh-Powell MKA,0.07541060447692871
CFF-based,0.3974161148071289
"Max-Hamming PKA
(Config 1)",11.94872784614563
"Max-Hamming PKA
(Config 2)",22.51251721382141
