01:01:58.906 - ---------- run=0, count=418 ----------
01:02:01.955 - ---------- run=1, count=141 ----------
01:02:04.830 - ---------- run=2, count=132 ----------
01:02:07.374 - ---------- run=3, count=118 ----------
01:02:10.141 - ---------- run=4, count=128 ----------
01:02:13.182 - ---------- run=5, count=140 ----------
01:02:16.445 - ---------- run=6, count=150 ----------
01:02:19.557 - ---------- run=7, count=143 ----------
01:02:22.435 - ---------- run=8, count=133 ----------
01:02:24.954 - ---------- run=9, count=116 ----------
01:02:27.878 - ---------- run=10, count=135 ----------
01:02:30.793 - ---------- run=11, count=134 ----------
01:02:33.357 - ---------- run=12, count=119 ----------
01:02:36.245 - ---------- run=13, count=133 ----------
01:02:39.397 - ---------- run=14, count=146 ----------
01:02:42.227 - ---------- run=15, count=130 ----------
01:02:45.090 - ---------- run=16, count=132 ----------
01:02:48.099 - ---------- run=17, count=139 ----------
01:02:50.684 - ---------- run=18, count=120 ----------
01:02:53.801 - ---------- run=19, count=143 ----------
01:02:56.989 - ---------- run=20, count=147 ----------
01:02:59.916 - ---------- run=21, count=135 ----------
01:03:03.180 - ---------- run=22, count=150 ----------
01:03:06.513 - ---------- run=23, count=154 ----------
01:03:09.575 - ---------- run=24, count=141 ----------
01:03:13.105 - ---------- run=25, count=162 ----------
01:03:16.189 - ---------- run=26, count=142 ----------
01:03:19.450 - ---------- run=27, count=150 ----------
01:03:22.839 - ---------- run=28, count=156 ----------
01:03:26.188 - ---------- run=29, count=154 ----------
01:03:29.187 - ---------- run=30, count=138 ----------
01:03:32.049 - ---------- run=31, count=132 ----------
01:03:34.898 - ---------- run=32, count=132 ----------
01:03:38.670 - ---------- run=33, count=173 ----------
01:03:41.744 - ---------- run=34, count=142 ----------
01:03:45.175 - ---------- run=35, count=158 ----------
01:03:48.057 - ---------- run=36, count=133 ----------
01:03:51.478 - ---------- run=37, count=157 ----------
01:03:54.442 - ---------- run=38, count=137 ----------
01:03:57.385 - ---------- run=39, count=135 ----------
01:04:00.333 - ---------- run=40, count=136 ----------
01:04:03.281 - ---------- run=41, count=136 ----------
01:04:06.478 - ---------- run=42, count=148 ----------
01:04:09.638 - ---------- run=43, count=145 ----------
01:04:12.905 - ---------- run=44, count=151 ----------
01:04:15.798 - ---------- run=45, count=133 ----------
01:04:18.802 - ---------- run=46, count=139 ----------
01:04:22.012 - ---------- run=47, count=148 ----------
01:04:25.246 - ---------- run=48, count=149 ----------
01:04:28.123 - ---------- run=49, count=132 ----------
01:04:30.958 - ---------- run=50, count=131 ----------
01:04:34.168 - ---------- run=51, count=148 ----------
01:04:37.527 - ---------- run=52, count=155 ----------
01:04:40.349 - ---------- run=53, count=130 ----------
01:04:43.678 - ---------- run=54, count=153 ----------
01:04:47.387 - ---------- run=55, count=171 ----------
01:04:50.306 - ---------- run=56, count=134 ----------
01:04:53.571 - ---------- run=57, count=151 ----------
01:04:56.483 - ---------- run=58, count=134 ----------
01:04:58.828 - ---------- run=59, count=108 ----------
01:05:01.750 - ---------- run=60, count=135 ----------
01:05:05.173 - ---------- run=61, count=158 ----------
01:05:08.297 - ---------- run=62, count=143 ----------
01:05:11.544 - ---------- run=63, count=150 ----------
01:05:14.357 - ---------- run=64, count=130 ----------
01:05:17.559 - ---------- run=65, count=147 ----------
01:05:20.197 - ---------- run=66, count=122 ----------
01:05:23.364 - ---------- run=67, count=146 ----------
01:05:26.453 - ---------- run=68, count=142 ----------
01:05:28.873 - ---------- run=69, count=112 ----------
01:05:32.166 - ---------- run=70, count=152 ----------
01:05:35.041 - ---------- run=71, count=132 ----------
01:05:38.195 - ---------- run=72, count=146 ----------
01:05:41.392 - ---------- run=73, count=147 ----------
01:05:43.919 - ---------- run=74, count=117 ----------
01:05:46.976 - ---------- run=75, count=141 ----------
01:05:50.444 - ---------- run=76, count=159 ----------
01:05:53.495 - ---------- run=77, count=141 ----------
01:05:56.884 - ---------- run=78, count=155 ----------
01:06:00.457 - ---------- run=79, count=165 ----------
01:06:03.634 - ---------- run=80, count=146 ----------
01:06:06.636 - ---------- run=81, count=139 ----------
01:06:09.598 - ---------- run=82, count=136 ----------
01:06:12.223 - ---------- run=83, count=121 ----------
01:06:15.736 - ---------- run=84, count=162 ----------
01:06:18.620 - ---------- run=85, count=133 ----------
01:06:21.322 - ---------- run=86, count=125 ----------
01:06:24.093 - ---------- run=87, count=128 ----------
01:06:27.086 - ---------- run=88, count=138 ----------
01:06:30.358 - ---------- run=89, count=150 ----------
01:06:33.141 - ---------- run=90, count=129 ----------
01:06:35.954 - ---------- run=91, count=129 ----------
01:06:38.693 - ---------- run=92, count=126 ----------
01:06:41.902 - ---------- run=93, count=148 ----------
01:06:44.985 - ---------- run=94, count=142 ----------
