02:31:11.865 - ---------- run=107, buffer_size: 52 ----------
02:31:13.855 - ---------- run=108, buffer_size: 52 ----------
02:31:16.176 - ---------- run=109, buffer_size: 54 ----------
02:31:18.831 - ---------- run=110, buffer_size: 53 ----------
02:31:21.302 - ---------- run=111, buffer_size: 52 ----------
02:31:23.974 - ---------- run=112, buffer_size: 54 ----------
02:31:26.210 - ---------- run=113, buffer_size: 52 ----------
02:31:28.444 - ---------- run=114, buffer_size: 52 ----------
02:31:31.044 - ---------- run=115, buffer_size: 53 ----------
02:31:33.406 - ---------- run=116, buffer_size: 52 ----------
02:31:35.420 - ---------- run=117, buffer_size: 52 ----------
02:31:38.323 - ---------- run=118, buffer_size: 53 ----------
02:31:40.464 - ---------- run=119, buffer_size: 52 ----------
02:31:42.719 - ---------- run=120, buffer_size: 52 ----------
02:31:44.948 - ---------- run=121, buffer_size: 52 ----------
02:31:47.364 - ---------- run=122, buffer_size: 53 ----------
02:31:50.423 - ---------- run=123, buffer_size: 55 ----------
02:31:52.415 - ---------- run=124, buffer_size: 54 ----------
02:31:54.603 - ---------- run=125, buffer_size: 55 ----------
02:31:56.851 - ---------- run=126, buffer_size: 52 ----------
02:31:59.024 - ---------- run=127, buffer_size: 51 ----------
02:32:01.577 - ---------- run=128, buffer_size: 54 ----------
02:32:03.867 - ---------- run=129, buffer_size: 53 ----------
02:32:06.358 - ---------- run=130, buffer_size: 52 ----------
02:32:08.626 - ---------- run=131, buffer_size: 53 ----------
02:32:10.935 - ---------- run=132, buffer_size: 54 ----------
02:32:13.374 - ---------- run=133, buffer_size: 52 ----------
02:32:31.617 - xxxxxxxxxx run=134 failed
02:32:33.983 - ---------- run=135, buffer_size: 52 ----------
02:32:36.535 - ---------- run=136, buffer_size: 54 ----------
02:32:38.725 - ---------- run=137, buffer_size: 53 ----------
02:32:41.145 - ---------- run=138, buffer_size: 54 ----------
02:32:43.416 - ---------- run=139, buffer_size: 53 ----------
02:32:45.451 - ---------- run=140, buffer_size: 52 ----------
02:32:47.684 - ---------- run=141, buffer_size: 53 ----------
02:32:50.215 - ---------- run=142, buffer_size: 52 ----------
02:32:52.660 - ---------- run=143, buffer_size: 52 ----------
02:33:12.511 - xxxxxxxxxx run=144 failed
02:33:14.995 - ---------- run=145, buffer_size: 53 ----------
02:33:16.954 - ---------- run=146, buffer_size: 53 ----------
02:33:19.376 - ---------- run=147, buffer_size: 53 ----------
02:33:21.744 - ---------- run=148, buffer_size: 53 ----------
02:33:24.040 - ---------- run=149, buffer_size: 52 ----------
02:33:26.631 - ---------- run=150, buffer_size: 53 ----------
02:33:29.082 - ---------- run=151, buffer_size: 53 ----------
02:33:47.257 - xxxxxxxxxx run=152 failed
02:33:49.348 - ---------- run=153, buffer_size: 54 ----------
02:33:51.695 - ---------- run=154, buffer_size: 52 ----------
02:33:53.956 - ---------- run=155, buffer_size: 52 ----------
02:33:56.200 - ---------- run=156, buffer_size: 53 ----------
02:33:58.904 - ---------- run=157, buffer_size: 53 ----------
02:34:01.475 - ---------- run=158, buffer_size: 52 ----------
02:34:03.550 - ---------- run=159, buffer_size: 52 ----------
02:34:05.637 - ---------- run=160, buffer_size: 52 ----------
02:34:08.014 - ---------- run=161, buffer_size: 53 ----------
02:34:10.567 - ---------- run=162, buffer_size: 53 ----------
02:34:12.959 - ---------- run=163, buffer_size: 53 ----------
02:34:15.398 - ---------- run=164, buffer_size: 52 ----------
02:34:17.861 - ---------- run=165, buffer_size: 54 ----------
02:34:20.401 - ---------- run=166, buffer_size: 51 ----------
02:34:22.905 - ---------- run=167, buffer_size: 52 ----------
02:34:25.527 - ---------- run=168, buffer_size: 54 ----------
02:34:28.004 - ---------- run=169, buffer_size: 53 ----------
02:34:30.873 - ---------- run=170, buffer_size: 54 ----------
02:34:33.184 - ---------- run=171, buffer_size: 55 ----------
02:34:35.273 - ---------- run=172, buffer_size: 52 ----------
02:34:38.123 - ---------- run=173, buffer_size: 53 ----------
02:34:40.500 - ---------- run=174, buffer_size: 54 ----------
02:34:42.755 - ---------- run=175, buffer_size: 56 ----------
02:35:02.263 - xxxxxxxxxx run=176 failed
02:35:05.001 - ---------- run=177, buffer_size: 53 ----------
