05:26:18.816 - ---------- run=107, buffer_size: 54 ----------
05:26:20.999 - ---------- run=108, buffer_size: 52 ----------
05:26:23.328 - ---------- run=109, buffer_size: 54 ----------
05:26:25.661 - ---------- run=110, buffer_size: 53 ----------
05:26:27.761 - ---------- run=111, buffer_size: 52 ----------
05:26:30.196 - ---------- run=112, buffer_size: 55 ----------
05:26:32.300 - ---------- run=113, buffer_size: 52 ----------
05:26:34.653 - ---------- run=114, buffer_size: 52 ----------
05:26:37.279 - ---------- run=115, buffer_size: 52 ----------
05:26:40.282 - ---------- run=116, buffer_size: 53 ----------
05:26:42.644 - ---------- run=117, buffer_size: 53 ----------
05:26:45.162 - ---------- run=118, buffer_size: 55 ----------
05:26:47.668 - ---------- run=119, buffer_size: 53 ----------
05:26:49.871 - ---------- run=120, buffer_size: 53 ----------
05:26:52.328 - ---------- run=121, buffer_size: 52 ----------
05:26:54.859 - ---------- run=122, buffer_size: 56 ----------
05:26:57.403 - ---------- run=123, buffer_size: 51 ----------
05:27:00.198 - ---------- run=124, buffer_size: 53 ----------
05:27:02.560 - ---------- run=125, buffer_size: 54 ----------
05:27:05.206 - ---------- run=126, buffer_size: 52 ----------
05:27:07.497 - ---------- run=127, buffer_size: 52 ----------
05:27:09.771 - ---------- run=128, buffer_size: 52 ----------
05:27:12.267 - ---------- run=129, buffer_size: 53 ----------
05:27:14.714 - ---------- run=130, buffer_size: 52 ----------
05:27:16.776 - ---------- run=131, buffer_size: 54 ----------
05:27:19.528 - ---------- run=132, buffer_size: 53 ----------
05:27:23.234 - xxxxxxxxxx run=133 failed
05:27:25.926 - ---------- run=134, buffer_size: 54 ----------
05:27:28.206 - ---------- run=135, buffer_size: 52 ----------
05:27:30.765 - ---------- run=136, buffer_size: 53 ----------
05:27:33.480 - ---------- run=137, buffer_size: 54 ----------
05:27:35.717 - ---------- run=138, buffer_size: 52 ----------
05:27:38.184 - ---------- run=139, buffer_size: 53 ----------
05:27:40.655 - ---------- run=140, buffer_size: 54 ----------
05:27:42.780 - ---------- run=141, buffer_size: 53 ----------
05:27:44.877 - ---------- run=142, buffer_size: 52 ----------
05:27:47.532 - ---------- run=143, buffer_size: 55 ----------
05:27:50.144 - ---------- run=144, buffer_size: 53 ----------
05:27:52.556 - ---------- run=145, buffer_size: 53 ----------
05:27:54.943 - ---------- run=146, buffer_size: 52 ----------
05:27:57.672 - ---------- run=147, buffer_size: 53 ----------
05:27:59.993 - ---------- run=148, buffer_size: 55 ----------
05:28:02.707 - ---------- run=149, buffer_size: 53 ----------
05:28:05.671 - ---------- run=150, buffer_size: 53 ----------
05:28:08.005 - ---------- run=151, buffer_size: 52 ----------
05:28:10.325 - ---------- run=152, buffer_size: 53 ----------
05:28:12.882 - ---------- run=153, buffer_size: 53 ----------
05:28:16.740 - xxxxxxxxxx run=154 failed
05:28:19.457 - ---------- run=155, buffer_size: 53 ----------
05:28:21.793 - ---------- run=156, buffer_size: 53 ----------
05:28:24.120 - ---------- run=157, buffer_size: 52 ----------
05:28:28.963 - xxxxxxxxxx run=158 failed
05:28:31.740 - ---------- run=159, buffer_size: 53 ----------
05:28:34.217 - ---------- run=160, buffer_size: 53 ----------
05:28:36.526 - ---------- run=161, buffer_size: 52 ----------
05:28:39.476 - ---------- run=162, buffer_size: 54 ----------
05:28:41.888 - ---------- run=163, buffer_size: 53 ----------
05:28:44.331 - ---------- run=164, buffer_size: 52 ----------
05:28:46.669 - ---------- run=165, buffer_size: 54 ----------
05:28:48.951 - ---------- run=166, buffer_size: 56 ----------
05:28:51.271 - ---------- run=167, buffer_size: 52 ----------
05:28:53.676 - ---------- run=168, buffer_size: 53 ----------
05:28:55.980 - ---------- run=169, buffer_size: 53 ----------
05:28:58.776 - ---------- run=170, buffer_size: 54 ----------
05:29:02.694 - xxxxxxxxxx run=171 failed
05:29:07.124 - xxxxxxxxxx run=172 failed
05:29:09.698 - ---------- run=173, buffer_size: 52 ----------
05:29:13.040 - xxxxxxxxxx run=174 failed
05:29:15.467 - ---------- run=175, buffer_size: 52 ----------
05:29:17.755 - ---------- run=176, buffer_size: 53 ----------
05:29:20.135 - ---------- run=177, buffer_size: 53 ----------
05:29:22.379 - ---------- run=178, buffer_size: 52 ----------
05:29:25.002 - ---------- run=179, buffer_size: 52 ----------
05:29:27.471 - ---------- run=180, buffer_size: 53 ----------
05:29:29.766 - ---------- run=181, buffer_size: 52 ----------
05:29:31.952 - ---------- run=182, buffer_size: 52 ----------
05:29:34.084 - ---------- run=183, buffer_size: 53 ----------
05:29:36.872 - ---------- run=184, buffer_size: 54 ----------
05:29:39.196 - ---------- run=185, buffer_size: 53 ----------
05:29:41.822 - ---------- run=186, buffer_size: 53 ----------
05:29:43.725 - ---------- run=187, buffer_size: 51 ----------
05:29:46.102 - ---------- run=188, buffer_size: 52 ----------
05:29:48.336 - ---------- run=189, buffer_size: 53 ----------
05:29:50.496 - ---------- run=190, buffer_size: 54 ----------
05:29:52.855 - ---------- run=191, buffer_size: 53 ----------
05:29:55.499 - ---------- run=192, buffer_size: 52 ----------
05:29:57.887 - ---------- run=193, buffer_size: 54 ----------
05:30:00.086 - ---------- run=194, buffer_size: 53 ----------
05:30:03.084 - ---------- run=195, buffer_size: 53 ----------
05:30:05.149 - ---------- run=196, buffer_size: 54 ----------
05:30:07.549 - ---------- run=197, buffer_size: 51 ----------
05:30:11.139 - xxxxxxxxxx run=198 failed
05:30:15.564 - xxxxxxxxxx run=199 failed
05:30:17.879 - ---------- run=200, buffer_size: 54 ----------
05:30:20.404 - ---------- run=201, buffer_size: 52 ----------
05:30:22.668 - ---------- run=202, buffer_size: 51 ----------
05:30:25.025 - ---------- run=203, buffer_size: 53 ----------
05:30:27.576 - ---------- run=204, buffer_size: 53 ----------
05:30:29.901 - ---------- run=205, buffer_size: 53 ----------
05:30:32.098 - ---------- run=206, buffer_size: 53 ----------
05:30:34.745 - ---------- run=207, buffer_size: 52 ----------
05:30:37.235 - ---------- run=208, buffer_size: 54 ----------
05:30:39.804 - ---------- run=209, buffer_size: 52 ----------
05:30:42.163 - ---------- run=210, buffer_size: 52 ----------
05:30:44.672 - ---------- run=211, buffer_size: 56 ----------
05:30:47.330 - ---------- run=212, buffer_size: 55 ----------
05:30:49.406 - ---------- run=213, buffer_size: 53 ----------
05:30:51.787 - ---------- run=214, buffer_size: 51 ----------
05:30:54.505 - ---------- run=215, buffer_size: 53 ----------
05:30:56.887 - ---------- run=216, buffer_size: 53 ----------
05:31:00.931 - xxxxxxxxxx run=217 failed
05:31:03.350 - ---------- run=218, buffer_size: 52 ----------
05:31:08.958 - xxxxxxxxxx run=219 failed
05:31:11.380 - ---------- run=220, buffer_size: 52 ----------
05:31:13.426 - ---------- run=221, buffer_size: 52 ----------
05:31:15.550 - ---------- run=222, buffer_size: 52 ----------
05:31:17.982 - ---------- run=223, buffer_size: 53 ----------
05:31:20.192 - ---------- run=224, buffer_size: 53 ----------
05:31:22.437 - ---------- run=225, buffer_size: 52 ----------
05:31:24.679 - ---------- run=226, buffer_size: 52 ----------
05:31:27.439 - ---------- run=227, buffer_size: 53 ----------
05:31:29.457 - ---------- run=228, buffer_size: 54 ----------
05:31:31.737 - ---------- run=229, buffer_size: 51 ----------
05:31:34.313 - ---------- run=230, buffer_size: 53 ----------
05:31:36.808 - ---------- run=231, buffer_size: 52 ----------
05:31:39.276 - ---------- run=232, buffer_size: 54 ----------
05:31:41.437 - ---------- run=233, buffer_size: 51 ----------
05:31:43.995 - ---------- run=234, buffer_size: 52 ----------
05:31:46.394 - ---------- run=235, buffer_size: 52 ----------
05:31:48.615 - ---------- run=236, buffer_size: 54 ----------
05:31:50.653 - ---------- run=237, buffer_size: 53 ----------
05:31:53.027 - ---------- run=238, buffer_size: 52 ----------
05:31:55.858 - ---------- run=239, buffer_size: 54 ----------
05:31:58.228 - ---------- run=240, buffer_size: 53 ----------
05:32:00.481 - ---------- run=241, buffer_size: 54 ----------
05:32:03.059 - ---------- run=242, buffer_size: 54 ----------
05:32:05.487 - ---------- run=243, buffer_size: 53 ----------
05:32:07.605 - ---------- run=244, buffer_size: 52 ----------
05:32:10.091 - ---------- run=245, buffer_size: 53 ----------
05:32:12.707 - ---------- run=246, buffer_size: 53 ----------
05:32:15.203 - ---------- run=247, buffer_size: 52 ----------
05:32:17.648 - ---------- run=248, buffer_size: 52 ----------
05:32:19.905 - ---------- run=249, buffer_size: 52 ----------
05:32:22.341 - ---------- run=250, buffer_size: 53 ----------
05:32:24.595 - ---------- run=251, buffer_size: 53 ----------
05:32:27.389 - ---------- run=252, buffer_size: 54 ----------
05:32:29.918 - ---------- run=253, buffer_size: 55 ----------
05:32:32.863 - ---------- run=254, buffer_size: 56 ----------
05:32:35.115 - ---------- run=255, buffer_size: 52 ----------
05:32:37.602 - ---------- run=256, buffer_size: 51 ----------
05:32:39.934 - ---------- run=257, buffer_size: 52 ----------
05:32:42.589 - ---------- run=258, buffer_size: 53 ----------
05:32:45.031 - ---------- run=259, buffer_size: 56 ----------
05:32:47.985 - ---------- run=260, buffer_size: 56 ----------
05:32:50.243 - ---------- run=261, buffer_size: 55 ----------
05:32:52.692 - ---------- run=262, buffer_size: 52 ----------
05:32:55.195 - ---------- run=263, buffer_size: 54 ----------
05:32:57.423 - ---------- run=264, buffer_size: 51 ----------
05:33:00.169 - ---------- run=265, buffer_size: 53 ----------
05:33:02.364 - ---------- run=266, buffer_size: 54 ----------
05:33:04.749 - ---------- run=267, buffer_size: 52 ----------
05:33:07.022 - ---------- run=268, buffer_size: 52 ----------
05:33:09.390 - ---------- run=269, buffer_size: 53 ----------
05:33:11.478 - ---------- run=270, buffer_size: 52 ----------
05:33:14.160 - ---------- run=271, buffer_size: 53 ----------
05:33:16.506 - ---------- run=272, buffer_size: 52 ----------
