21:34:50.192 - ---------- run=0, buffer_size: 59 ----------
21:34:53.006 - ---------- run=1, buffer_size: 58 ----------
21:34:55.538 - ---------- run=2, buffer_size: 59 ----------
21:34:58.635 - ---------- run=3, buffer_size: 62 ----------
21:35:01.207 - ---------- run=4, buffer_size: 61 ----------
21:35:03.775 - ---------- run=5, buffer_size: 62 ----------
21:35:06.323 - ---------- run=6, buffer_size: 59 ----------
21:35:09.255 - ---------- run=7, buffer_size: 64 ----------
21:35:12.507 - ---------- run=8, buffer_size: 64 ----------
21:35:14.932 - ---------- run=9, buffer_size: 58 ----------
21:35:17.655 - ---------- run=10, buffer_size: 60 ----------
21:35:20.443 - ---------- run=11, buffer_size: 58 ----------
21:35:23.081 - ---------- run=12, buffer_size: 57 ----------
21:35:25.788 - ---------- run=13, buffer_size: 62 ----------
21:35:28.369 - ---------- run=14, buffer_size: 62 ----------
21:35:30.852 - ---------- run=15, buffer_size: 61 ----------
21:35:33.689 - ---------- run=16, buffer_size: 63 ----------
21:35:37.291 - ---------- run=17, buffer_size: 72 ----------
21:35:40.461 - ---------- run=18, buffer_size: 62 ----------
21:35:43.467 - ---------- run=19, buffer_size: 61 ----------
21:35:46.404 - ---------- run=20, buffer_size: 60 ----------
21:35:48.969 - ---------- run=21, buffer_size: 63 ----------
21:35:51.379 - ---------- run=22, buffer_size: 59 ----------
21:35:54.190 - ---------- run=23, buffer_size: 59 ----------
21:35:56.899 - ---------- run=24, buffer_size: 64 ----------
21:35:59.595 - ---------- run=25, buffer_size: 61 ----------
21:36:02.316 - ---------- run=26, buffer_size: 63 ----------
21:36:04.588 - ---------- run=27, buffer_size: 59 ----------
21:36:07.430 - ---------- run=28, buffer_size: 61 ----------
21:36:09.954 - ---------- run=29, buffer_size: 60 ----------
21:36:12.958 - ---------- run=30, buffer_size: 59 ----------
21:36:16.153 - ---------- run=31, buffer_size: 62 ----------
21:36:18.491 - ---------- run=32, buffer_size: 55 ----------
21:36:21.070 - ---------- run=33, buffer_size: 61 ----------
21:36:23.453 - ---------- run=34, buffer_size: 62 ----------
21:36:26.090 - ---------- run=35, buffer_size: 63 ----------
21:36:28.581 - ---------- run=36, buffer_size: 63 ----------
21:36:31.334 - ---------- run=37, buffer_size: 62 ----------
21:36:33.981 - ---------- run=38, buffer_size: 59 ----------
21:36:36.752 - ---------- run=39, buffer_size: 57 ----------
21:36:40.074 - ---------- run=40, buffer_size: 64 ----------
21:36:42.615 - ---------- run=41, buffer_size: 64 ----------
21:36:45.584 - ---------- run=42, buffer_size: 59 ----------
21:36:48.108 - ---------- run=43, buffer_size: 62 ----------
21:36:51.376 - ---------- run=44, buffer_size: 59 ----------
21:36:53.690 - ---------- run=45, buffer_size: 60 ----------
21:36:56.346 - ---------- run=46, buffer_size: 60 ----------
21:36:58.676 - ---------- run=47, buffer_size: 56 ----------
21:37:01.374 - ---------- run=48, buffer_size: 59 ----------
21:37:04.503 - ---------- run=49, buffer_size: 64 ----------
