07:43:09.429 - ---------- run=0, count=260 ----------
07:43:12.726 - ---------- run=1, count=152 ----------
07:43:15.738 - ---------- run=2, count=139 ----------
07:43:18.833 - ---------- run=3, count=142 ----------
07:43:21.517 - ---------- run=4, count=124 ----------
07:43:24.148 - ---------- run=5, count=122 ----------
07:43:27.127 - ---------- run=6, count=137 ----------
07:43:30.196 - ---------- run=7, count=141 ----------
07:43:33.543 - ---------- run=8, count=154 ----------
07:43:36.765 - ---------- run=9, count=149 ----------
07:43:39.290 - ---------- run=10, count=116 ----------
07:43:42.277 - ---------- run=11, count=138 ----------
07:43:45.605 - ---------- run=12, count=153 ----------
07:43:48.164 - ---------- run=13, count=119 ----------
07:43:51.201 - ---------- run=14, count=140 ----------
07:43:54.224 - ---------- run=15, count=139 ----------
07:43:57.299 - ---------- run=16, count=142 ----------
07:44:00.980 - ---------- run=17, count=169 ----------
07:44:03.663 - ---------- run=18, count=124 ----------
07:44:06.281 - ---------- run=19, count=121 ----------
07:44:08.963 - ---------- run=20, count=123 ----------
07:44:11.531 - ---------- run=21, count=119 ----------
07:44:15.033 - ---------- run=22, count=161 ----------
07:44:18.136 - ---------- run=23, count=143 ----------
07:44:21.087 - ---------- run=24, count=136 ----------
07:44:23.920 - ---------- run=25, count=131 ----------
07:44:26.951 - ---------- run=26, count=139 ----------
07:44:30.279 - ---------- run=27, count=154 ----------
07:44:33.175 - ---------- run=28, count=133 ----------
07:44:36.492 - ---------- run=29, count=153 ----------
07:44:39.651 - ---------- run=30, count=145 ----------
07:44:42.750 - ---------- run=31, count=143 ----------
07:44:45.565 - ---------- run=32, count=130 ----------
07:44:48.483 - ---------- run=33, count=134 ----------
07:44:51.449 - ---------- run=34, count=136 ----------
07:44:54.157 - ---------- run=35, count=125 ----------
07:44:57.072 - ---------- run=36, count=135 ----------
07:44:59.582 - ---------- run=37, count=116 ----------
07:45:02.826 - ---------- run=38, count=149 ----------
07:45:05.887 - ---------- run=39, count=141 ----------
07:45:08.888 - ---------- run=40, count=138 ----------
07:45:11.455 - ---------- run=41, count=119 ----------
07:45:14.271 - ---------- run=42, count=130 ----------
07:45:17.290 - ---------- run=43, count=139 ----------
07:45:20.309 - ---------- run=44, count=139 ----------
07:45:23.469 - ---------- run=45, count=146 ----------
07:45:26.221 - ---------- run=46, count=127 ----------
07:45:29.305 - ---------- run=47, count=142 ----------
07:45:32.169 - ---------- run=48, count=132 ----------
07:45:35.516 - ---------- run=49, count=154 ----------
07:45:38.587 - ---------- run=50, count=141 ----------
07:45:41.374 - ---------- run=51, count=129 ----------
07:45:44.246 - ---------- run=52, count=132 ----------
07:45:47.301 - ---------- run=53, count=141 ----------
07:45:50.552 - ---------- run=54, count=150 ----------
07:45:53.514 - ---------- run=55, count=136 ----------
07:45:56.687 - ---------- run=56, count=147 ----------
07:45:59.338 - ---------- run=57, count=122 ----------
07:46:02.314 - ---------- run=58, count=137 ----------
07:46:05.434 - ---------- run=59, count=144 ----------
07:46:08.511 - ---------- run=60, count=142 ----------
07:46:11.674 - ---------- run=61, count=145 ----------
07:46:14.735 - ---------- run=62, count=141 ----------
07:46:17.506 - ---------- run=63, count=128 ----------
07:46:20.419 - ---------- run=64, count=135 ----------
07:46:23.227 - ---------- run=65, count=129 ----------
07:46:26.227 - ---------- run=66, count=138 ----------
07:46:29.215 - ---------- run=67, count=138 ----------
07:46:32.050 - ---------- run=68, count=131 ----------
07:46:35.220 - ---------- run=69, count=146 ----------
07:46:38.114 - ---------- run=70, count=133 ----------
07:46:41.091 - ---------- run=71, count=138 ----------
07:46:44.243 - ---------- run=72, count=145 ----------
07:46:46.786 - ---------- run=73, count=117 ----------
07:46:49.631 - ---------- run=74, count=131 ----------
07:46:52.496 - ---------- run=75, count=132 ----------
07:46:55.533 - ---------- run=76, count=140 ----------
07:46:58.901 - ---------- run=77, count=155 ----------
07:47:01.687 - ---------- run=78, count=128 ----------
07:47:04.740 - ---------- run=79, count=141 ----------
07:47:07.369 - ---------- run=80, count=121 ----------
07:47:10.283 - ---------- run=81, count=135 ----------
07:47:13.333 - ---------- run=82, count=140 ----------
07:47:16.405 - ---------- run=83, count=142 ----------
07:47:19.466 - ---------- run=84, count=141 ----------
07:47:22.017 - ---------- run=85, count=118 ----------
07:47:25.303 - ---------- run=86, count=151 ----------
07:47:28.075 - ---------- run=87, count=128 ----------
07:47:31.568 - ---------- run=88, count=160 ----------
07:47:34.670 - ---------- run=89, count=143 ----------
07:47:37.477 - ---------- run=90, count=130 ----------
07:47:39.995 - ---------- run=91, count=117 ----------
07:47:42.900 - ---------- run=92, count=134 ----------
07:47:45.660 - ---------- run=93, count=130 ----------
07:47:48.902 - ---------- run=94, count=149 ----------
07:47:51.863 - ---------- run=95, count=136 ----------
07:47:54.289 - ---------- run=96, count=113 ----------
07:47:57.721 - ---------- run=97, count=158 ----------
07:48:00.651 - ---------- run=98, count=135 ----------
07:48:03.275 - ---------- run=99, count=121 ----------
07:48:06.486 - ---------- run=100, count=148 ----------
07:48:09.167 - ---------- run=101, count=124 ----------
07:48:11.990 - ---------- run=102, count=130 ----------
07:48:14.779 - ---------- run=103, count=129 ----------
07:48:17.596 - ---------- run=104, count=130 ----------
07:48:21.178 - ---------- run=105, count=164 ----------
07:48:24.462 - ---------- run=106, count=152 ----------
07:48:27.421 - ---------- run=107, count=136 ----------
07:48:30.346 - ---------- run=108, count=135 ----------
07:48:33.324 - ---------- run=109, count=137 ----------
07:48:36.093 - ---------- run=110, count=128 ----------
07:48:38.806 - ---------- run=111, count=125 ----------
07:48:41.389 - ---------- run=112, count=119 ----------
07:48:44.553 - ---------- run=113, count=146 ----------
07:48:47.952 - ---------- run=114, count=157 ----------
07:48:51.042 - ---------- run=115, count=142 ----------
07:48:53.910 - ---------- run=116, count=132 ----------
07:48:57.034 - ---------- run=117, count=144 ----------
07:48:59.850 - ---------- run=118, count=130 ----------
07:49:02.751 - ---------- run=119, count=134 ----------
07:49:05.508 - ---------- run=120, count=127 ----------
07:49:08.564 - ---------- run=121, count=141 ----------
07:49:11.523 - ---------- run=122, count=137 ----------
07:49:14.328 - ---------- run=123, count=129 ----------
07:49:17.513 - ---------- run=124, count=147 ----------
07:49:20.363 - ---------- run=125, count=131 ----------
07:49:23.538 - ---------- run=126, count=146 ----------
07:49:26.173 - ---------- run=127, count=122 ----------
07:49:29.526 - ---------- run=128, count=154 ----------
07:49:32.136 - ---------- run=129, count=121 ----------
07:49:34.920 - ---------- run=130, count=129 ----------
07:49:37.950 - ---------- run=131, count=139 ----------
07:49:40.562 - ---------- run=132, count=121 ----------
07:49:43.765 - ---------- run=133, count=147 ----------
07:49:46.729 - ---------- run=134, count=137 ----------
07:49:49.513 - ---------- run=135, count=128 ----------
07:49:52.477 - ---------- run=136, count=137 ----------
07:49:55.709 - ---------- run=137, count=149 ----------
07:49:58.269 - ---------- run=138, count=118 ----------
07:50:01.123 - ---------- run=139, count=132 ----------
07:50:03.914 - ---------- run=140, count=128 ----------
07:50:07.676 - ---------- run=141, count=173 ----------
07:50:10.842 - ---------- run=142, count=146 ----------
07:50:14.000 - ---------- run=143, count=145 ----------
07:50:17.292 - ---------- run=144, count=152 ----------
07:50:20.427 - ---------- run=145, count=144 ----------
07:50:23.667 - ---------- run=146, count=150 ----------
07:50:26.884 - ---------- run=147, count=148 ----------
07:50:30.175 - ---------- run=148, count=151 ----------
07:50:33.409 - ---------- run=149, count=149 ----------
07:50:36.755 - ---------- run=150, count=154 ----------
07:50:39.691 - ---------- run=151, count=135 ----------
07:50:42.214 - ---------- run=152, count=116 ----------
07:50:45.147 - ---------- run=153, count=135 ----------
07:50:48.293 - ---------- run=154, count=145 ----------
07:50:51.017 - ---------- run=155, count=126 ----------
07:50:54.341 - ---------- run=156, count=153 ----------
07:50:57.214 - ---------- run=157, count=132 ----------
07:51:00.227 - ---------- run=158, count=138 ----------
07:51:03.185 - ---------- run=159, count=137 ----------
07:51:06.622 - ---------- run=160, count=158 ----------
07:51:09.965 - ---------- run=161, count=153 ----------
07:51:12.578 - ---------- run=162, count=121 ----------
07:51:15.418 - ---------- run=163, count=131 ----------
07:51:18.414 - ---------- run=164, count=138 ----------
07:51:21.312 - ---------- run=165, count=133 ----------
07:51:23.949 - ---------- run=166, count=122 ----------
07:51:27.041 - ---------- run=167, count=143 ----------
07:51:29.991 - ---------- run=168, count=136 ----------
07:51:32.600 - ---------- run=169, count=120 ----------
07:51:35.665 - ---------- run=170, count=141 ----------
07:51:38.857 - ---------- run=171, count=147 ----------
07:51:41.673 - ---------- run=172, count=130 ----------
07:51:44.686 - ---------- run=173, count=139 ----------
07:51:47.639 - ---------- run=174, count=136 ----------
07:51:51.534 - ---------- run=175, count=179 ----------
07:51:54.251 - ---------- run=176, count=125 ----------
07:51:57.263 - ---------- run=177, count=139 ----------
07:52:00.219 - ---------- run=178, count=136 ----------
07:52:03.533 - ---------- run=179, count=153 ----------
07:52:06.901 - ---------- run=180, count=155 ----------
07:52:09.975 - ---------- run=181, count=142 ----------
07:52:13.012 - ---------- run=182, count=139 ----------
07:52:16.238 - ---------- run=183, count=149 ----------
07:52:19.635 - ---------- run=184, count=156 ----------
07:52:22.763 - ---------- run=185, count=144 ----------
07:52:25.172 - ---------- run=186, count=111 ----------
07:52:27.583 - ---------- run=187, count=111 ----------
07:52:30.539 - ---------- run=188, count=137 ----------
07:52:33.429 - ---------- run=189, count=133 ----------
07:52:36.256 - ---------- run=190, count=130 ----------
07:52:39.005 - ---------- run=191, count=127 ----------
07:52:42.357 - ---------- run=192, count=154 ----------
07:52:45.302 - ---------- run=193, count=135 ----------
07:52:48.469 - ---------- run=194, count=146 ----------
07:52:51.369 - ---------- run=195, count=134 ----------
