05:39:17.757 - ---------- run=0, buffer_size: 51 ----------
05:39:19.998 - ---------- run=1, buffer_size: 53 ----------
05:39:22.464 - ---------- run=2, buffer_size: 52 ----------
05:39:24.660 - ---------- run=3, buffer_size: 52 ----------
05:39:26.937 - ---------- run=4, buffer_size: 53 ----------
05:39:29.481 - ---------- run=5, buffer_size: 54 ----------
05:39:32.110 - ---------- run=6, buffer_size: 52 ----------
05:39:34.613 - ---------- run=7, buffer_size: 52 ----------
05:39:37.028 - ---------- run=8, buffer_size: 53 ----------
05:39:39.828 - ---------- run=9, buffer_size: 54 ----------
05:39:42.120 - ---------- run=10, buffer_size: 51 ----------
05:39:44.591 - ---------- run=11, buffer_size: 53 ----------
05:39:46.885 - ---------- run=12, buffer_size: 52 ----------
05:39:49.255 - ---------- run=13, buffer_size: 53 ----------
05:39:51.761 - ---------- run=14, buffer_size: 54 ----------
05:39:53.960 - ---------- run=15, buffer_size: 53 ----------
05:39:56.646 - ---------- run=16, buffer_size: 52 ----------
05:39:59.349 - ---------- run=17, buffer_size: 54 ----------
05:40:01.931 - ---------- run=18, buffer_size: 53 ----------
05:40:03.752 - ---------- run=19, buffer_size: 53 ----------
05:40:06.353 - ---------- run=20, buffer_size: 53 ----------
05:40:08.800 - ---------- run=21, buffer_size: 53 ----------
05:40:11.451 - ---------- run=22, buffer_size: 53 ----------
05:40:13.919 - ---------- run=23, buffer_size: 52 ----------
05:40:16.259 - ---------- run=24, buffer_size: 53 ----------
05:40:18.685 - ---------- run=25, buffer_size: 53 ----------
05:40:21.029 - ---------- run=26, buffer_size: 52 ----------
05:40:23.723 - ---------- run=27, buffer_size: 52 ----------
05:40:26.596 - ---------- run=28, buffer_size: 52 ----------
05:40:28.882 - ---------- run=29, buffer_size: 52 ----------
05:40:31.125 - ---------- run=30, buffer_size: 53 ----------
05:40:34.252 - ---------- run=31, buffer_size: 53 ----------
05:40:36.453 - ---------- run=32, buffer_size: 53 ----------
05:40:38.661 - ---------- run=33, buffer_size: 53 ----------
05:40:41.196 - ---------- run=34, buffer_size: 54 ----------
05:40:43.583 - ---------- run=35, buffer_size: 53 ----------
05:40:45.935 - ---------- run=36, buffer_size: 52 ----------
05:40:48.180 - ---------- run=37, buffer_size: 53 ----------
05:40:50.800 - ---------- run=38, buffer_size: 54 ----------
05:40:53.481 - ---------- run=39, buffer_size: 53 ----------
05:40:55.649 - ---------- run=40, buffer_size: 53 ----------
05:40:58.246 - ---------- run=41, buffer_size: 52 ----------
05:41:00.740 - ---------- run=42, buffer_size: 53 ----------
05:41:02.907 - ---------- run=43, buffer_size: 52 ----------
05:41:05.333 - ---------- run=44, buffer_size: 53 ----------
05:41:08.015 - ---------- run=45, buffer_size: 54 ----------
05:41:10.566 - ---------- run=46, buffer_size: 54 ----------
05:41:13.158 - ---------- run=47, buffer_size: 53 ----------
05:41:15.713 - ---------- run=48, buffer_size: 52 ----------
05:41:17.957 - ---------- run=49, buffer_size: 53 ----------
05:41:20.064 - ---------- run=50, buffer_size: 53 ----------
05:41:22.598 - ---------- run=51, buffer_size: 52 ----------
05:41:25.058 - ---------- run=52, buffer_size: 53 ----------
05:41:27.432 - ---------- run=53, buffer_size: 52 ----------
05:41:29.557 - ---------- run=54, buffer_size: 54 ----------
05:41:31.861 - ---------- run=55, buffer_size: 52 ----------
