02:39:07.973 - ---------- run=0, buffer_size: 53 ----------
02:39:20.924 - ---------- run=1, buffer_size: 52 ----------
02:39:23.353 - ---------- run=2, buffer_size: 53 ----------
02:39:25.709 - ---------- run=3, buffer_size: 52 ----------
02:39:28.124 - ---------- run=4, buffer_size: 52 ----------
02:39:30.574 - ---------- run=5, buffer_size: 52 ----------
02:39:32.992 - ---------- run=6, buffer_size: 55 ----------
02:39:35.998 - ---------- run=7, buffer_size: 52 ----------
02:39:38.721 - ---------- run=8, buffer_size: 53 ----------
02:39:41.341 - ---------- run=9, buffer_size: 53 ----------
02:39:43.488 - ---------- run=10, buffer_size: 53 ----------
02:39:45.664 - ---------- run=11, buffer_size: 53 ----------
02:39:47.933 - ---------- run=12, buffer_size: 52 ----------
02:39:50.299 - ---------- run=13, buffer_size: 52 ----------
02:39:53.186 - ---------- run=14, buffer_size: 54 ----------
02:39:55.453 - ---------- run=15, buffer_size: 53 ----------
02:39:57.998 - ---------- run=16, buffer_size: 52 ----------
02:40:00.019 - ---------- run=17, buffer_size: 52 ----------
02:40:02.408 - ---------- run=18, buffer_size: 54 ----------
02:40:04.632 - ---------- run=19, buffer_size: 52 ----------
02:40:06.768 - ---------- run=20, buffer_size: 52 ----------
02:40:09.196 - ---------- run=21, buffer_size: 54 ----------
02:40:16.587 - ---------- run=22, buffer_size: 54 ----------
02:40:18.909 - ---------- run=23, buffer_size: 52 ----------
02:40:21.739 - ---------- run=24, buffer_size: 54 ----------
02:40:24.177 - ---------- run=25, buffer_size: 53 ----------
02:40:26.401 - ---------- run=26, buffer_size: 53 ----------
02:40:28.742 - ---------- run=27, buffer_size: 53 ----------
02:40:31.357 - ---------- run=28, buffer_size: 53 ----------
02:40:33.779 - ---------- run=29, buffer_size: 53 ----------
02:40:36.133 - ---------- run=30, buffer_size: 52 ----------
02:40:38.712 - ---------- run=31, buffer_size: 54 ----------
02:40:41.165 - ---------- run=32, buffer_size: 52 ----------
02:40:43.511 - ---------- run=33, buffer_size: 54 ----------
02:40:46.064 - ---------- run=34, buffer_size: 53 ----------
02:40:48.527 - ---------- run=35, buffer_size: 52 ----------
02:40:50.776 - ---------- run=36, buffer_size: 55 ----------
02:40:53.386 - ---------- run=37, buffer_size: 55 ----------
02:40:55.890 - ---------- run=38, buffer_size: 53 ----------
02:40:58.008 - ---------- run=39, buffer_size: 53 ----------
02:41:00.267 - ---------- run=40, buffer_size: 54 ----------
02:41:02.308 - ---------- run=41, buffer_size: 53 ----------
02:41:04.880 - ---------- run=42, buffer_size: 55 ----------
02:41:07.262 - ---------- run=43, buffer_size: 52 ----------
02:41:10.353 - ---------- run=44, buffer_size: 55 ----------
02:41:12.867 - ---------- run=45, buffer_size: 54 ----------
02:41:25.188 - xxxxxxxxxx run=46 failed
02:41:27.628 - ---------- run=47, buffer_size: 53 ----------
02:41:30.618 - ---------- run=48, buffer_size: 53 ----------
02:41:33.453 - ---------- run=49, buffer_size: 54 ----------
02:41:35.877 - ---------- run=50, buffer_size: 54 ----------
02:41:38.688 - ---------- run=51, buffer_size: 57 ----------
02:41:41.540 - ---------- run=52, buffer_size: 53 ----------
02:41:43.855 - ---------- run=53, buffer_size: 52 ----------
02:41:46.093 - ---------- run=54, buffer_size: 52 ----------
02:41:48.059 - ---------- run=55, buffer_size: 52 ----------
02:41:50.724 - ---------- run=56, buffer_size: 52 ----------
02:41:53.317 - ---------- run=57, buffer_size: 55 ----------
02:41:55.663 - ---------- run=58, buffer_size: 52 ----------
02:41:57.850 - ---------- run=59, buffer_size: 52 ----------
02:42:00.551 - ---------- run=60, buffer_size: 53 ----------
02:42:02.828 - ---------- run=61, buffer_size: 53 ----------
02:42:05.322 - ---------- run=62, buffer_size: 53 ----------
02:42:07.600 - ---------- run=63, buffer_size: 53 ----------
02:42:09.918 - ---------- run=64, buffer_size: 52 ----------
02:42:12.074 - ---------- run=65, buffer_size: 54 ----------
02:42:14.488 - ---------- run=66, buffer_size: 53 ----------
02:42:21.507 - ---------- run=67, buffer_size: 52 ----------
02:42:24.016 - ---------- run=68, buffer_size: 53 ----------
02:42:31.928 - ---------- run=69, buffer_size: 53 ----------
02:42:34.506 - ---------- run=70, buffer_size: 54 ----------
02:42:42.587 - ---------- run=71, buffer_size: 53 ----------
02:42:44.951 - ---------- run=72, buffer_size: 53 ----------
02:42:47.209 - ---------- run=73, buffer_size: 53 ----------
02:42:49.708 - ---------- run=74, buffer_size: 52 ----------
02:42:51.961 - ---------- run=75, buffer_size: 52 ----------
02:42:54.451 - ---------- run=76, buffer_size: 53 ----------
02:42:56.729 - ---------- run=77, buffer_size: 52 ----------
02:42:59.138 - ---------- run=78, buffer_size: 53 ----------
02:43:02.059 - ---------- run=79, buffer_size: 55 ----------
02:43:04.412 - ---------- run=80, buffer_size: 53 ----------
02:43:06.645 - ---------- run=81, buffer_size: 52 ----------
02:43:09.399 - ---------- run=82, buffer_size: 56 ----------
02:43:27.664 - ---------- run=83, buffer_size: 51 ----------
02:43:29.931 - ---------- run=84, buffer_size: 51 ----------
02:43:32.423 - ---------- run=85, buffer_size: 53 ----------
02:43:34.883 - ---------- run=86, buffer_size: 54 ----------
02:43:37.629 - ---------- run=87, buffer_size: 52 ----------
02:43:40.192 - ---------- run=88, buffer_size: 53 ----------
02:43:42.951 - ---------- run=89, buffer_size: 53 ----------
02:43:45.437 - ---------- run=90, buffer_size: 52 ----------
02:43:47.822 - ---------- run=91, buffer_size: 52 ----------
