00:04:40.822 - ---------- run=0, count=234 ----------
00:04:43.382 - ---------- run=1, count=116 ----------
00:04:45.539 - ---------- run=2, count=98 ----------
00:04:47.932 - ---------- run=3, count=109 ----------
00:04:50.561 - ---------- run=4, count=119 ----------
00:04:53.752 - ---------- run=5, count=145 ----------
00:04:55.885 - ---------- run=6, count=97 ----------
00:04:58.211 - ---------- run=7, count=105 ----------
00:05:00.706 - ---------- run=8, count=113 ----------
00:05:03.356 - ---------- run=9, count=121 ----------
00:05:05.579 - ---------- run=10, count=100 ----------
00:05:08.371 - ---------- run=11, count=127 ----------
00:05:11.097 - ---------- run=12, count=124 ----------
00:05:13.600 - ---------- run=13, count=113 ----------
00:05:15.798 - ---------- run=14, count=100 ----------
00:05:17.944 - ---------- run=15, count=97 ----------
00:05:20.385 - ---------- run=16, count=111 ----------
00:05:22.660 - ---------- run=17, count=103 ----------
00:05:24.659 - ---------- run=18, count=91 ----------
00:05:27.010 - ---------- run=19, count=107 ----------
00:05:29.594 - ---------- run=20, count=117 ----------
00:05:32.067 - ---------- run=21, count=112 ----------
00:05:34.266 - ---------- run=22, count=100 ----------
00:05:37.308 - ---------- run=23, count=138 ----------
00:05:39.362 - ---------- run=24, count=93 ----------
00:05:41.924 - ---------- run=25, count=116 ----------
00:05:44.047 - ---------- run=26, count=96 ----------
00:05:46.372 - ---------- run=27, count=105 ----------
00:05:48.490 - ---------- run=28, count=96 ----------
00:05:50.776 - ---------- run=29, count=104 ----------
00:05:53.271 - ---------- run=30, count=113 ----------
00:05:55.631 - ---------- run=31, count=107 ----------
00:05:58.032 - ---------- run=32, count=109 ----------
00:06:00.412 - ---------- run=33, count=108 ----------
00:06:02.806 - ---------- run=34, count=109 ----------
00:06:05.314 - ---------- run=35, count=114 ----------
00:06:07.771 - ---------- run=36, count=111 ----------
00:06:10.076 - ---------- run=37, count=105 ----------
00:06:12.768 - ---------- run=38, count=122 ----------
00:06:15.447 - ---------- run=39, count=121 ----------
00:06:18.326 - ---------- run=40, count=131 ----------
00:06:20.599 - ---------- run=41, count=103 ----------
00:06:23.212 - ---------- run=42, count=118 ----------
00:06:25.864 - ---------- run=43, count=121 ----------
00:06:28.435 - ---------- run=44, count=119 ----------
00:06:30.742 - ---------- run=45, count=106 ----------
00:06:32.680 - ---------- run=46, count=90 ----------
00:06:35.631 - ---------- run=47, count=136 ----------
00:06:37.947 - ---------- run=48, count=106 ----------
00:06:40.924 - ---------- run=49, count=136 ----------
00:06:43.116 - ---------- run=50, count=101 ----------
00:06:45.905 - ---------- run=51, count=127 ----------
00:06:48.237 - ---------- run=52, count=106 ----------
00:06:50.357 - ---------- run=53, count=98 ----------
00:06:52.307 - ---------- run=54, count=89 ----------
00:06:54.999 - ---------- run=55, count=124 ----------
00:06:57.435 - ---------- run=56, count=112 ----------
00:07:00.019 - ---------- run=57, count=120 ----------
00:07:02.581 - ---------- run=58, count=117 ----------
00:07:04.899 - ---------- run=59, count=107 ----------
00:07:07.327 - ---------- run=60, count=111 ----------
00:07:09.905 - ---------- run=61, count=119 ----------
00:07:12.408 - ---------- run=62, count=114 ----------
00:07:14.813 - ---------- run=63, count=110 ----------
00:07:17.414 - ---------- run=64, count=118 ----------
00:07:19.567 - ---------- run=65, count=98 ----------
00:07:22.063 - ---------- run=66, count=113 ----------
00:07:24.600 - ---------- run=67, count=116 ----------
00:07:27.293 - ---------- run=68, count=122 ----------
00:07:29.636 - ---------- run=69, count=106 ----------
00:07:32.072 - ---------- run=70, count=111 ----------
00:07:34.546 - ---------- run=71, count=113 ----------
00:07:36.698 - ---------- run=72, count=97 ----------
00:07:39.497 - ---------- run=73, count=127 ----------
00:07:41.873 - ---------- run=74, count=108 ----------
00:07:44.511 - ---------- run=75, count=120 ----------
00:07:46.684 - ---------- run=76, count=99 ----------
00:07:49.003 - ---------- run=77, count=105 ----------
00:07:50.846 - ---------- run=78, count=84 ----------
00:07:53.436 - ---------- run=79, count=118 ----------
00:07:56.074 - ---------- run=80, count=120 ----------
00:07:58.220 - ---------- run=81, count=97 ----------
00:08:00.549 - ---------- run=82, count=106 ----------
00:08:02.774 - ---------- run=83, count=101 ----------
00:08:05.094 - ---------- run=84, count=105 ----------
00:08:07.305 - ---------- run=85, count=101 ----------
00:08:10.008 - ---------- run=86, count=123 ----------
00:08:12.806 - ---------- run=87, count=127 ----------
00:08:15.016 - ---------- run=88, count=100 ----------
00:08:17.362 - ---------- run=89, count=107 ----------
00:08:19.859 - ---------- run=90, count=113 ----------
00:08:22.024 - ---------- run=91, count=99 ----------
00:08:24.834 - ---------- run=92, count=127 ----------
00:08:27.512 - ---------- run=93, count=122 ----------
00:08:29.839 - ---------- run=94, count=106 ----------
00:08:32.284 - ---------- run=95, count=111 ----------
00:08:34.834 - ---------- run=96, count=116 ----------
00:08:37.340 - ---------- run=97, count=113 ----------
00:08:39.454 - ---------- run=98, count=96 ----------
00:08:41.492 - ---------- run=99, count=93 ----------
00:08:44.003 - ---------- run=100, count=114 ----------
00:08:46.411 - ---------- run=101, count=109 ----------
00:08:48.487 - ---------- run=102, count=95 ----------
00:08:50.755 - ---------- run=103, count=103 ----------
00:08:53.369 - ---------- run=104, count=118 ----------
00:08:55.660 - ---------- run=105, count=104 ----------
00:08:58.230 - ---------- run=106, count=117 ----------
00:09:00.828 - ---------- run=107, count=118 ----------
00:09:02.970 - ---------- run=108, count=97 ----------
00:09:05.636 - ---------- run=109, count=121 ----------
00:09:08.130 - ---------- run=110, count=114 ----------
00:09:10.582 - ---------- run=111, count=111 ----------
00:09:12.744 - ---------- run=112, count=98 ----------
00:09:15.270 - ---------- run=113, count=115 ----------
00:09:17.479 - ---------- run=114, count=101 ----------
00:09:20.079 - ---------- run=115, count=118 ----------
00:09:22.446 - ---------- run=116, count=107 ----------
00:09:24.583 - ---------- run=117, count=97 ----------
00:09:27.273 - ---------- run=118, count=123 ----------
00:09:29.912 - ---------- run=119, count=120 ----------
00:09:32.002 - ---------- run=120, count=95 ----------
00:09:34.309 - ---------- run=121, count=105 ----------
00:09:36.449 - ---------- run=122, count=97 ----------
00:09:39.021 - ---------- run=123, count=117 ----------
00:09:41.368 - ---------- run=124, count=107 ----------
00:09:44.073 - ---------- run=125, count=122 ----------
00:09:46.533 - ---------- run=126, count=112 ----------
00:09:49.144 - ---------- run=127, count=119 ----------
00:09:51.139 - ---------- run=128, count=90 ----------
00:09:53.729 - ---------- run=129, count=118 ----------
00:09:56.297 - ---------- run=130, count=117 ----------
00:09:58.958 - ---------- run=131, count=121 ----------
00:10:01.067 - ---------- run=132, count=95 ----------
00:10:03.621 - ---------- run=133, count=116 ----------
00:10:06.071 - ---------- run=134, count=112 ----------
00:10:08.345 - ---------- run=135, count=103 ----------
00:10:10.583 - ---------- run=136, count=102 ----------
00:10:12.707 - ---------- run=137, count=96 ----------
00:10:15.060 - ---------- run=138, count=107 ----------
00:10:17.168 - ---------- run=139, count=96 ----------
00:10:19.555 - ---------- run=140, count=108 ----------
00:10:21.724 - ---------- run=141, count=99 ----------
00:10:23.995 - ---------- run=142, count=103 ----------
00:10:27.013 - ---------- run=143, count=137 ----------
00:10:29.348 - ---------- run=144, count=106 ----------
00:10:31.970 - ---------- run=145, count=119 ----------
00:10:34.318 - ---------- run=146, count=107 ----------
00:10:36.457 - ---------- run=147, count=97 ----------
00:10:39.052 - ---------- run=148, count=118 ----------
00:10:41.205 - ---------- run=149, count=98 ----------
00:10:43.556 - ---------- run=150, count=107 ----------
00:10:45.756 - ---------- run=151, count=99 ----------
00:10:48.312 - ---------- run=152, count=116 ----------
00:10:50.592 - ---------- run=153, count=103 ----------
00:10:52.880 - ---------- run=154, count=104 ----------
00:10:55.060 - ---------- run=155, count=99 ----------
00:10:57.509 - ---------- run=156, count=112 ----------
00:10:59.628 - ---------- run=157, count=96 ----------
00:11:02.163 - ---------- run=158, count=115 ----------
00:11:04.471 - ---------- run=159, count=105 ----------
00:11:06.690 - ---------- run=160, count=101 ----------
00:11:09.054 - ---------- run=161, count=107 ----------
00:11:11.964 - ---------- run=162, count=132 ----------
00:11:14.342 - ---------- run=163, count=109 ----------
00:11:16.637 - ---------- run=164, count=104 ----------
00:11:19.208 - ---------- run=165, count=117 ----------
00:11:21.706 - ---------- run=166, count=113 ----------
00:11:23.906 - ---------- run=167, count=100 ----------
00:11:26.325 - ---------- run=168, count=110 ----------
00:11:28.542 - ---------- run=169, count=101 ----------
00:11:30.919 - ---------- run=170, count=108 ----------
00:11:33.099 - ---------- run=171, count=99 ----------
00:11:35.288 - ---------- run=172, count=99 ----------
00:11:37.651 - ---------- run=173, count=108 ----------
00:11:40.296 - ---------- run=174, count=120 ----------
00:11:42.342 - ---------- run=175, count=93 ----------
00:11:44.796 - ---------- run=176, count=111 ----------
00:11:46.753 - ---------- run=177, count=89 ----------
00:11:49.202 - ---------- run=178, count=112 ----------
00:11:51.287 - ---------- run=179, count=94 ----------
00:11:53.352 - ---------- run=180, count=94 ----------
00:11:55.822 - ---------- run=181, count=112 ----------
00:11:58.097 - ---------- run=182, count=104 ----------
00:12:00.810 - ---------- run=183, count=123 ----------
00:12:03.212 - ---------- run=184, count=109 ----------
00:12:05.287 - ---------- run=185, count=94 ----------
00:12:07.666 - ---------- run=186, count=108 ----------
00:12:09.624 - ---------- run=187, count=89 ----------
00:12:12.281 - ---------- run=188, count=121 ----------
00:12:14.565 - ---------- run=189, count=104 ----------
00:12:16.653 - ---------- run=190, count=95 ----------
00:12:18.703 - ---------- run=191, count=93 ----------
00:12:21.178 - ---------- run=192, count=112 ----------
00:12:23.854 - ---------- run=193, count=122 ----------
00:12:26.088 - ---------- run=194, count=102 ----------
00:12:28.088 - ---------- run=195, count=90 ----------
00:12:30.196 - ---------- run=196, count=96 ----------
00:12:32.422 - ---------- run=197, count=101 ----------
00:12:34.671 - ---------- run=198, count=102 ----------
00:12:37.049 - ---------- run=199, count=108 ----------
00:12:39.196 - ---------- run=200, count=98 ----------
00:12:41.542 - ---------- run=201, count=106 ----------
00:12:44.149 - ---------- run=202, count=119 ----------
00:12:46.714 - ---------- run=203, count=116 ----------
00:12:49.231 - ---------- run=204, count=114 ----------
00:12:51.986 - ---------- run=205, count=126 ----------
00:12:54.257 - ---------- run=206, count=103 ----------
00:12:56.603 - ---------- run=207, count=106 ----------
00:12:58.962 - ---------- run=208, count=107 ----------
00:13:00.969 - ---------- run=209, count=92 ----------
00:13:03.570 - ---------- run=210, count=118 ----------
00:13:05.888 - ---------- run=211, count=105 ----------
00:13:08.240 - ---------- run=212, count=107 ----------
00:13:10.809 - ---------- run=213, count=116 ----------
00:13:12.739 - ---------- run=214, count=88 ----------
00:13:15.311 - ---------- run=215, count=116 ----------
00:13:17.602 - ---------- run=216, count=103 ----------
00:13:20.001 - ---------- run=217, count=109 ----------
00:13:22.370 - ---------- run=218, count=108 ----------
00:13:24.797 - ---------- run=219, count=110 ----------
00:13:27.256 - ---------- run=220, count=112 ----------
00:13:29.641 - ---------- run=221, count=108 ----------
00:13:32.141 - ---------- run=222, count=113 ----------
00:13:34.503 - ---------- run=223, count=107 ----------
00:13:36.564 - ---------- run=224, count=94 ----------
00:13:39.402 - ---------- run=225, count=129 ----------
00:13:41.682 - ---------- run=226, count=103 ----------
00:13:44.309 - ---------- run=227, count=119 ----------
00:13:46.455 - ---------- run=228, count=97 ----------
00:13:48.693 - ---------- run=229, count=102 ----------
