00:09:06.918 - ---------- run=0, buffer_size: 52 ----------
00:09:09.091 - ---------- run=1, buffer_size: 55 ----------
00:09:11.536 - ---------- run=2, buffer_size: 53 ----------
00:09:13.624 - ---------- run=3, buffer_size: 52 ----------
00:09:16.012 - ---------- run=4, buffer_size: 53 ----------
00:09:18.914 - ---------- run=5, buffer_size: 54 ----------
00:09:25.923 - ---------- run=6, buffer_size: 52 ----------
00:09:32.988 - ---------- run=7, buffer_size: 51 ----------
00:09:58.795 - ---------- run=8, buffer_size: 51 ----------
00:10:01.183 - ---------- run=9, buffer_size: 53 ----------
00:10:03.640 - ---------- run=10, buffer_size: 53 ----------
00:10:05.922 - ---------- run=11, buffer_size: 53 ----------
00:10:08.263 - ---------- run=12, buffer_size: 54 ----------
00:10:10.662 - ---------- run=13, buffer_size: 54 ----------
00:10:12.654 - ---------- run=14, buffer_size: 55 ----------
00:10:14.713 - ---------- run=15, buffer_size: 52 ----------
00:10:17.277 - ---------- run=16, buffer_size: 54 ----------
00:10:19.689 - ---------- run=17, buffer_size: 52 ----------
00:10:21.971 - ---------- run=18, buffer_size: 54 ----------
00:10:24.139 - ---------- run=19, buffer_size: 54 ----------
00:10:26.602 - ---------- run=20, buffer_size: 53 ----------
00:10:28.772 - ---------- run=21, buffer_size: 52 ----------
00:10:30.994 - ---------- run=22, buffer_size: 53 ----------
00:10:33.136 - ---------- run=23, buffer_size: 52 ----------
00:10:35.421 - ---------- run=24, buffer_size: 53 ----------
00:10:37.698 - ---------- run=25, buffer_size: 54 ----------
00:10:40.090 - ---------- run=26, buffer_size: 53 ----------
00:10:42.534 - ---------- run=27, buffer_size: 53 ----------
00:10:44.612 - ---------- run=28, buffer_size: 52 ----------
00:10:46.632 - ---------- run=29, buffer_size: 54 ----------
00:10:48.695 - ---------- run=30, buffer_size: 54 ----------
00:10:50.917 - ---------- run=31, buffer_size: 53 ----------
00:10:52.955 - ---------- run=32, buffer_size: 52 ----------
00:10:55.338 - ---------- run=33, buffer_size: 54 ----------
00:10:57.786 - ---------- run=34, buffer_size: 52 ----------
00:11:00.277 - ---------- run=35, buffer_size: 56 ----------
00:11:02.684 - ---------- run=36, buffer_size: 52 ----------
00:11:05.350 - ---------- run=37, buffer_size: 54 ----------
00:11:07.661 - ---------- run=38, buffer_size: 52 ----------
00:11:09.748 - ---------- run=39, buffer_size: 53 ----------
00:11:11.959 - ---------- run=40, buffer_size: 52 ----------
00:11:14.483 - ---------- run=41, buffer_size: 56 ----------
00:11:16.809 - ---------- run=42, buffer_size: 53 ----------
00:11:19.186 - ---------- run=43, buffer_size: 53 ----------
00:11:21.739 - ---------- run=44, buffer_size: 53 ----------
00:11:23.900 - ---------- run=45, buffer_size: 53 ----------
00:11:26.200 - ---------- run=46, buffer_size: 52 ----------
00:11:28.757 - ---------- run=47, buffer_size: 53 ----------
