00:39:46.172 - ---------- run=0, buffer_size: 50 ----------
00:39:49.224 - ---------- run=1, buffer_size: 70 ----------
00:39:52.173 - ---------- run=2, buffer_size: 65 ----------
00:39:55.105 - ---------- run=3, buffer_size: 69 ----------
00:39:57.908 - ---------- run=4, buffer_size: 63 ----------
00:40:01.121 - ---------- run=5, buffer_size: 65 ----------
00:40:03.891 - ---------- run=6, buffer_size: 62 ----------
00:40:07.072 - ---------- run=7, buffer_size: 63 ----------
00:40:09.795 - ---------- run=8, buffer_size: 62 ----------
00:40:13.028 - ---------- run=9, buffer_size: 67 ----------
00:40:15.759 - ---------- run=10, buffer_size: 63 ----------
00:40:19.011 - ---------- run=11, buffer_size: 68 ----------
00:40:22.193 - ---------- run=12, buffer_size: 70 ----------
00:40:24.955 - ---------- run=13, buffer_size: 65 ----------
00:40:35.007 - ---------- run=14, buffer_size: 71 ----------
00:40:37.956 - ---------- run=15, buffer_size: 70 ----------
00:40:45.408 - ---------- run=16, buffer_size: 68 ----------
00:40:49.529 - ---------- run=17, buffer_size: 67 ----------
00:41:02.336 - ---------- run=18, buffer_size: 57 ----------
00:41:05.194 - ---------- run=19, buffer_size: 66 ----------
00:41:08.127 - ---------- run=20, buffer_size: 64 ----------
00:41:10.940 - ---------- run=21, buffer_size: 70 ----------
00:41:13.890 - ---------- run=22, buffer_size: 66 ----------
00:41:16.958 - ---------- run=23, buffer_size: 69 ----------
00:41:20.097 - ---------- run=24, buffer_size: 71 ----------
00:41:22.463 - ---------- run=25, buffer_size: 60 ----------
00:41:25.412 - ---------- run=26, buffer_size: 63 ----------
00:41:28.949 - ---------- run=27, buffer_size: 71 ----------
00:41:31.488 - ---------- run=28, buffer_size: 62 ----------
00:41:34.104 - ---------- run=29, buffer_size: 61 ----------
00:41:36.928 - ---------- run=30, buffer_size: 66 ----------
00:42:21.406 - xxxxxxxxxx run=31 failed
00:42:24.613 - ---------- run=32, buffer_size: 66 ----------
00:42:27.842 - ---------- run=33, buffer_size: 64 ----------
00:42:30.625 - ---------- run=34, buffer_size: 63 ----------
00:42:44.682 - ---------- run=35, buffer_size: 64 ----------
00:42:47.642 - ---------- run=36, buffer_size: 63 ----------
00:42:50.146 - ---------- run=37, buffer_size: 66 ----------
00:42:53.424 - ---------- run=38, buffer_size: 70 ----------
00:42:56.688 - ---------- run=39, buffer_size: 66 ----------
00:42:59.328 - ---------- run=40, buffer_size: 61 ----------
00:43:02.294 - ---------- run=41, buffer_size: 65 ----------
00:43:04.903 - ---------- run=42, buffer_size: 62 ----------
00:43:07.714 - ---------- run=43, buffer_size: 64 ----------
00:43:10.868 - ---------- run=44, buffer_size: 67 ----------
00:43:14.204 - ---------- run=45, buffer_size: 67 ----------
00:43:16.861 - ---------- run=46, buffer_size: 64 ----------
00:43:20.222 - ---------- run=47, buffer_size: 65 ----------
00:43:23.684 - ---------- run=48, buffer_size: 71 ----------
00:43:26.809 - ---------- run=49, buffer_size: 64 ----------
00:43:29.426 - ---------- run=50, buffer_size: 66 ----------
00:43:32.501 - ---------- run=51, buffer_size: 71 ----------
00:43:35.947 - ---------- run=52, buffer_size: 67 ----------
00:43:38.812 - ---------- run=53, buffer_size: 65 ----------
00:43:41.453 - ---------- run=54, buffer_size: 67 ----------
00:43:49.643 - ---------- run=55, buffer_size: 67 ----------
00:43:52.545 - ---------- run=56, buffer_size: 66 ----------
00:43:55.428 - ---------- run=57, buffer_size: 66 ----------
00:43:58.140 - ---------- run=58, buffer_size: 65 ----------
00:44:01.094 - ---------- run=59, buffer_size: 66 ----------
00:44:04.321 - ---------- run=60, buffer_size: 67 ----------
00:44:07.612 - ---------- run=61, buffer_size: 69 ----------
00:44:10.460 - ---------- run=62, buffer_size: 71 ----------
00:44:13.613 - ---------- run=63, buffer_size: 68 ----------
00:44:51.308 - ---------- run=64, buffer_size: 51 ----------
00:45:00.169 - ---------- run=65, buffer_size: 64 ----------
00:45:03.051 - ---------- run=66, buffer_size: 66 ----------
00:45:06.129 - ---------- run=67, buffer_size: 68 ----------
00:45:09.056 - ---------- run=68, buffer_size: 65 ----------
00:45:11.983 - ---------- run=69, buffer_size: 67 ----------
00:45:14.990 - ---------- run=70, buffer_size: 68 ----------
00:45:18.032 - ---------- run=71, buffer_size: 68 ----------
00:45:20.870 - ---------- run=72, buffer_size: 68 ----------
00:45:23.629 - ---------- run=73, buffer_size: 63 ----------
00:45:27.196 - ---------- run=74, buffer_size: 64 ----------
00:45:29.764 - ---------- run=75, buffer_size: 65 ----------
00:45:32.726 - ---------- run=76, buffer_size: 66 ----------
00:45:36.027 - ---------- run=77, buffer_size: 68 ----------
00:45:39.116 - ---------- run=78, buffer_size: 70 ----------
00:45:42.026 - ---------- run=79, buffer_size: 63 ----------
00:45:53.848 - ---------- run=80, buffer_size: 61 ----------
00:45:56.970 - ---------- run=81, buffer_size: 67 ----------
00:46:00.288 - ---------- run=82, buffer_size: 69 ----------
00:46:02.718 - ---------- run=83, buffer_size: 63 ----------
00:46:05.935 - ---------- run=84, buffer_size: 66 ----------
00:46:09.072 - ---------- run=85, buffer_size: 66 ----------
00:46:12.248 - ---------- run=86, buffer_size: 67 ----------
00:46:14.942 - ---------- run=87, buffer_size: 62 ----------
00:47:20.469 - ---------- run=88, buffer_size: 54 ----------
00:47:23.511 - ---------- run=89, buffer_size: 71 ----------
00:47:27.017 - ---------- run=90, buffer_size: 74 ----------
00:47:29.563 - ---------- run=91, buffer_size: 65 ----------
00:47:32.602 - ---------- run=92, buffer_size: 71 ----------
00:47:36.122 - ---------- run=93, buffer_size: 67 ----------
00:47:39.383 - ---------- run=94, buffer_size: 72 ----------
00:47:42.204 - ---------- run=95, buffer_size: 68 ----------
00:47:45.223 - ---------- run=96, buffer_size: 67 ----------
00:47:47.727 - ---------- run=97, buffer_size: 63 ----------
00:47:51.004 - ---------- run=98, buffer_size: 67 ----------
00:47:54.187 - ---------- run=99, buffer_size: 67 ----------
00:47:56.972 - ---------- run=100, buffer_size: 67 ----------
00:47:59.632 - ---------- run=101, buffer_size: 66 ----------
00:48:02.099 - ---------- run=102, buffer_size: 64 ----------
00:48:05.103 - ---------- run=103, buffer_size: 70 ----------
00:48:07.806 - ---------- run=104, buffer_size: 65 ----------
00:48:11.020 - ---------- run=105, buffer_size: 72 ----------
00:48:14.200 - ---------- run=106, buffer_size: 69 ----------
00:48:17.073 - ---------- run=107, buffer_size: 68 ----------
00:48:20.149 - ---------- run=108, buffer_size: 68 ----------
00:48:23.221 - ---------- run=109, buffer_size: 71 ----------
00:48:25.837 - ---------- run=110, buffer_size: 62 ----------
00:48:44.608 - ---------- run=111, buffer_size: 63 ----------
00:48:47.473 - ---------- run=112, buffer_size: 65 ----------
00:48:50.358 - ---------- run=113, buffer_size: 68 ----------
00:48:53.605 - ---------- run=114, buffer_size: 67 ----------
00:48:56.598 - ---------- run=115, buffer_size: 61 ----------
00:49:00.099 - ---------- run=116, buffer_size: 70 ----------
00:49:03.395 - ---------- run=117, buffer_size: 64 ----------
00:49:05.917 - ---------- run=118, buffer_size: 66 ----------
00:49:08.832 - ---------- run=119, buffer_size: 65 ----------
00:49:11.848 - ---------- run=120, buffer_size: 68 ----------
00:49:14.655 - ---------- run=121, buffer_size: 66 ----------
00:49:17.927 - ---------- run=122, buffer_size: 66 ----------
00:49:20.822 - ---------- run=123, buffer_size: 66 ----------
00:49:23.955 - ---------- run=124, buffer_size: 74 ----------
00:49:27.043 - ---------- run=125, buffer_size: 69 ----------
00:49:29.606 - ---------- run=126, buffer_size: 65 ----------
00:49:37.711 - ---------- run=127, buffer_size: 65 ----------
00:49:40.504 - ---------- run=128, buffer_size: 66 ----------
00:49:43.225 - ---------- run=129, buffer_size: 64 ----------
00:49:46.018 - ---------- run=130, buffer_size: 66 ----------
00:49:49.534 - ---------- run=131, buffer_size: 67 ----------
00:49:53.025 - ---------- run=132, buffer_size: 64 ----------
00:49:56.027 - ---------- run=133, buffer_size: 66 ----------
00:49:59.180 - ---------- run=134, buffer_size: 68 ----------
00:50:02.080 - ---------- run=135, buffer_size: 64 ----------
00:50:04.928 - ---------- run=136, buffer_size: 65 ----------
00:50:07.587 - ---------- run=137, buffer_size: 62 ----------
00:50:10.239 - ---------- run=138, buffer_size: 67 ----------
00:50:13.140 - ---------- run=139, buffer_size: 66 ----------
00:50:16.440 - ---------- run=140, buffer_size: 67 ----------
00:50:19.427 - ---------- run=141, buffer_size: 69 ----------
00:50:22.476 - ---------- run=142, buffer_size: 67 ----------
00:50:25.214 - ---------- run=143, buffer_size: 64 ----------
00:50:28.652 - ---------- run=144, buffer_size: 62 ----------
00:50:31.561 - ---------- run=145, buffer_size: 67 ----------
00:50:34.527 - ---------- run=146, buffer_size: 67 ----------
00:50:37.352 - ---------- run=147, buffer_size: 67 ----------
00:50:40.445 - ---------- run=148, buffer_size: 66 ----------
00:50:43.560 - ---------- run=149, buffer_size: 73 ----------
00:50:46.296 - ---------- run=150, buffer_size: 65 ----------
00:50:48.912 - ---------- run=151, buffer_size: 62 ----------
00:50:51.291 - ---------- run=152, buffer_size: 64 ----------
00:50:54.430 - ---------- run=153, buffer_size: 67 ----------
00:50:57.376 - ---------- run=154, buffer_size: 70 ----------
00:51:00.469 - ---------- run=155, buffer_size: 66 ----------
00:51:03.454 - ---------- run=156, buffer_size: 67 ----------
00:51:06.269 - ---------- run=157, buffer_size: 66 ----------
00:51:09.857 - ---------- run=158, buffer_size: 74 ----------
00:51:12.918 - ---------- run=159, buffer_size: 68 ----------
