00:34:21.806 - ---------- run=107, buffer_size: 54 ----------
00:34:24.041 - ---------- run=108, buffer_size: 53 ----------
00:34:26.439 - ---------- run=109, buffer_size: 53 ----------
00:34:28.902 - ---------- run=110, buffer_size: 54 ----------
00:34:31.568 - ---------- run=111, buffer_size: 54 ----------
00:34:34.268 - ---------- run=112, buffer_size: 53 ----------
00:34:36.585 - ---------- run=113, buffer_size: 54 ----------
00:34:39.057 - ---------- run=114, buffer_size: 55 ----------
00:34:42.030 - ---------- run=115, buffer_size: 54 ----------
00:34:44.388 - ---------- run=116, buffer_size: 54 ----------
00:34:46.730 - ---------- run=117, buffer_size: 53 ----------
00:34:49.332 - ---------- run=118, buffer_size: 56 ----------
00:34:51.902 - ---------- run=119, buffer_size: 54 ----------
00:34:54.240 - ---------- run=120, buffer_size: 54 ----------
00:34:57.196 - ---------- run=121, buffer_size: 55 ----------
00:34:59.466 - ---------- run=122, buffer_size: 52 ----------
00:35:01.867 - ---------- run=123, buffer_size: 53 ----------
00:35:04.399 - ---------- run=124, buffer_size: 53 ----------
00:35:06.908 - ---------- run=125, buffer_size: 54 ----------
00:35:09.060 - ---------- run=126, buffer_size: 54 ----------
00:35:11.110 - ---------- run=127, buffer_size: 52 ----------
00:35:13.098 - ---------- run=128, buffer_size: 53 ----------
00:35:16.100 - ---------- run=129, buffer_size: 55 ----------
00:35:18.986 - ---------- run=130, buffer_size: 55 ----------
00:35:21.625 - ---------- run=131, buffer_size: 56 ----------
00:35:24.061 - ---------- run=132, buffer_size: 54 ----------
00:35:26.229 - ---------- run=133, buffer_size: 53 ----------
00:35:28.621 - ---------- run=134, buffer_size: 54 ----------
00:35:31.270 - ---------- run=135, buffer_size: 54 ----------
00:35:33.687 - ---------- run=136, buffer_size: 55 ----------
00:35:35.712 - ---------- run=137, buffer_size: 54 ----------
00:35:38.683 - ---------- run=138, buffer_size: 55 ----------
00:35:41.284 - ---------- run=139, buffer_size: 53 ----------
00:35:43.810 - ---------- run=140, buffer_size: 57 ----------
00:35:45.870 - ---------- run=141, buffer_size: 54 ----------
00:35:48.153 - ---------- run=142, buffer_size: 54 ----------
00:35:50.462 - ---------- run=143, buffer_size: 53 ----------
00:35:53.086 - ---------- run=144, buffer_size: 53 ----------
00:35:55.897 - ---------- run=145, buffer_size: 54 ----------
00:35:58.416 - ---------- run=146, buffer_size: 56 ----------
00:36:00.667 - ---------- run=147, buffer_size: 54 ----------
00:36:13.434 - xxxxxxxxxx run=148 failed
00:36:27.050 - xxxxxxxxxx run=149 failed
00:36:29.616 - ---------- run=150, buffer_size: 54 ----------
00:36:31.913 - ---------- run=151, buffer_size: 54 ----------
00:36:34.679 - ---------- run=152, buffer_size: 52 ----------
00:36:37.520 - ---------- run=153, buffer_size: 59 ----------
00:36:40.041 - ---------- run=154, buffer_size: 55 ----------
00:36:42.412 - ---------- run=155, buffer_size: 53 ----------
00:36:44.666 - ---------- run=156, buffer_size: 54 ----------
00:36:46.858 - ---------- run=157, buffer_size: 53 ----------
00:36:49.339 - ---------- run=158, buffer_size: 54 ----------
00:36:52.093 - ---------- run=159, buffer_size: 54 ----------
00:36:54.620 - ---------- run=160, buffer_size: 54 ----------
00:36:56.935 - ---------- run=161, buffer_size: 54 ----------
00:36:59.261 - ---------- run=162, buffer_size: 52 ----------
00:37:01.541 - ---------- run=163, buffer_size: 54 ----------
00:37:04.098 - ---------- run=164, buffer_size: 54 ----------
