22:03:40.572 - ---------- run=0, count=378 ----------
22:03:43.008 - ---------- run=1, count=110 ----------
22:03:45.699 - ---------- run=2, count=123 ----------
22:03:48.201 - ---------- run=3, count=113 ----------
22:03:50.656 - ---------- run=4, count=112 ----------
22:03:53.453 - ---------- run=5, count=127 ----------
22:03:56.135 - ---------- run=6, count=122 ----------
22:03:58.607 - ---------- run=7, count=112 ----------
22:04:01.196 - ---------- run=8, count=118 ----------
22:04:03.583 - ---------- run=9, count=108 ----------
22:04:06.228 - ---------- run=10, count=120 ----------
22:04:08.790 - ---------- run=11, count=116 ----------
22:04:11.089 - ---------- run=12, count=105 ----------
22:04:13.472 - ---------- run=13, count=108 ----------
22:04:16.269 - ---------- run=14, count=127 ----------
22:04:18.432 - ---------- run=15, count=98 ----------
22:04:21.203 - ---------- run=16, count=126 ----------
22:04:23.883 - ---------- run=17, count=122 ----------
22:04:26.590 - ---------- run=18, count=122 ----------
22:04:29.179 - ---------- run=19, count=118 ----------
22:04:31.368 - ---------- run=20, count=99 ----------
22:04:33.696 - ---------- run=21, count=106 ----------
22:04:36.486 - ---------- run=22, count=127 ----------
22:04:38.953 - ---------- run=23, count=112 ----------
22:04:41.357 - ---------- run=24, count=109 ----------
22:04:43.818 - ---------- run=25, count=112 ----------
22:04:46.020 - ---------- run=26, count=100 ----------
22:04:48.171 - ---------- run=27, count=98 ----------
22:04:50.547 - ---------- run=28, count=108 ----------
22:04:52.808 - ---------- run=29, count=102 ----------
22:04:55.537 - ---------- run=30, count=124 ----------
22:05:13.370 - ---------- run=31, count=811 ----------
22:05:15.729 - ---------- run=32, count=107 ----------
22:05:17.839 - ---------- run=33, count=95 ----------
22:05:20.084 - ---------- run=34, count=102 ----------
22:05:22.754 - ---------- run=35, count=122 ----------
22:05:25.116 - ---------- run=36, count=107 ----------
22:05:27.600 - ---------- run=37, count=113 ----------
22:05:29.701 - ---------- run=38, count=96 ----------
22:05:32.156 - ---------- run=39, count=111 ----------
22:05:34.646 - ---------- run=40, count=113 ----------
22:05:37.091 - ---------- run=41, count=111 ----------
22:05:39.483 - ---------- run=42, count=109 ----------
22:05:41.973 - ---------- run=43, count=113 ----------
22:05:44.638 - ---------- run=44, count=121 ----------
22:05:47.165 - ---------- run=45, count=115 ----------
22:05:49.100 - ---------- run=46, count=88 ----------
22:05:51.564 - ---------- run=47, count=112 ----------
22:06:43.194 - ---------- run=48, count=2348 ----------
22:07:17.119 - ---------- run=49, count=1544 ----------
22:07:19.645 - ---------- run=50, count=115 ----------
22:07:21.860 - ---------- run=51, count=100 ----------
22:07:39.789 - ---------- run=52, count=815 ----------
22:07:42.090 - ---------- run=53, count=105 ----------
22:07:44.464 - ---------- run=54, count=108 ----------
22:07:47.014 - ---------- run=55, count=116 ----------
22:07:49.454 - ---------- run=56, count=110 ----------
22:07:52.043 - ---------- run=57, count=118 ----------
22:08:42.086 - ---------- run=58, count=2275 ----------
22:08:44.706 - ---------- run=59, count=119 ----------
22:08:46.957 - ---------- run=60, count=103 ----------
22:08:48.948 - ---------- run=61, count=90 ----------
22:08:51.206 - ---------- run=62, count=102 ----------
22:08:54.064 - ---------- run=63, count=129 ----------
22:08:56.613 - ---------- run=64, count=116 ----------
22:08:59.074 - ---------- run=65, count=112 ----------
22:09:01.292 - ---------- run=66, count=101 ----------
22:09:03.847 - ---------- run=67, count=116 ----------
22:09:06.236 - ---------- run=68, count=109 ----------
22:09:08.943 - ---------- run=69, count=123 ----------
22:09:11.631 - ---------- run=70, count=122 ----------
22:09:13.986 - ---------- run=71, count=107 ----------
22:09:16.441 - ---------- run=72, count=112 ----------
22:09:19.123 - ---------- run=73, count=121 ----------
22:09:21.610 - ---------- run=74, count=113 ----------
22:09:24.351 - ---------- run=75, count=125 ----------
22:09:26.618 - ---------- run=76, count=103 ----------
22:09:28.706 - ---------- run=77, count=95 ----------
22:09:30.747 - ---------- run=78, count=93 ----------
22:09:32.957 - ---------- run=79, count=100 ----------
22:09:35.610 - ---------- run=80, count=121 ----------
22:09:37.829 - ---------- run=81, count=100 ----------
22:09:40.034 - ---------- run=82, count=101 ----------
22:09:42.307 - ---------- run=83, count=103 ----------
22:09:44.451 - ---------- run=84, count=97 ----------
22:09:46.803 - ---------- run=85, count=107 ----------
22:09:49.212 - ---------- run=86, count=110 ----------
22:09:51.748 - ---------- run=87, count=115 ----------
22:09:54.052 - ---------- run=88, count=105 ----------
22:09:56.619 - ---------- run=89, count=117 ----------
22:09:58.591 - ---------- run=90, count=89 ----------
22:10:00.986 - ---------- run=91, count=109 ----------
22:10:03.584 - ---------- run=92, count=118 ----------
22:10:05.843 - ---------- run=93, count=103 ----------
22:10:08.186 - ---------- run=94, count=106 ----------
22:10:10.602 - ---------- run=95, count=110 ----------
22:10:13.025 - ---------- run=96, count=110 ----------
22:10:15.390 - ---------- run=97, count=107 ----------
22:10:17.712 - ---------- run=98, count=106 ----------
22:10:55.382 - ---------- run=99, count=1713 ----------
22:10:58.178 - ---------- run=100, count=127 ----------
22:11:00.691 - ---------- run=101, count=114 ----------
22:11:02.818 - ---------- run=102, count=96 ----------
22:11:05.338 - ---------- run=103, count=115 ----------
22:11:07.655 - ---------- run=104, count=105 ----------
22:11:09.910 - ---------- run=105, count=103 ----------
22:11:12.276 - ---------- run=106, count=107 ----------
22:11:14.459 - ---------- run=107, count=100 ----------
22:11:16.953 - ---------- run=108, count=113 ----------
22:11:18.901 - ---------- run=109, count=89 ----------
22:11:21.233 - ---------- run=110, count=106 ----------
22:11:23.635 - ---------- run=111, count=109 ----------
22:11:26.478 - ---------- run=112, count=129 ----------
22:11:29.222 - ---------- run=113, count=125 ----------
22:11:31.208 - ---------- run=114, count=90 ----------
22:11:33.697 - ---------- run=115, count=113 ----------
22:11:36.280 - ---------- run=116, count=118 ----------
22:11:38.429 - ---------- run=117, count=97 ----------
22:11:40.744 - ---------- run=118, count=106 ----------
22:11:43.049 - ---------- run=119, count=104 ----------
22:11:45.422 - ---------- run=120, count=108 ----------
22:11:47.707 - ---------- run=121, count=104 ----------
22:11:50.258 - ---------- run=122, count=116 ----------
22:11:52.321 - ---------- run=123, count=94 ----------
22:11:54.767 - ---------- run=124, count=111 ----------
22:11:57.284 - ---------- run=125, count=115 ----------
22:11:59.803 - ---------- run=126, count=114 ----------
22:12:02.473 - ---------- run=127, count=121 ----------
22:12:05.303 - ---------- run=128, count=129 ----------
22:12:07.733 - ---------- run=129, count=110 ----------
22:12:09.878 - ---------- run=130, count=98 ----------
22:12:12.460 - ---------- run=131, count=117 ----------
22:12:14.913 - ---------- run=132, count=112 ----------
22:12:17.370 - ---------- run=133, count=112 ----------
22:12:19.589 - ---------- run=134, count=100 ----------
22:12:21.860 - ---------- run=135, count=104 ----------
22:12:24.089 - ---------- run=136, count=101 ----------
22:12:26.347 - ---------- run=137, count=103 ----------
22:12:29.057 - ---------- run=138, count=123 ----------
22:12:31.574 - ---------- run=139, count=114 ----------
22:12:34.336 - ---------- run=140, count=126 ----------
22:12:36.439 - ---------- run=141, count=95 ----------
22:12:39.040 - ---------- run=142, count=118 ----------
22:12:41.533 - ---------- run=143, count=114 ----------
22:12:43.599 - ---------- run=144, count=94 ----------
22:12:46.185 - ---------- run=145, count=117 ----------
22:13:04.045 - ---------- run=146, count=812 ----------
22:13:06.152 - ---------- run=147, count=96 ----------
22:13:08.817 - ---------- run=148, count=121 ----------
22:13:11.507 - ---------- run=149, count=122 ----------
22:13:13.872 - ---------- run=150, count=108 ----------
22:13:16.124 - ---------- run=151, count=102 ----------
22:13:18.307 - ---------- run=152, count=100 ----------
22:13:20.804 - ---------- run=153, count=113 ----------
22:13:23.404 - ---------- run=154, count=118 ----------
22:13:25.955 - ---------- run=155, count=116 ----------
22:13:28.485 - ---------- run=156, count=115 ----------
22:13:31.299 - ---------- run=157, count=128 ----------
22:13:33.930 - ---------- run=158, count=119 ----------
22:13:36.556 - ---------- run=159, count=120 ----------
22:13:39.048 - ---------- run=160, count=113 ----------
22:13:41.504 - ---------- run=161, count=112 ----------
22:13:43.640 - ---------- run=162, count=97 ----------
22:13:46.074 - ---------- run=163, count=110 ----------
22:13:48.523 - ---------- run=164, count=112 ----------
22:13:51.068 - ---------- run=165, count=115 ----------
22:13:53.094 - ---------- run=166, count=92 ----------
22:14:14.538 - ---------- run=167, count=975 ----------
22:14:16.860 - ---------- run=168, count=106 ----------
22:14:19.128 - ---------- run=169, count=103 ----------
22:14:21.969 - ---------- run=170, count=129 ----------
22:14:39.914 - ---------- run=171, count=816 ----------
22:14:42.482 - ---------- run=172, count=117 ----------
22:14:44.664 - ---------- run=173, count=99 ----------
22:14:47.019 - ---------- run=174, count=107 ----------
22:14:49.348 - ---------- run=175, count=106 ----------
22:14:51.774 - ---------- run=176, count=110 ----------
22:14:54.586 - ---------- run=177, count=128 ----------
22:14:57.936 - ---------- run=178, count=152 ----------
22:15:00.470 - ---------- run=179, count=115 ----------
22:15:03.329 - ---------- run=180, count=130 ----------
22:15:06.090 - ---------- run=181, count=125 ----------
22:15:08.381 - ---------- run=182, count=104 ----------
22:15:10.333 - ---------- run=183, count=89 ----------
22:15:12.781 - ---------- run=184, count=111 ----------
22:15:15.014 - ---------- run=185, count=102 ----------
22:15:17.362 - ---------- run=186, count=106 ----------
22:15:19.726 - ---------- run=187, count=108 ----------
22:15:21.785 - ---------- run=188, count=93 ----------
22:15:23.820 - ---------- run=189, count=92 ----------
22:15:26.255 - ---------- run=190, count=110 ----------
22:15:28.681 - ---------- run=191, count=110 ----------
22:15:31.186 - ---------- run=192, count=114 ----------
22:15:33.472 - ---------- run=193, count=104 ----------
22:15:35.718 - ---------- run=194, count=102 ----------
22:15:38.117 - ---------- run=195, count=109 ----------
22:15:40.625 - ---------- run=196, count=114 ----------
22:15:43.457 - ---------- run=197, count=129 ----------
22:15:45.881 - ---------- run=198, count=110 ----------
22:15:48.476 - ---------- run=199, count=118 ----------
22:15:51.127 - ---------- run=200, count=121 ----------
22:15:53.276 - ---------- run=201, count=97 ----------
22:15:55.440 - ---------- run=202, count=98 ----------
22:15:57.788 - ---------- run=203, count=107 ----------
22:16:00.155 - ---------- run=204, count=108 ----------
22:16:02.500 - ---------- run=205, count=106 ----------
22:16:05.051 - ---------- run=206, count=116 ----------
22:16:07.482 - ---------- run=207, count=110 ----------
22:16:09.993 - ---------- run=208, count=115 ----------
22:16:12.513 - ---------- run=209, count=114 ----------
22:16:15.059 - ---------- run=210, count=116 ----------
22:16:17.343 - ---------- run=211, count=104 ----------
22:16:20.134 - ---------- run=212, count=126 ----------
22:16:22.152 - ---------- run=213, count=92 ----------
22:16:24.792 - ---------- run=214, count=120 ----------
22:16:26.957 - ---------- run=215, count=98 ----------
22:16:29.542 - ---------- run=216, count=118 ----------
22:16:47.260 - ---------- run=217, count=805 ----------
22:16:49.553 - ---------- run=218, count=104 ----------
22:16:52.262 - ---------- run=219, count=123 ----------
22:16:54.906 - ---------- run=220, count=120 ----------
22:16:57.362 - ---------- run=221, count=112 ----------
22:17:15.235 - ---------- run=222, count=812 ----------
22:17:17.558 - ---------- run=223, count=106 ----------
22:17:35.201 - ---------- run=224, count=802 ----------
22:17:37.779 - ---------- run=225, count=117 ----------
22:17:40.454 - ---------- run=226, count=122 ----------
22:17:42.689 - ---------- run=227, count=101 ----------
22:17:45.222 - ---------- run=228, count=115 ----------
22:17:47.505 - ---------- run=229, count=104 ----------
22:17:50.078 - ---------- run=230, count=117 ----------
22:17:52.484 - ---------- run=231, count=109 ----------
22:17:54.744 - ---------- run=232, count=103 ----------
22:17:57.307 - ---------- run=233, count=117 ----------
22:17:59.622 - ---------- run=234, count=105 ----------
22:18:01.859 - ---------- run=235, count=102 ----------
22:18:04.358 - ---------- run=236, count=113 ----------
22:18:06.730 - ---------- run=237, count=108 ----------
22:18:48.560 - ---------- run=238, count=1902 ----------
22:18:50.759 - ---------- run=239, count=100 ----------
22:18:52.948 - ---------- run=240, count=100 ----------
22:18:55.118 - ---------- run=241, count=98 ----------
22:18:57.568 - ---------- run=242, count=111 ----------
22:19:00.021 - ---------- run=243, count=112 ----------
22:19:02.279 - ---------- run=244, count=102 ----------
22:19:05.022 - ---------- run=245, count=125 ----------
22:19:07.808 - ---------- run=246, count=127 ----------
22:19:10.036 - ---------- run=247, count=101 ----------
22:19:12.194 - ---------- run=248, count=98 ----------
22:19:14.368 - ---------- run=249, count=99 ----------
22:19:17.041 - ---------- run=250, count=121 ----------
22:19:19.449 - ---------- run=251, count=109 ----------
22:19:21.733 - ---------- run=252, count=104 ----------
22:19:39.971 - ---------- run=253, count=830 ----------
22:19:42.482 - ---------- run=254, count=114 ----------
22:19:44.680 - ---------- run=255, count=99 ----------
22:19:47.340 - ---------- run=256, count=121 ----------
22:19:49.860 - ---------- run=257, count=114 ----------
22:19:52.127 - ---------- run=258, count=103 ----------
22:19:54.632 - ---------- run=259, count=114 ----------
22:19:56.915 - ---------- run=260, count=104 ----------
22:19:59.400 - ---------- run=261, count=113 ----------
22:20:01.981 - ---------- run=262, count=117 ----------
22:20:04.544 - ---------- run=263, count=116 ----------
22:20:06.846 - ---------- run=264, count=105 ----------
22:20:09.461 - ---------- run=265, count=119 ----------
22:20:11.667 - ---------- run=266, count=100 ----------
22:20:14.136 - ---------- run=267, count=112 ----------
22:20:16.645 - ---------- run=268, count=114 ----------
22:20:18.996 - ---------- run=269, count=107 ----------
22:20:21.571 - ---------- run=270, count=117 ----------
22:20:23.939 - ---------- run=271, count=108 ----------
22:20:39.068 - ---------- run=272, count=687 ----------
22:20:41.698 - ---------- run=273, count=119 ----------
22:21:19.132 - ---------- run=274, count=1703 ----------
22:21:21.453 - ---------- run=275, count=105 ----------
22:21:23.903 - ---------- run=276, count=111 ----------
22:21:50.196 - ---------- run=277, count=1195 ----------
22:21:52.179 - ---------- run=278, count=90 ----------
22:21:54.748 - ---------- run=279, count=117 ----------
22:21:57.064 - ---------- run=280, count=105 ----------
22:21:59.374 - ---------- run=281, count=105 ----------
22:22:01.707 - ---------- run=282, count=106 ----------
22:22:04.215 - ---------- run=283, count=114 ----------
22:22:06.367 - ---------- run=284, count=98 ----------
22:22:09.041 - ---------- run=285, count=122 ----------
