23:31:38.193 - ---------- run=106, buffer_size: 53 ----------
23:31:40.507 - ---------- run=107, buffer_size: 51 ----------
23:31:43.087 - ---------- run=108, buffer_size: 52 ----------
23:31:45.521 - ---------- run=109, buffer_size: 55 ----------
23:31:47.817 - ---------- run=110, buffer_size: 52 ----------
23:31:49.804 - ---------- run=111, buffer_size: 52 ----------
23:31:52.185 - ---------- run=112, buffer_size: 53 ----------
23:31:54.359 - ---------- run=113, buffer_size: 53 ----------
23:31:56.548 - ---------- run=114, buffer_size: 52 ----------
23:31:59.131 - ---------- run=115, buffer_size: 54 ----------
23:32:02.075 - ---------- run=116, buffer_size: 56 ----------
23:32:04.008 - ---------- run=117, buffer_size: 52 ----------
23:32:06.281 - ---------- run=118, buffer_size: 52 ----------
23:32:08.971 - ---------- run=119, buffer_size: 53 ----------
23:32:11.293 - ---------- run=120, buffer_size: 52 ----------
23:32:13.522 - ---------- run=121, buffer_size: 55 ----------
23:32:16.184 - ---------- run=122, buffer_size: 54 ----------
23:32:18.488 - ---------- run=123, buffer_size: 53 ----------
23:32:20.590 - ---------- run=124, buffer_size: 53 ----------
23:32:22.793 - ---------- run=125, buffer_size: 51 ----------
23:32:25.255 - ---------- run=126, buffer_size: 53 ----------
23:32:27.418 - ---------- run=127, buffer_size: 53 ----------
23:32:29.969 - ---------- run=128, buffer_size: 53 ----------
23:32:32.294 - ---------- run=129, buffer_size: 51 ----------
23:32:34.749 - ---------- run=130, buffer_size: 54 ----------
23:32:37.224 - ---------- run=131, buffer_size: 53 ----------
23:32:39.913 - ---------- run=132, buffer_size: 52 ----------
23:32:41.815 - ---------- run=133, buffer_size: 52 ----------
23:32:44.114 - ---------- run=134, buffer_size: 55 ----------
23:32:46.453 - ---------- run=135, buffer_size: 52 ----------
23:32:49.386 - ---------- run=136, buffer_size: 54 ----------
23:32:51.893 - ---------- run=137, buffer_size: 54 ----------
23:32:54.292 - ---------- run=138, buffer_size: 54 ----------
23:32:56.852 - ---------- run=139, buffer_size: 53 ----------
23:32:59.511 - ---------- run=140, buffer_size: 52 ----------
23:33:02.010 - ---------- run=141, buffer_size: 53 ----------
23:33:04.618 - ---------- run=142, buffer_size: 51 ----------
23:33:06.930 - ---------- run=143, buffer_size: 55 ----------
23:33:09.023 - ---------- run=144, buffer_size: 52 ----------
23:33:11.356 - ---------- run=145, buffer_size: 52 ----------
23:33:13.743 - ---------- run=146, buffer_size: 53 ----------
23:33:15.999 - ---------- run=147, buffer_size: 52 ----------
23:33:18.428 - ---------- run=148, buffer_size: 54 ----------
23:33:20.885 - ---------- run=149, buffer_size: 53 ----------
23:33:22.953 - ---------- run=150, buffer_size: 53 ----------
23:33:25.376 - ---------- run=151, buffer_size: 53 ----------
23:33:27.477 - ---------- run=152, buffer_size: 52 ----------
23:33:29.766 - ---------- run=153, buffer_size: 52 ----------
23:33:32.155 - ---------- run=154, buffer_size: 52 ----------
23:33:34.535 - ---------- run=155, buffer_size: 54 ----------
23:33:36.638 - ---------- run=156, buffer_size: 54 ----------
23:33:38.562 - ---------- run=157, buffer_size: 53 ----------
23:33:41.174 - ---------- run=158, buffer_size: 53 ----------
23:33:43.420 - ---------- run=159, buffer_size: 54 ----------
23:33:45.649 - ---------- run=160, buffer_size: 52 ----------
23:33:47.911 - ---------- run=161, buffer_size: 53 ----------
23:33:50.579 - ---------- run=162, buffer_size: 55 ----------
23:33:52.849 - ---------- run=163, buffer_size: 53 ----------
23:33:55.265 - ---------- run=164, buffer_size: 53 ----------
23:33:58.013 - ---------- run=165, buffer_size: 54 ----------
23:34:00.572 - ---------- run=166, buffer_size: 54 ----------
23:34:03.012 - ---------- run=167, buffer_size: 54 ----------
23:34:05.616 - ---------- run=168, buffer_size: 53 ----------
23:34:07.787 - ---------- run=169, buffer_size: 54 ----------
23:34:10.154 - ---------- run=170, buffer_size: 52 ----------
23:34:12.282 - ---------- run=171, buffer_size: 54 ----------
23:34:14.738 - ---------- run=172, buffer_size: 53 ----------
23:34:16.881 - ---------- run=173, buffer_size: 52 ----------
23:34:18.924 - ---------- run=174, buffer_size: 53 ----------
23:34:21.428 - ---------- run=175, buffer_size: 54 ----------
23:34:23.855 - ---------- run=176, buffer_size: 52 ----------
23:34:26.140 - ---------- run=177, buffer_size: 52 ----------
23:34:28.558 - ---------- run=178, buffer_size: 52 ----------
23:34:30.854 - ---------- run=179, buffer_size: 52 ----------
23:34:33.270 - ---------- run=180, buffer_size: 53 ----------
23:34:35.540 - ---------- run=181, buffer_size: 54 ----------
23:34:38.083 - ---------- run=182, buffer_size: 53 ----------
23:34:40.376 - ---------- run=183, buffer_size: 52 ----------
23:34:42.588 - ---------- run=184, buffer_size: 51 ----------
23:34:44.689 - ---------- run=185, buffer_size: 52 ----------
23:34:47.395 - ---------- run=186, buffer_size: 52 ----------
23:34:50.259 - ---------- run=187, buffer_size: 54 ----------
23:34:52.621 - ---------- run=188, buffer_size: 52 ----------
23:34:55.197 - ---------- run=189, buffer_size: 52 ----------
23:34:57.357 - ---------- run=190, buffer_size: 52 ----------
23:34:59.716 - ---------- run=191, buffer_size: 52 ----------
23:35:01.980 - ---------- run=192, buffer_size: 54 ----------
23:35:04.125 - ---------- run=193, buffer_size: 51 ----------
23:35:06.814 - ---------- run=194, buffer_size: 52 ----------
23:35:09.645 - ---------- run=195, buffer_size: 53 ----------
23:35:12.642 - ---------- run=196, buffer_size: 52 ----------
23:35:14.809 - ---------- run=197, buffer_size: 54 ----------
23:35:17.023 - ---------- run=198, buffer_size: 53 ----------
23:35:19.457 - ---------- run=199, buffer_size: 53 ----------
23:35:22.373 - ---------- run=200, buffer_size: 55 ----------
23:35:24.879 - ---------- run=201, buffer_size: 53 ----------
23:35:26.980 - ---------- run=202, buffer_size: 52 ----------
23:35:29.551 - ---------- run=203, buffer_size: 55 ----------
23:35:31.842 - ---------- run=204, buffer_size: 52 ----------
23:35:34.384 - ---------- run=205, buffer_size: 55 ----------
23:35:36.852 - ---------- run=206, buffer_size: 53 ----------
23:35:39.180 - ---------- run=207, buffer_size: 52 ----------
23:35:42.086 - ---------- run=208, buffer_size: 55 ----------
23:35:44.546 - ---------- run=209, buffer_size: 53 ----------
23:35:46.726 - ---------- run=210, buffer_size: 54 ----------
23:35:48.871 - ---------- run=211, buffer_size: 52 ----------
23:35:51.110 - ---------- run=212, buffer_size: 52 ----------
23:35:53.419 - ---------- run=213, buffer_size: 52 ----------
23:35:55.633 - ---------- run=214, buffer_size: 52 ----------
23:35:58.116 - ---------- run=215, buffer_size: 53 ----------
23:36:00.333 - ---------- run=216, buffer_size: 53 ----------
23:36:02.666 - ---------- run=217, buffer_size: 53 ----------
23:36:05.080 - ---------- run=218, buffer_size: 52 ----------
23:36:07.660 - ---------- run=219, buffer_size: 53 ----------
23:36:09.708 - ---------- run=220, buffer_size: 53 ----------
23:36:12.506 - ---------- run=221, buffer_size: 57 ----------
23:36:14.790 - ---------- run=222, buffer_size: 52 ----------
23:36:17.162 - ---------- run=223, buffer_size: 55 ----------
23:36:19.462 - ---------- run=224, buffer_size: 53 ----------
23:36:21.964 - ---------- run=225, buffer_size: 54 ----------
23:36:24.733 - ---------- run=226, buffer_size: 53 ----------
23:36:27.239 - ---------- run=227, buffer_size: 52 ----------
23:36:29.628 - ---------- run=228, buffer_size: 54 ----------
23:36:31.913 - ---------- run=229, buffer_size: 53 ----------
23:36:34.277 - ---------- run=230, buffer_size: 53 ----------
23:36:36.833 - ---------- run=231, buffer_size: 52 ----------
23:36:39.201 - ---------- run=232, buffer_size: 53 ----------
23:36:41.457 - ---------- run=233, buffer_size: 53 ----------
23:36:44.152 - ---------- run=234, buffer_size: 52 ----------
23:36:46.585 - ---------- run=235, buffer_size: 53 ----------
23:36:49.001 - ---------- run=236, buffer_size: 54 ----------
23:36:51.788 - ---------- run=237, buffer_size: 52 ----------
23:36:54.290 - ---------- run=238, buffer_size: 53 ----------
23:36:56.842 - ---------- run=239, buffer_size: 55 ----------
23:36:59.145 - ---------- run=240, buffer_size: 53 ----------
23:37:01.608 - ---------- run=241, buffer_size: 51 ----------
23:37:04.083 - ---------- run=242, buffer_size: 52 ----------
23:37:06.358 - ---------- run=243, buffer_size: 54 ----------
23:37:08.676 - ---------- run=244, buffer_size: 53 ----------
23:37:11.143 - ---------- run=245, buffer_size: 51 ----------
23:37:13.336 - ---------- run=246, buffer_size: 53 ----------
23:37:15.594 - ---------- run=247, buffer_size: 54 ----------
23:37:18.002 - ---------- run=248, buffer_size: 54 ----------
23:37:20.043 - ---------- run=249, buffer_size: 52 ----------
23:37:22.130 - ---------- run=250, buffer_size: 52 ----------
23:37:24.560 - ---------- run=251, buffer_size: 53 ----------
23:37:27.212 - ---------- run=252, buffer_size: 53 ----------
23:37:29.329 - ---------- run=253, buffer_size: 52 ----------
23:37:31.991 - ---------- run=254, buffer_size: 53 ----------
23:37:34.618 - ---------- run=255, buffer_size: 54 ----------
23:37:36.928 - ---------- run=256, buffer_size: 53 ----------
23:37:39.357 - ---------- run=257, buffer_size: 53 ----------
23:37:41.610 - ---------- run=258, buffer_size: 54 ----------
23:37:44.468 - ---------- run=259, buffer_size: 52 ----------
23:37:46.793 - ---------- run=260, buffer_size: 52 ----------
23:37:48.634 - ---------- run=261, buffer_size: 53 ----------
23:37:51.024 - ---------- run=262, buffer_size: 53 ----------
23:37:53.553 - ---------- run=263, buffer_size: 53 ----------
23:37:56.394 - ---------- run=264, buffer_size: 52 ----------
23:37:58.804 - ---------- run=265, buffer_size: 51 ----------
23:38:01.698 - ---------- run=266, buffer_size: 53 ----------
23:38:04.309 - ---------- run=267, buffer_size: 52 ----------
23:38:06.483 - ---------- run=268, buffer_size: 51 ----------
23:38:08.852 - ---------- run=269, buffer_size: 53 ----------
