23:26:51.709 - ---------- run=0, buffer_size: 50 ----------
23:26:54.051 - ---------- run=1, buffer_size: 53 ----------
23:26:56.272 - ---------- run=2, buffer_size: 53 ----------
23:26:58.595 - ---------- run=3, buffer_size: 53 ----------
23:27:00.773 - ---------- run=4, buffer_size: 52 ----------
23:27:03.078 - ---------- run=5, buffer_size: 53 ----------
23:27:05.498 - ---------- run=6, buffer_size: 56 ----------
23:27:07.745 - ---------- run=7, buffer_size: 54 ----------
23:27:10.289 - ---------- run=8, buffer_size: 53 ----------
23:27:12.444 - ---------- run=9, buffer_size: 52 ----------
23:27:14.924 - ---------- run=10, buffer_size: 55 ----------
23:27:17.550 - ---------- run=11, buffer_size: 55 ----------
23:27:20.007 - ---------- run=12, buffer_size: 52 ----------
23:27:22.369 - ---------- run=13, buffer_size: 52 ----------
23:27:24.526 - ---------- run=14, buffer_size: 54 ----------
23:27:27.099 - ---------- run=15, buffer_size: 54 ----------
23:27:29.708 - ---------- run=16, buffer_size: 53 ----------
23:27:32.100 - ---------- run=17, buffer_size: 52 ----------
23:27:34.509 - ---------- run=18, buffer_size: 54 ----------
23:27:37.268 - ---------- run=19, buffer_size: 53 ----------
23:27:39.146 - ---------- run=20, buffer_size: 52 ----------
23:27:41.772 - ---------- run=21, buffer_size: 52 ----------
23:27:44.149 - ---------- run=22, buffer_size: 53 ----------
23:27:46.683 - ---------- run=23, buffer_size: 52 ----------
23:27:49.100 - ---------- run=24, buffer_size: 52 ----------
23:27:51.486 - ---------- run=25, buffer_size: 56 ----------
23:27:53.996 - ---------- run=26, buffer_size: 53 ----------
23:27:56.451 - ---------- run=27, buffer_size: 52 ----------
23:27:58.706 - ---------- run=28, buffer_size: 51 ----------
23:28:01.066 - ---------- run=29, buffer_size: 53 ----------
23:28:03.298 - ---------- run=30, buffer_size: 53 ----------
23:28:05.793 - ---------- run=31, buffer_size: 53 ----------
23:28:07.783 - ---------- run=32, buffer_size: 52 ----------
23:28:10.308 - ---------- run=33, buffer_size: 53 ----------
23:28:12.681 - ---------- run=34, buffer_size: 51 ----------
23:28:14.931 - ---------- run=35, buffer_size: 56 ----------
23:28:17.773 - ---------- run=36, buffer_size: 53 ----------
23:28:20.095 - ---------- run=37, buffer_size: 53 ----------
