22:56:44.974 - ---------- run=0, count=249 ----------
22:56:47.872 - ---------- run=1, count=131 ----------
22:56:50.874 - ---------- run=2, count=137 ----------
22:56:53.792 - ---------- run=3, count=133 ----------
22:56:56.831 - ---------- run=4, count=138 ----------
22:57:00.189 - ---------- run=5, count=152 ----------
22:57:03.475 - ---------- run=6, count=150 ----------
22:57:06.382 - ---------- run=7, count=132 ----------
22:57:09.333 - ---------- run=8, count=134 ----------
22:57:11.893 - ---------- run=9, count=116 ----------
22:57:14.702 - ---------- run=10, count=128 ----------
22:57:17.471 - ---------- run=11, count=126 ----------
22:57:20.512 - ---------- run=12, count=138 ----------
22:57:23.321 - ---------- run=13, count=128 ----------
22:57:26.115 - ---------- run=14, count=127 ----------
22:57:28.883 - ---------- run=15, count=126 ----------
22:57:31.959 - ---------- run=16, count=139 ----------
22:57:34.890 - ---------- run=17, count=134 ----------
22:57:37.853 - ---------- run=18, count=134 ----------
22:57:41.404 - ---------- run=19, count=162 ----------
22:57:44.159 - ---------- run=20, count=125 ----------
22:57:46.754 - ---------- run=21, count=118 ----------
22:57:50.038 - ---------- run=22, count=149 ----------
22:57:52.836 - ---------- run=23, count=128 ----------
22:57:55.685 - ---------- run=24, count=129 ----------
22:57:58.900 - ---------- run=25, count=146 ----------
22:58:01.765 - ---------- run=26, count=130 ----------
22:58:04.920 - ---------- run=27, count=144 ----------
22:58:08.066 - ---------- run=28, count=143 ----------
22:58:10.985 - ---------- run=29, count=133 ----------
22:58:13.707 - ---------- run=30, count=123 ----------
22:58:16.739 - ---------- run=31, count=138 ----------
22:58:19.612 - ---------- run=32, count=131 ----------
22:58:23.231 - ---------- run=33, count=164 ----------
22:58:26.076 - ---------- run=34, count=129 ----------
22:58:29.080 - ---------- run=35, count=137 ----------
22:58:32.474 - ---------- run=36, count=154 ----------
22:58:35.122 - ---------- run=37, count=120 ----------
22:58:38.075 - ---------- run=38, count=135 ----------
22:58:41.137 - ---------- run=39, count=139 ----------
22:58:44.195 - ---------- run=40, count=139 ----------
22:58:46.899 - ---------- run=41, count=123 ----------
22:58:49.905 - ---------- run=42, count=136 ----------
22:58:53.015 - ---------- run=43, count=142 ----------
22:58:55.772 - ---------- run=44, count=125 ----------
22:58:58.898 - ---------- run=45, count=142 ----------
22:59:01.864 - ---------- run=46, count=135 ----------
22:59:04.897 - ---------- run=47, count=138 ----------
22:59:08.528 - ---------- run=48, count=165 ----------
22:59:11.573 - ---------- run=49, count=138 ----------
22:59:14.434 - ---------- run=50, count=130 ----------
22:59:17.506 - ---------- run=51, count=140 ----------
22:59:20.563 - ---------- run=52, count=139 ----------
22:59:23.145 - ---------- run=53, count=117 ----------
22:59:26.440 - ---------- run=54, count=150 ----------
22:59:29.206 - ---------- run=55, count=125 ----------
22:59:32.501 - ---------- run=56, count=150 ----------
22:59:35.073 - ---------- run=57, count=117 ----------
22:59:37.627 - ---------- run=58, count=116 ----------
22:59:40.763 - ---------- run=59, count=142 ----------
22:59:44.303 - ---------- run=60, count=161 ----------
22:59:47.522 - ---------- run=61, count=146 ----------
22:59:50.506 - ---------- run=62, count=136 ----------
22:59:53.280 - ---------- run=63, count=126 ----------
22:59:56.083 - ---------- run=64, count=128 ----------
22:59:58.634 - ---------- run=65, count=115 ----------
23:00:01.341 - ---------- run=66, count=124 ----------
23:00:04.036 - ---------- run=67, count=122 ----------
23:00:07.135 - ---------- run=68, count=141 ----------
23:00:09.525 - ---------- run=69, count=109 ----------
23:00:12.680 - ---------- run=70, count=143 ----------
23:00:15.760 - ---------- run=71, count=140 ----------
23:00:18.528 - ---------- run=72, count=126 ----------
23:00:21.571 - ---------- run=73, count=138 ----------
23:00:24.800 - ---------- run=74, count=147 ----------
23:00:27.446 - ---------- run=75, count=120 ----------
23:00:30.803 - ---------- run=76, count=153 ----------
23:00:33.647 - ---------- run=77, count=129 ----------
23:00:36.647 - ---------- run=78, count=136 ----------
23:00:39.244 - ---------- run=79, count=118 ----------
23:00:42.004 - ---------- run=80, count=126 ----------
23:00:45.371 - ---------- run=81, count=153 ----------
23:00:48.700 - ---------- run=82, count=151 ----------
23:00:51.542 - ---------- run=83, count=130 ----------
23:00:54.536 - ---------- run=84, count=136 ----------
23:00:58.214 - ---------- run=85, count=167 ----------
23:01:01.211 - ---------- run=86, count=136 ----------
23:01:04.484 - ---------- run=87, count=148 ----------
23:01:07.354 - ---------- run=88, count=131 ----------
23:01:09.907 - ---------- run=89, count=116 ----------
23:01:13.194 - ---------- run=90, count=149 ----------
23:01:16.072 - ---------- run=91, count=131 ----------
23:01:18.785 - ---------- run=92, count=123 ----------
23:01:21.984 - ---------- run=93, count=145 ----------
23:01:25.344 - ---------- run=94, count=153 ----------
23:01:28.472 - ---------- run=95, count=142 ----------
23:01:31.804 - ---------- run=96, count=151 ----------
23:01:34.806 - ---------- run=97, count=137 ----------
