02:48:47.806 - ---------- run=0, buffer_size: 51 ----------
02:48:49.924 - ---------- run=1, buffer_size: 53 ----------
02:48:56.590 - ---------- run=2, buffer_size: 52 ----------
02:49:04.389 - ---------- run=3, buffer_size: 53 ----------
02:49:06.615 - ---------- run=4, buffer_size: 52 ----------
02:49:08.938 - ---------- run=5, buffer_size: 54 ----------
02:49:11.300 - ---------- run=6, buffer_size: 55 ----------
02:49:13.895 - ---------- run=7, buffer_size: 52 ----------
02:49:16.388 - ---------- run=8, buffer_size: 54 ----------
02:49:18.963 - ---------- run=9, buffer_size: 52 ----------
02:49:21.141 - ---------- run=10, buffer_size: 54 ----------
02:49:23.323 - ---------- run=11, buffer_size: 52 ----------
02:49:25.518 - ---------- run=12, buffer_size: 53 ----------
02:49:28.176 - ---------- run=13, buffer_size: 53 ----------
02:49:30.566 - ---------- run=14, buffer_size: 55 ----------
02:49:33.025 - ---------- run=15, buffer_size: 52 ----------
02:49:35.117 - ---------- run=16, buffer_size: 52 ----------
02:49:42.285 - ---------- run=17, buffer_size: 53 ----------
02:49:44.405 - ---------- run=18, buffer_size: 52 ----------
02:49:46.706 - ---------- run=19, buffer_size: 54 ----------
02:49:48.907 - ---------- run=20, buffer_size: 53 ----------
02:49:51.757 - ---------- run=21, buffer_size: 51 ----------
02:49:54.313 - ---------- run=22, buffer_size: 55 ----------
02:49:56.403 - ---------- run=23, buffer_size: 53 ----------
02:49:58.882 - ---------- run=24, buffer_size: 55 ----------
02:50:01.291 - ---------- run=25, buffer_size: 52 ----------
02:50:03.452 - ---------- run=26, buffer_size: 52 ----------
02:50:06.000 - ---------- run=27, buffer_size: 53 ----------
02:50:07.476 - xxxxxxxxxx run=28 failed
02:50:09.792 - ---------- run=29, buffer_size: 52 ----------
02:50:11.933 - ---------- run=30, buffer_size: 52 ----------
02:50:14.177 - ---------- run=31, buffer_size: 53 ----------
02:50:16.952 - ---------- run=32, buffer_size: 54 ----------
02:50:19.353 - ---------- run=33, buffer_size: 52 ----------
02:50:22.022 - ---------- run=34, buffer_size: 52 ----------
02:50:25.100 - ---------- run=35, buffer_size: 54 ----------
02:50:27.389 - ---------- run=36, buffer_size: 53 ----------
02:50:29.612 - ---------- run=37, buffer_size: 52 ----------
02:50:31.595 - ---------- run=38, buffer_size: 54 ----------
02:50:33.808 - ---------- run=39, buffer_size: 53 ----------
02:50:36.298 - ---------- run=40, buffer_size: 55 ----------
02:50:44.306 - ---------- run=41, buffer_size: 52 ----------
02:50:46.607 - ---------- run=42, buffer_size: 54 ----------
02:50:48.875 - ---------- run=43, buffer_size: 53 ----------
02:51:13.543 - ---------- run=44, buffer_size: 52 ----------
02:51:16.138 - ---------- run=45, buffer_size: 54 ----------
02:51:18.515 - ---------- run=46, buffer_size: 54 ----------
02:51:20.824 - ---------- run=47, buffer_size: 52 ----------
02:51:23.254 - ---------- run=48, buffer_size: 54 ----------
02:51:25.680 - ---------- run=49, buffer_size: 53 ----------
02:51:27.943 - ---------- run=50, buffer_size: 53 ----------
02:51:30.109 - ---------- run=51, buffer_size: 52 ----------
02:52:07.918 - ---------- run=52, buffer_size: 54 ----------
02:52:10.343 - ---------- run=53, buffer_size: 53 ----------
02:52:18.193 - ---------- run=54, buffer_size: 52 ----------
02:52:20.611 - ---------- run=55, buffer_size: 53 ----------
02:52:23.050 - ---------- run=56, buffer_size: 54 ----------
02:52:25.363 - ---------- run=57, buffer_size: 54 ----------
02:52:27.591 - ---------- run=58, buffer_size: 52 ----------
02:52:30.536 - ---------- run=59, buffer_size: 57 ----------
02:52:33.071 - ---------- run=60, buffer_size: 56 ----------
02:52:35.344 - ---------- run=61, buffer_size: 53 ----------
02:52:38.001 - ---------- run=62, buffer_size: 52 ----------
02:52:40.738 - ---------- run=63, buffer_size: 54 ----------
02:52:43.454 - ---------- run=64, buffer_size: 54 ----------
02:52:46.052 - ---------- run=65, buffer_size: 54 ----------
02:52:48.950 - ---------- run=66, buffer_size: 52 ----------
02:52:51.242 - ---------- run=67, buffer_size: 52 ----------
02:52:53.945 - ---------- run=68, buffer_size: 54 ----------
02:52:56.566 - ---------- run=69, buffer_size: 54 ----------
02:52:59.155 - ---------- run=70, buffer_size: 53 ----------
02:53:01.432 - ---------- run=71, buffer_size: 52 ----------
