04:23:21.305 - ---------- run=106, buffer_size: 53 ----------
04:23:23.774 - ---------- run=107, buffer_size: 51 ----------
04:23:26.168 - ---------- run=108, buffer_size: 53 ----------
04:23:28.619 - ---------- run=109, buffer_size: 52 ----------
04:23:31.789 - ---------- run=110, buffer_size: 52 ----------
04:23:34.167 - ---------- run=111, buffer_size: 54 ----------
04:23:36.361 - ---------- run=112, buffer_size: 53 ----------
04:23:38.585 - ---------- run=113, buffer_size: 51 ----------
04:23:40.736 - ---------- run=114, buffer_size: 52 ----------
04:23:43.178 - ---------- run=115, buffer_size: 52 ----------
04:23:45.614 - ---------- run=116, buffer_size: 53 ----------
04:23:47.667 - ---------- run=117, buffer_size: 52 ----------
04:23:50.631 - ---------- run=118, buffer_size: 54 ----------
04:23:53.003 - ---------- run=119, buffer_size: 52 ----------
04:23:55.505 - ---------- run=120, buffer_size: 52 ----------
04:23:57.923 - ---------- run=121, buffer_size: 52 ----------
04:23:59.999 - ---------- run=122, buffer_size: 54 ----------
04:24:02.385 - ---------- run=123, buffer_size: 53 ----------
04:24:04.514 - ---------- run=124, buffer_size: 52 ----------
04:24:06.967 - ---------- run=125, buffer_size: 52 ----------
04:24:09.791 - ---------- run=126, buffer_size: 52 ----------
04:24:12.301 - ---------- run=127, buffer_size: 52 ----------
04:24:14.669 - ---------- run=128, buffer_size: 52 ----------
04:24:17.109 - ---------- run=129, buffer_size: 54 ----------
04:24:19.572 - ---------- run=130, buffer_size: 53 ----------
04:24:22.058 - ---------- run=131, buffer_size: 52 ----------
04:24:24.215 - ---------- run=132, buffer_size: 54 ----------
04:24:26.736 - ---------- run=133, buffer_size: 53 ----------
04:24:28.985 - ---------- run=134, buffer_size: 53 ----------
04:24:31.399 - ---------- run=135, buffer_size: 53 ----------
04:24:33.927 - ---------- run=136, buffer_size: 53 ----------
04:24:35.858 - ---------- run=137, buffer_size: 53 ----------
04:24:38.145 - ---------- run=138, buffer_size: 53 ----------
04:24:40.562 - ---------- run=139, buffer_size: 52 ----------
04:24:42.994 - ---------- run=140, buffer_size: 53 ----------
04:24:45.546 - ---------- run=141, buffer_size: 52 ----------
04:24:47.758 - ---------- run=142, buffer_size: 53 ----------
04:24:50.157 - ---------- run=143, buffer_size: 52 ----------
04:24:52.874 - ---------- run=144, buffer_size: 54 ----------
04:24:55.225 - ---------- run=145, buffer_size: 53 ----------
04:24:57.633 - ---------- run=146, buffer_size: 55 ----------
04:24:59.897 - ---------- run=147, buffer_size: 53 ----------
04:25:02.241 - ---------- run=148, buffer_size: 53 ----------
04:25:04.888 - ---------- run=149, buffer_size: 52 ----------
04:25:07.546 - ---------- run=150, buffer_size: 55 ----------
04:25:10.105 - ---------- run=151, buffer_size: 53 ----------
04:25:12.724 - ---------- run=152, buffer_size: 54 ----------
04:25:15.156 - ---------- run=153, buffer_size: 52 ----------
04:25:17.541 - ---------- run=154, buffer_size: 52 ----------
04:25:20.000 - ---------- run=155, buffer_size: 53 ----------
04:25:22.475 - ---------- run=156, buffer_size: 52 ----------
04:25:25.085 - ---------- run=157, buffer_size: 51 ----------
04:25:27.815 - ---------- run=158, buffer_size: 53 ----------
04:25:30.450 - ---------- run=159, buffer_size: 52 ----------
04:25:32.537 - ---------- run=160, buffer_size: 51 ----------
04:25:34.868 - ---------- run=161, buffer_size: 54 ----------
04:25:37.122 - ---------- run=162, buffer_size: 53 ----------
04:25:39.462 - ---------- run=163, buffer_size: 52 ----------
04:25:41.728 - ---------- run=164, buffer_size: 52 ----------
04:25:44.557 - ---------- run=165, buffer_size: 51 ----------
04:25:47.019 - ---------- run=166, buffer_size: 52 ----------
04:25:49.470 - ---------- run=167, buffer_size: 52 ----------
04:25:52.199 - ---------- run=168, buffer_size: 52 ----------
04:25:54.184 - ---------- run=169, buffer_size: 54 ----------
04:25:56.332 - ---------- run=170, buffer_size: 53 ----------
04:25:58.729 - ---------- run=171, buffer_size: 52 ----------
04:26:01.518 - ---------- run=172, buffer_size: 53 ----------
04:26:03.824 - ---------- run=173, buffer_size: 53 ----------
04:26:05.971 - ---------- run=174, buffer_size: 52 ----------
04:26:08.361 - ---------- run=175, buffer_size: 52 ----------
04:26:10.632 - ---------- run=176, buffer_size: 52 ----------
04:26:12.939 - ---------- run=177, buffer_size: 52 ----------
04:26:15.416 - ---------- run=178, buffer_size: 52 ----------
04:26:17.692 - ---------- run=179, buffer_size: 53 ----------
04:26:20.276 - ---------- run=180, buffer_size: 52 ----------
04:26:22.678 - ---------- run=181, buffer_size: 53 ----------
04:26:24.949 - ---------- run=182, buffer_size: 52 ----------
04:26:27.133 - ---------- run=183, buffer_size: 53 ----------
04:26:29.681 - ---------- run=184, buffer_size: 52 ----------
04:26:32.037 - ---------- run=185, buffer_size: 52 ----------
04:26:34.319 - ---------- run=186, buffer_size: 59 ----------
04:26:36.353 - ---------- run=187, buffer_size: 52 ----------
04:26:39.380 - ---------- run=188, buffer_size: 52 ----------
04:26:41.511 - ---------- run=189, buffer_size: 52 ----------
04:26:44.003 - ---------- run=190, buffer_size: 53 ----------
04:26:46.647 - ---------- run=191, buffer_size: 52 ----------
04:26:49.240 - ---------- run=192, buffer_size: 52 ----------
04:26:51.431 - ---------- run=193, buffer_size: 52 ----------
04:26:53.952 - ---------- run=194, buffer_size: 56 ----------
04:26:56.202 - ---------- run=195, buffer_size: 52 ----------
04:26:58.817 - ---------- run=196, buffer_size: 53 ----------
04:27:00.930 - ---------- run=197, buffer_size: 52 ----------
04:27:03.367 - ---------- run=198, buffer_size: 54 ----------
04:27:05.924 - ---------- run=199, buffer_size: 53 ----------
04:27:08.188 - ---------- run=200, buffer_size: 53 ----------
04:27:11.284 - ---------- run=201, buffer_size: 52 ----------
04:27:13.877 - ---------- run=202, buffer_size: 52 ----------
04:27:16.451 - ---------- run=203, buffer_size: 52 ----------
04:27:19.098 - ---------- run=204, buffer_size: 53 ----------
04:27:21.621 - ---------- run=205, buffer_size: 51 ----------
04:27:24.054 - ---------- run=206, buffer_size: 54 ----------
04:27:26.488 - ---------- run=207, buffer_size: 51 ----------
04:27:28.743 - ---------- run=208, buffer_size: 53 ----------
04:27:31.391 - ---------- run=209, buffer_size: 52 ----------
04:27:33.435 - ---------- run=210, buffer_size: 52 ----------
04:27:35.835 - ---------- run=211, buffer_size: 53 ----------
04:27:38.534 - ---------- run=212, buffer_size: 54 ----------
04:27:41.033 - ---------- run=213, buffer_size: 52 ----------
04:27:43.558 - ---------- run=214, buffer_size: 52 ----------
04:27:46.003 - ---------- run=215, buffer_size: 54 ----------
04:27:48.703 - ---------- run=216, buffer_size: 53 ----------
04:27:51.847 - ---------- run=217, buffer_size: 53 ----------
04:27:54.116 - ---------- run=218, buffer_size: 53 ----------
04:27:56.471 - ---------- run=219, buffer_size: 53 ----------
04:27:58.935 - ---------- run=220, buffer_size: 52 ----------
04:28:01.060 - ---------- run=221, buffer_size: 52 ----------
04:28:03.293 - ---------- run=222, buffer_size: 52 ----------
04:28:05.624 - ---------- run=223, buffer_size: 52 ----------
04:28:07.948 - ---------- run=224, buffer_size: 52 ----------
04:28:10.505 - ---------- run=225, buffer_size: 52 ----------
04:28:12.922 - ---------- run=226, buffer_size: 51 ----------
04:28:15.369 - ---------- run=227, buffer_size: 55 ----------
04:28:18.087 - ---------- run=228, buffer_size: 52 ----------
04:28:20.564 - ---------- run=229, buffer_size: 53 ----------
04:28:22.955 - ---------- run=230, buffer_size: 53 ----------
04:28:25.180 - ---------- run=231, buffer_size: 53 ----------
04:28:27.495 - ---------- run=232, buffer_size: 52 ----------
04:28:29.711 - ---------- run=233, buffer_size: 52 ----------
04:28:31.510 - ---------- run=234, buffer_size: 51 ----------
04:28:34.069 - ---------- run=235, buffer_size: 52 ----------
04:28:36.052 - ---------- run=236, buffer_size: 52 ----------
04:28:38.463 - ---------- run=237, buffer_size: 56 ----------
04:28:41.218 - ---------- run=238, buffer_size: 53 ----------
04:28:43.782 - ---------- run=239, buffer_size: 52 ----------
04:28:46.375 - ---------- run=240, buffer_size: 52 ----------
04:28:49.039 - ---------- run=241, buffer_size: 52 ----------
04:28:51.383 - ---------- run=242, buffer_size: 53 ----------
04:28:53.737 - ---------- run=243, buffer_size: 52 ----------
04:28:56.006 - ---------- run=244, buffer_size: 52 ----------
04:28:58.435 - ---------- run=245, buffer_size: 53 ----------
04:29:00.778 - ---------- run=246, buffer_size: 52 ----------
04:29:02.790 - ---------- run=247, buffer_size: 52 ----------
04:29:05.030 - ---------- run=248, buffer_size: 52 ----------
