01:29:51.692 - ---------- run=0, buffer_size: 50 ----------
01:29:54.251 - ---------- run=1, buffer_size: 53 ----------
01:29:56.408 - ---------- run=2, buffer_size: 51 ----------
01:29:58.801 - ---------- run=3, buffer_size: 52 ----------
01:30:01.420 - ---------- run=4, buffer_size: 53 ----------
01:30:04.622 - ---------- run=5, buffer_size: 52 ----------
01:30:06.751 - ---------- run=6, buffer_size: 52 ----------
01:30:09.080 - ---------- run=7, buffer_size: 52 ----------
01:30:11.576 - ---------- run=8, buffer_size: 53 ----------
01:30:14.221 - ---------- run=9, buffer_size: 52 ----------
01:30:16.448 - ---------- run=10, buffer_size: 52 ----------
01:30:19.240 - ---------- run=11, buffer_size: 53 ----------
01:30:21.967 - ---------- run=12, buffer_size: 54 ----------
01:30:24.468 - ---------- run=13, buffer_size: 52 ----------
01:30:26.668 - ---------- run=14, buffer_size: 53 ----------
01:30:28.814 - ---------- run=15, buffer_size: 52 ----------
01:30:31.255 - ---------- run=16, buffer_size: 53 ----------
01:30:33.530 - ---------- run=17, buffer_size: 53 ----------
01:30:35.530 - ---------- run=18, buffer_size: 53 ----------
01:30:37.880 - ---------- run=19, buffer_size: 52 ----------
01:30:40.464 - ---------- run=20, buffer_size: 53 ----------
01:30:42.937 - ---------- run=21, buffer_size: 53 ----------
01:30:45.136 - ---------- run=22, buffer_size: 53 ----------
01:30:48.178 - ---------- run=23, buffer_size: 54 ----------
01:30:50.233 - ---------- run=24, buffer_size: 51 ----------
01:30:52.794 - ---------- run=25, buffer_size: 53 ----------
01:30:54.918 - ---------- run=26, buffer_size: 53 ----------
01:30:57.241 - ---------- run=27, buffer_size: 54 ----------
01:30:59.360 - ---------- run=28, buffer_size: 52 ----------
01:31:01.647 - ---------- run=29, buffer_size: 53 ----------
01:31:04.138 - ---------- run=30, buffer_size: 52 ----------
01:31:06.501 - ---------- run=31, buffer_size: 53 ----------
01:31:08.902 - ---------- run=32, buffer_size: 53 ----------
01:31:11.282 - ---------- run=33, buffer_size: 53 ----------
01:31:13.677 - ---------- run=34, buffer_size: 53 ----------
01:31:16.184 - ---------- run=35, buffer_size: 52 ----------
01:31:18.638 - ---------- run=36, buffer_size: 52 ----------
01:31:20.946 - ---------- run=37, buffer_size: 53 ----------
01:31:23.638 - ---------- run=38, buffer_size: 52 ----------
01:31:26.317 - ---------- run=39, buffer_size: 54 ----------
01:31:29.196 - ---------- run=40, buffer_size: 54 ----------
01:31:31.469 - ---------- run=41, buffer_size: 53 ----------
01:31:34.082 - ---------- run=42, buffer_size: 51 ----------
01:31:36.734 - ---------- run=43, buffer_size: 53 ----------
01:31:39.305 - ---------- run=44, buffer_size: 55 ----------
01:31:41.608 - ---------- run=45, buffer_size: 52 ----------
01:31:43.546 - ---------- run=46, buffer_size: 53 ----------
01:31:46.498 - ---------- run=47, buffer_size: 54 ----------
01:31:48.809 - ---------- run=48, buffer_size: 53 ----------
01:31:51.795 - ---------- run=49, buffer_size: 54 ----------
01:31:53.987 - ---------- run=50, buffer_size: 51 ----------
01:31:56.776 - ---------- run=51, buffer_size: 52 ----------
01:31:59.106 - ---------- run=52, buffer_size: 52 ----------
01:32:01.228 - ---------- run=53, buffer_size: 53 ----------
01:32:03.178 - ---------- run=54, buffer_size: 53 ----------
01:32:05.871 - ---------- run=55, buffer_size: 53 ----------
01:32:08.306 - ---------- run=56, buffer_size: 52 ----------
01:32:10.889 - ---------- run=57, buffer_size: 53 ----------
01:32:13.452 - ---------- run=58, buffer_size: 53 ----------
01:32:15.770 - ---------- run=59, buffer_size: 53 ----------
01:32:18.198 - ---------- run=60, buffer_size: 56 ----------
01:32:20.776 - ---------- run=61, buffer_size: 53 ----------
01:32:23.280 - ---------- run=62, buffer_size: 54 ----------
01:32:25.684 - ---------- run=63, buffer_size: 53 ----------
01:32:28.284 - ---------- run=64, buffer_size: 53 ----------
01:32:30.438 - ---------- run=65, buffer_size: 52 ----------
01:32:32.934 - ---------- run=66, buffer_size: 52 ----------
01:32:35.471 - ---------- run=67, buffer_size: 53 ----------
01:32:38.163 - ---------- run=68, buffer_size: 53 ----------
01:32:40.506 - ---------- run=69, buffer_size: 53 ----------
01:32:42.939 - ---------- run=70, buffer_size: 52 ----------
01:32:45.414 - ---------- run=71, buffer_size: 52 ----------
01:32:47.570 - ---------- run=72, buffer_size: 53 ----------
01:32:50.369 - ---------- run=73, buffer_size: 52 ----------
01:32:52.743 - ---------- run=74, buffer_size: 52 ----------
01:32:55.382 - ---------- run=75, buffer_size: 52 ----------
01:32:57.555 - ---------- run=76, buffer_size: 53 ----------
01:32:59.872 - ---------- run=77, buffer_size: 52 ----------
01:33:01.718 - ---------- run=78, buffer_size: 52 ----------
01:33:04.307 - ---------- run=79, buffer_size: 53 ----------
01:33:06.945 - ---------- run=80, buffer_size: 53 ----------
01:33:09.091 - ---------- run=81, buffer_size: 52 ----------
01:33:11.420 - ---------- run=82, buffer_size: 53 ----------
01:33:13.646 - ---------- run=83, buffer_size: 52 ----------
01:33:15.966 - ---------- run=84, buffer_size: 54 ----------
01:33:18.176 - ---------- run=85, buffer_size: 53 ----------
01:33:20.880 - ---------- run=86, buffer_size: 53 ----------
01:33:23.678 - ---------- run=87, buffer_size: 52 ----------
01:33:25.882 - ---------- run=88, buffer_size: 53 ----------
01:33:28.233 - ---------- run=89, buffer_size: 53 ----------
01:33:30.728 - ---------- run=90, buffer_size: 53 ----------
01:33:32.896 - ---------- run=91, buffer_size: 53 ----------
01:33:35.706 - ---------- run=92, buffer_size: 52 ----------
01:33:38.384 - ---------- run=93, buffer_size: 53 ----------
01:33:40.709 - ---------- run=94, buffer_size: 52 ----------
01:33:43.156 - ---------- run=95, buffer_size: 53 ----------
01:33:45.706 - ---------- run=96, buffer_size: 52 ----------
01:33:48.212 - ---------- run=97, buffer_size: 53 ----------
01:33:50.326 - ---------- run=98, buffer_size: 54 ----------
01:33:52.364 - ---------- run=99, buffer_size: 52 ----------
01:33:54.875 - ---------- run=100, buffer_size: 53 ----------
01:33:57.281 - ---------- run=101, buffer_size: 53 ----------
01:33:59.357 - ---------- run=102, buffer_size: 52 ----------
01:34:01.619 - ---------- run=103, buffer_size: 53 ----------
01:34:04.240 - ---------- run=104, buffer_size: 53 ----------
01:34:06.531 - ---------- run=105, buffer_size: 53 ----------
01:34:09.096 - ---------- run=106, buffer_size: 53 ----------
01:34:11.700 - ---------- run=107, buffer_size: 52 ----------
01:34:13.842 - ---------- run=108, buffer_size: 52 ----------
01:34:16.508 - ---------- run=109, buffer_size: 52 ----------
01:34:19.002 - ---------- run=110, buffer_size: 53 ----------
01:34:21.452 - ---------- run=111, buffer_size: 52 ----------
01:34:23.616 - ---------- run=112, buffer_size: 54 ----------
01:34:26.141 - ---------- run=113, buffer_size: 53 ----------
01:34:28.351 - ---------- run=114, buffer_size: 52 ----------
01:34:30.950 - ---------- run=115, buffer_size: 55 ----------
01:34:33.318 - ---------- run=116, buffer_size: 52 ----------
01:34:35.455 - ---------- run=117, buffer_size: 54 ----------
01:34:38.144 - ---------- run=118, buffer_size: 54 ----------
01:34:40.784 - ---------- run=119, buffer_size: 53 ----------
01:34:42.874 - ---------- run=120, buffer_size: 52 ----------
01:34:45.182 - ---------- run=121, buffer_size: 53 ----------
01:34:47.302 - ---------- run=122, buffer_size: 52 ----------
01:34:49.892 - ---------- run=123, buffer_size: 52 ----------
01:34:52.231 - ---------- run=124, buffer_size: 53 ----------
01:34:54.945 - ---------- run=125, buffer_size: 54 ----------
01:34:57.405 - ---------- run=126, buffer_size: 53 ----------
01:35:00.016 - ---------- run=127, buffer_size: 55 ----------
01:35:02.012 - ---------- run=128, buffer_size: 52 ----------
01:35:04.594 - ---------- run=129, buffer_size: 52 ----------
01:35:07.167 - ---------- run=130, buffer_size: 53 ----------
01:35:09.829 - ---------- run=131, buffer_size: 54 ----------
01:35:11.940 - ---------- run=132, buffer_size: 52 ----------
01:35:14.492 - ---------- run=133, buffer_size: 52 ----------
01:35:16.943 - ---------- run=134, buffer_size: 54 ----------
01:35:19.217 - ---------- run=135, buffer_size: 52 ----------
01:35:21.450 - ---------- run=136, buffer_size: 52 ----------
01:35:23.579 - ---------- run=137, buffer_size: 52 ----------
01:35:25.933 - ---------- run=138, buffer_size: 52 ----------
01:35:28.040 - ---------- run=139, buffer_size: 52 ----------
01:35:30.387 - ---------- run=140, buffer_size: 52 ----------
01:35:32.583 - ---------- run=141, buffer_size: 53 ----------
01:35:34.857 - ---------- run=142, buffer_size: 52 ----------
01:35:37.883 - ---------- run=143, buffer_size: 52 ----------
01:35:40.219 - ---------- run=144, buffer_size: 54 ----------
01:35:42.843 - ---------- run=145, buffer_size: 54 ----------
01:35:45.191 - ---------- run=146, buffer_size: 52 ----------
01:35:47.330 - ---------- run=147, buffer_size: 53 ----------
01:35:49.919 - ---------- run=148, buffer_size: 54 ----------
01:35:52.057 - ---------- run=149, buffer_size: 52 ----------
01:35:54.411 - ---------- run=150, buffer_size: 53 ----------
01:35:56.629 - ---------- run=151, buffer_size: 53 ----------
01:35:59.181 - ---------- run=152, buffer_size: 54 ----------
01:36:01.464 - ---------- run=153, buffer_size: 53 ----------
01:36:03.753 - ---------- run=154, buffer_size: 55 ----------
01:36:05.932 - ---------- run=155, buffer_size: 53 ----------
01:36:08.382 - ---------- run=156, buffer_size: 53 ----------
01:36:10.501 - ---------- run=157, buffer_size: 54 ----------
01:36:13.036 - ---------- run=158, buffer_size: 53 ----------
01:36:15.344 - ---------- run=159, buffer_size: 53 ----------
01:36:17.549 - ---------- run=160, buffer_size: 52 ----------
01:36:19.922 - ---------- run=161, buffer_size: 53 ----------
01:36:22.837 - ---------- run=162, buffer_size: 52 ----------
01:36:25.213 - ---------- run=163, buffer_size: 52 ----------
01:36:27.509 - ---------- run=164, buffer_size: 52 ----------
01:36:30.082 - ---------- run=165, buffer_size: 55 ----------
01:36:32.579 - ---------- run=166, buffer_size: 53 ----------
01:36:34.779 - ---------- run=167, buffer_size: 54 ----------
01:36:37.198 - ---------- run=168, buffer_size: 53 ----------
01:36:39.416 - ---------- run=169, buffer_size: 53 ----------
01:36:41.791 - ---------- run=170, buffer_size: 52 ----------
01:36:43.967 - ---------- run=171, buffer_size: 53 ----------
01:36:46.162 - ---------- run=172, buffer_size: 51 ----------
01:36:48.514 - ---------- run=173, buffer_size: 53 ----------
01:36:51.168 - ---------- run=174, buffer_size: 52 ----------
01:36:53.208 - ---------- run=175, buffer_size: 52 ----------
01:36:55.670 - ---------- run=176, buffer_size: 52 ----------
01:36:57.627 - ---------- run=177, buffer_size: 52 ----------
01:37:00.076 - ---------- run=178, buffer_size: 55 ----------
01:37:02.158 - ---------- run=179, buffer_size: 53 ----------
01:37:04.226 - ---------- run=180, buffer_size: 53 ----------
01:37:06.694 - ---------- run=181, buffer_size: 53 ----------
01:37:08.971 - ---------- run=182, buffer_size: 54 ----------
01:37:11.682 - ---------- run=183, buffer_size: 53 ----------
01:37:14.085 - ---------- run=184, buffer_size: 54 ----------
01:37:16.161 - ---------- run=185, buffer_size: 54 ----------
01:37:18.538 - ---------- run=186, buffer_size: 52 ----------
