22:56:45.873 - ---------- run=0, buffer_size: 50 ----------
22:56:48.095 - ---------- run=1, buffer_size: 54 ----------
22:56:50.706 - ---------- run=2, buffer_size: 53 ----------
22:56:53.040 - ---------- run=3, buffer_size: 52 ----------
22:56:55.506 - ---------- run=4, buffer_size: 52 ----------
22:56:57.946 - ---------- run=5, buffer_size: 53 ----------
22:56:59.982 - ---------- run=6, buffer_size: 54 ----------
22:57:02.331 - ---------- run=7, buffer_size: 52 ----------
22:57:04.917 - ---------- run=8, buffer_size: 52 ----------
22:57:07.067 - ---------- run=9, buffer_size: 53 ----------
22:57:09.091 - ---------- run=10, buffer_size: 52 ----------
22:57:11.540 - ---------- run=11, buffer_size: 52 ----------
22:57:13.959 - ---------- run=12, buffer_size: 53 ----------
22:57:15.966 - ---------- run=13, buffer_size: 53 ----------
22:57:18.233 - ---------- run=14, buffer_size: 53 ----------
22:57:20.783 - ---------- run=15, buffer_size: 52 ----------
22:57:23.303 - ---------- run=16, buffer_size: 52 ----------
22:57:25.714 - ---------- run=17, buffer_size: 52 ----------
22:57:28.030 - ---------- run=18, buffer_size: 53 ----------
22:57:30.555 - ---------- run=19, buffer_size: 53 ----------
22:57:32.765 - ---------- run=20, buffer_size: 53 ----------
22:57:35.186 - ---------- run=21, buffer_size: 53 ----------
22:57:37.536 - ---------- run=22, buffer_size: 54 ----------
22:57:40.012 - ---------- run=23, buffer_size: 54 ----------
22:57:42.362 - ---------- run=24, buffer_size: 52 ----------
22:57:44.907 - ---------- run=25, buffer_size: 54 ----------
22:57:47.253 - ---------- run=26, buffer_size: 52 ----------
22:57:49.901 - ---------- run=27, buffer_size: 54 ----------
22:57:52.766 - ---------- run=28, buffer_size: 52 ----------
22:57:55.195 - ---------- run=29, buffer_size: 52 ----------
22:57:57.037 - ---------- run=30, buffer_size: 52 ----------
22:57:59.112 - ---------- run=31, buffer_size: 52 ----------
22:58:01.398 - ---------- run=32, buffer_size: 53 ----------
22:58:03.947 - ---------- run=33, buffer_size: 52 ----------
22:58:06.112 - ---------- run=34, buffer_size: 52 ----------
22:58:08.532 - ---------- run=35, buffer_size: 52 ----------
22:58:10.885 - ---------- run=36, buffer_size: 53 ----------
22:58:13.387 - ---------- run=37, buffer_size: 52 ----------
22:58:15.883 - ---------- run=38, buffer_size: 52 ----------
22:58:18.281 - ---------- run=39, buffer_size: 53 ----------
22:58:21.279 - ---------- run=40, buffer_size: 52 ----------
22:58:23.962 - ---------- run=41, buffer_size: 52 ----------
22:58:26.465 - ---------- run=42, buffer_size: 53 ----------
22:58:28.893 - ---------- run=43, buffer_size: 52 ----------
22:58:31.368 - ---------- run=44, buffer_size: 54 ----------
22:58:34.043 - ---------- run=45, buffer_size: 53 ----------
22:58:36.188 - ---------- run=46, buffer_size: 54 ----------
22:58:38.335 - ---------- run=47, buffer_size: 51 ----------
22:58:40.696 - ---------- run=48, buffer_size: 53 ----------
22:58:42.998 - ---------- run=49, buffer_size: 52 ----------
22:58:45.378 - ---------- run=50, buffer_size: 53 ----------
22:58:48.105 - ---------- run=51, buffer_size: 55 ----------
22:58:50.326 - ---------- run=52, buffer_size: 52 ----------
22:58:52.441 - ---------- run=53, buffer_size: 52 ----------
22:58:54.936 - ---------- run=54, buffer_size: 53 ----------
22:58:57.515 - ---------- run=55, buffer_size: 52 ----------
22:59:00.016 - ---------- run=56, buffer_size: 53 ----------
22:59:02.547 - ---------- run=57, buffer_size: 53 ----------
22:59:05.319 - ---------- run=58, buffer_size: 53 ----------
22:59:07.826 - ---------- run=59, buffer_size: 53 ----------
22:59:10.377 - ---------- run=60, buffer_size: 52 ----------
