21:34:49.415 - ---------- run=0, buffer_size: 51 ----------
21:34:52.104 - ---------- run=1, buffer_size: 54 ----------
21:34:54.773 - ---------- run=2, buffer_size: 55 ----------
21:34:57.102 - ---------- run=3, buffer_size: 53 ----------
21:34:59.514 - ---------- run=4, buffer_size: 54 ----------
21:35:01.879 - ---------- run=5, buffer_size: 54 ----------
21:35:04.607 - ---------- run=6, buffer_size: 54 ----------
21:35:07.060 - ---------- run=7, buffer_size: 54 ----------
21:35:09.756 - ---------- run=8, buffer_size: 56 ----------
21:35:12.211 - ---------- run=9, buffer_size: 53 ----------
21:35:14.260 - ---------- run=10, buffer_size: 54 ----------
21:35:16.638 - ---------- run=11, buffer_size: 53 ----------
21:35:18.843 - ---------- run=12, buffer_size: 55 ----------
21:35:21.222 - ---------- run=13, buffer_size: 53 ----------
21:35:23.575 - ---------- run=14, buffer_size: 53 ----------
21:35:26.041 - ---------- run=15, buffer_size: 53 ----------
21:35:28.915 - ---------- run=16, buffer_size: 55 ----------
21:35:31.239 - ---------- run=17, buffer_size: 53 ----------
21:35:33.922 - ---------- run=18, buffer_size: 54 ----------
21:35:36.598 - ---------- run=19, buffer_size: 54 ----------
21:35:38.934 - ---------- run=20, buffer_size: 54 ----------
21:35:41.373 - ---------- run=21, buffer_size: 53 ----------
21:35:43.725 - ---------- run=22, buffer_size: 53 ----------
21:35:46.242 - ---------- run=23, buffer_size: 53 ----------
21:35:48.845 - ---------- run=24, buffer_size: 54 ----------
21:35:51.085 - ---------- run=25, buffer_size: 54 ----------
21:35:53.346 - ---------- run=26, buffer_size: 52 ----------
21:35:55.452 - ---------- run=27, buffer_size: 55 ----------
21:35:57.864 - ---------- run=28, buffer_size: 52 ----------
21:36:00.291 - ---------- run=29, buffer_size: 58 ----------
21:36:02.442 - ---------- run=30, buffer_size: 54 ----------
21:36:04.867 - ---------- run=31, buffer_size: 54 ----------
21:36:07.437 - ---------- run=32, buffer_size: 56 ----------
21:36:10.034 - ---------- run=33, buffer_size: 52 ----------
21:36:12.603 - ---------- run=34, buffer_size: 55 ----------
21:36:15.213 - ---------- run=35, buffer_size: 55 ----------
21:36:17.763 - ---------- run=36, buffer_size: 55 ----------
21:36:20.017 - ---------- run=37, buffer_size: 53 ----------
21:36:22.616 - ---------- run=38, buffer_size: 52 ----------
21:36:25.451 - ---------- run=39, buffer_size: 55 ----------
21:36:27.945 - ---------- run=40, buffer_size: 54 ----------
21:36:30.630 - ---------- run=41, buffer_size: 53 ----------
21:36:32.850 - ---------- run=42, buffer_size: 54 ----------
21:36:35.058 - ---------- run=43, buffer_size: 54 ----------
21:36:37.476 - ---------- run=44, buffer_size: 54 ----------
21:36:39.791 - ---------- run=45, buffer_size: 53 ----------
21:36:42.184 - ---------- run=46, buffer_size: 54 ----------
21:36:44.470 - ---------- run=47, buffer_size: 53 ----------
21:36:46.729 - ---------- run=48, buffer_size: 54 ----------
