23:34:56.155 - ---------- run=0, count=248 ----------
23:34:58.449 - ---------- run=1, count=104 ----------
23:35:00.858 - ---------- run=2, count=109 ----------
23:35:03.362 - ---------- run=3, count=114 ----------
23:35:05.920 - ---------- run=4, count=116 ----------
23:35:08.243 - ---------- run=5, count=106 ----------
23:35:10.772 - ---------- run=6, count=115 ----------
23:35:13.290 - ---------- run=7, count=114 ----------
23:35:15.849 - ---------- run=8, count=116 ----------
23:35:18.083 - ---------- run=9, count=102 ----------
23:35:20.098 - ---------- run=10, count=91 ----------
23:35:22.231 - ---------- run=11, count=98 ----------
23:35:24.480 - ---------- run=12, count=104 ----------
23:35:26.710 - ---------- run=13, count=103 ----------
23:35:29.119 - ---------- run=14, count=111 ----------
23:35:31.462 - ---------- run=15, count=108 ----------
23:35:33.935 - ---------- run=16, count=114 ----------
23:35:36.419 - ---------- run=17, count=114 ----------
23:35:38.629 - ---------- run=18, count=100 ----------
23:35:41.332 - ---------- run=19, count=124 ----------
23:35:43.412 - ---------- run=20, count=96 ----------
23:35:45.683 - ---------- run=21, count=104 ----------
23:35:48.154 - ---------- run=22, count=113 ----------
23:35:50.492 - ---------- run=23, count=107 ----------
23:35:52.619 - ---------- run=24, count=98 ----------
23:35:55.578 - ---------- run=25, count=136 ----------
23:35:58.191 - ---------- run=26, count=120 ----------
23:36:00.276 - ---------- run=27, count=96 ----------
23:36:02.479 - ---------- run=28, count=102 ----------
23:36:04.589 - ---------- run=29, count=97 ----------
23:36:07.151 - ---------- run=30, count=117 ----------
23:36:09.663 - ---------- run=31, count=114 ----------
23:36:25.787 - ---------- run=32, count=733 ----------
23:36:39.866 - ---------- run=33, count=640 ----------
23:37:30.222 - ---------- run=34, count=2289 ----------
23:37:47.271 - ---------- run=35, count=775 ----------
23:38:11.341 - ---------- run=36, count=1094 ----------
23:38:13.956 - ---------- run=37, count=119 ----------
23:38:16.340 - ---------- run=38, count=108 ----------
23:38:37.722 - ---------- run=39, count=972 ----------
23:38:40.027 - ---------- run=40, count=105 ----------
23:38:42.406 - ---------- run=41, count=108 ----------
23:38:45.158 - ---------- run=42, count=125 ----------
23:38:47.891 - ---------- run=43, count=124 ----------
23:38:54.391 - ---------- run=44, count=296 ----------
23:38:56.478 - ---------- run=45, count=94 ----------
23:38:58.607 - ---------- run=46, count=97 ----------
23:39:01.383 - ---------- run=47, count=126 ----------
23:39:03.927 - ---------- run=48, count=116 ----------
23:39:06.456 - ---------- run=49, count=115 ----------
23:39:09.291 - ---------- run=50, count=129 ----------
23:39:11.637 - ---------- run=51, count=106 ----------
23:39:14.137 - ---------- run=52, count=114 ----------
23:39:20.908 - ---------- run=53, count=308 ----------
23:39:23.064 - ---------- run=54, count=97 ----------
23:39:25.512 - ---------- run=55, count=112 ----------
23:39:28.070 - ---------- run=56, count=116 ----------
23:39:30.402 - ---------- run=57, count=106 ----------
23:39:32.833 - ---------- run=58, count=111 ----------
23:39:34.902 - ---------- run=59, count=94 ----------
23:39:37.631 - ---------- run=60, count=124 ----------
23:39:39.857 - ---------- run=61, count=101 ----------
23:39:42.422 - ---------- run=62, count=116 ----------
23:39:44.756 - ---------- run=63, count=106 ----------
23:39:47.171 - ---------- run=64, count=110 ----------
23:39:49.939 - ---------- run=65, count=126 ----------
23:39:56.681 - ---------- run=66, count=306 ----------
23:40:07.967 - ---------- run=67, count=513 ----------
23:40:18.957 - ---------- run=68, count=500 ----------
23:40:46.220 - ---------- run=69, count=1239 ----------
23:41:28.439 - ---------- run=70, count=1919 ----------
23:41:47.476 - ---------- run=71, count=865 ----------
23:42:03.597 - ---------- run=72, count=733 ----------
23:42:05.856 - ---------- run=73, count=103 ----------
23:42:08.386 - ---------- run=74, count=115 ----------
23:42:10.595 - ---------- run=75, count=100 ----------
23:42:13.521 - ---------- run=76, count=133 ----------
23:42:16.195 - ---------- run=77, count=121 ----------
23:42:18.528 - ---------- run=78, count=106 ----------
23:42:20.517 - ---------- run=79, count=91 ----------
23:42:22.556 - ---------- run=80, count=92 ----------
23:42:24.823 - ---------- run=81, count=103 ----------
23:42:27.302 - ---------- run=82, count=113 ----------
23:42:29.423 - ---------- run=83, count=96 ----------
23:42:31.789 - ---------- run=84, count=108 ----------
23:42:34.464 - ---------- run=85, count=121 ----------
23:42:37.028 - ---------- run=86, count=117 ----------
23:42:40.164 - ---------- run=87, count=142 ----------
23:42:42.947 - ---------- run=88, count=127 ----------
23:42:45.676 - ---------- run=89, count=124 ----------
23:42:53.254 - ---------- run=90, count=344 ----------
23:42:55.414 - ---------- run=91, count=98 ----------
23:42:57.647 - ---------- run=92, count=102 ----------
23:43:00.028 - ---------- run=93, count=108 ----------
23:43:02.154 - ---------- run=94, count=96 ----------
23:43:04.547 - ---------- run=95, count=109 ----------
23:43:11.590 - ---------- run=96, count=320 ----------
23:43:14.031 - ---------- run=97, count=111 ----------
23:43:33.308 - ---------- run=98, count=876 ----------
23:43:35.714 - ---------- run=99, count=109 ----------
23:43:38.295 - ---------- run=100, count=117 ----------
23:43:40.702 - ---------- run=101, count=110 ----------
23:43:43.558 - ---------- run=102, count=129 ----------
23:43:45.597 - ---------- run=103, count=93 ----------
23:43:48.182 - ---------- run=104, count=117 ----------
23:43:50.584 - ---------- run=105, count=110 ----------
23:43:52.812 - ---------- run=106, count=101 ----------
23:43:55.330 - ---------- run=107, count=114 ----------
23:43:58.076 - ---------- run=108, count=125 ----------
23:44:00.227 - ---------- run=109, count=97 ----------
23:44:02.168 - ---------- run=110, count=89 ----------
23:44:04.749 - ---------- run=111, count=117 ----------
23:44:07.076 - ---------- run=112, count=105 ----------
23:44:09.824 - ---------- run=113, count=125 ----------
23:44:12.271 - ---------- run=114, count=111 ----------
23:44:14.576 - ---------- run=115, count=105 ----------
23:44:17.293 - ---------- run=116, count=123 ----------
23:44:19.523 - ---------- run=117, count=101 ----------
23:44:22.263 - ---------- run=118, count=125 ----------
23:44:24.681 - ---------- run=119, count=110 ----------
23:44:35.972 - ---------- run=120, count=513 ----------
23:45:00.065 - ---------- run=121, count=1096 ----------
23:45:02.027 - ---------- run=122, count=89 ----------
23:45:04.255 - ---------- run=123, count=101 ----------
23:45:06.909 - ---------- run=124, count=120 ----------
23:45:09.689 - ---------- run=125, count=127 ----------
23:45:11.897 - ---------- run=126, count=100 ----------
23:45:14.115 - ---------- run=127, count=101 ----------
23:45:16.307 - ---------- run=128, count=100 ----------
23:45:18.735 - ---------- run=129, count=110 ----------
23:45:20.723 - ---------- run=130, count=90 ----------
23:45:23.208 - ---------- run=131, count=113 ----------
23:45:25.458 - ---------- run=132, count=102 ----------
23:45:27.865 - ---------- run=133, count=110 ----------
23:45:30.633 - ---------- run=134, count=125 ----------
23:45:32.926 - ---------- run=135, count=104 ----------
23:45:35.052 - ---------- run=136, count=97 ----------
23:45:37.570 - ---------- run=137, count=114 ----------
23:45:39.874 - ---------- run=138, count=105 ----------
23:45:42.365 - ---------- run=139, count=113 ----------
23:45:44.660 - ---------- run=140, count=104 ----------
23:45:47.321 - ---------- run=141, count=121 ----------
23:45:49.750 - ---------- run=142, count=110 ----------
23:45:52.773 - ---------- run=143, count=138 ----------
23:45:55.352 - ---------- run=144, count=117 ----------
23:45:57.766 - ---------- run=145, count=110 ----------
23:45:59.997 - ---------- run=146, count=101 ----------
23:46:06.744 - ---------- run=147, count=306 ----------
23:46:08.918 - ---------- run=148, count=99 ----------
23:46:11.117 - ---------- run=149, count=100 ----------
23:46:18.222 - ---------- run=150, count=323 ----------
23:46:20.669 - ---------- run=151, count=111 ----------
23:46:23.139 - ---------- run=152, count=112 ----------
23:46:25.664 - ---------- run=153, count=115 ----------
23:46:28.283 - ---------- run=154, count=119 ----------
23:46:30.318 - ---------- run=155, count=92 ----------
23:46:32.246 - ---------- run=156, count=88 ----------
23:46:34.634 - ---------- run=157, count=108 ----------
23:46:36.868 - ---------- run=158, count=102 ----------
23:46:39.535 - ---------- run=159, count=121 ----------
23:46:41.810 - ---------- run=160, count=103 ----------
23:46:44.419 - ---------- run=161, count=118 ----------
23:46:46.795 - ---------- run=162, count=108 ----------
23:46:49.288 - ---------- run=163, count=114 ----------
23:46:51.583 - ---------- run=164, count=104 ----------
23:46:54.101 - ---------- run=165, count=114 ----------
23:46:56.728 - ---------- run=166, count=120 ----------
23:46:59.148 - ---------- run=167, count=110 ----------
23:47:01.291 - ---------- run=168, count=97 ----------
23:47:03.757 - ---------- run=169, count=112 ----------
23:47:10.831 - ---------- run=170, count=322 ----------
23:47:13.219 - ---------- run=171, count=108 ----------
23:47:15.260 - ---------- run=172, count=93 ----------
