21:39:08.984 - ---------- run=106, buffer_size: 52 ----------
21:39:11.320 - ---------- run=107, buffer_size: 55 ----------
21:39:13.656 - ---------- run=108, buffer_size: 53 ----------
21:39:16.325 - ---------- run=109, buffer_size: 53 ----------
21:39:18.675 - ---------- run=110, buffer_size: 52 ----------
21:39:21.059 - ---------- run=111, buffer_size: 53 ----------
21:39:23.514 - ---------- run=112, buffer_size: 54 ----------
21:39:25.739 - ---------- run=113, buffer_size: 52 ----------
21:39:28.294 - ---------- run=114, buffer_size: 53 ----------
21:39:30.690 - ---------- run=115, buffer_size: 54 ----------
21:39:32.834 - ---------- run=116, buffer_size: 52 ----------
21:39:35.351 - ---------- run=117, buffer_size: 55 ----------
21:39:37.945 - ---------- run=118, buffer_size: 54 ----------
21:39:40.280 - ---------- run=119, buffer_size: 56 ----------
21:39:42.830 - ---------- run=120, buffer_size: 55 ----------
21:39:45.205 - ---------- run=121, buffer_size: 54 ----------
21:39:48.039 - ---------- run=122, buffer_size: 54 ----------
21:39:50.437 - ---------- run=123, buffer_size: 53 ----------
21:39:52.856 - ---------- run=124, buffer_size: 55 ----------
21:39:55.021 - ---------- run=125, buffer_size: 55 ----------
21:39:57.573 - ---------- run=126, buffer_size: 54 ----------
21:39:59.601 - ---------- run=127, buffer_size: 54 ----------
21:40:01.722 - ---------- run=128, buffer_size: 53 ----------
21:40:03.977 - ---------- run=129, buffer_size: 54 ----------
21:40:05.985 - ---------- run=130, buffer_size: 52 ----------
21:40:08.082 - ---------- run=131, buffer_size: 53 ----------
21:40:10.466 - ---------- run=132, buffer_size: 53 ----------
21:40:12.589 - ---------- run=133, buffer_size: 53 ----------
21:40:15.323 - ---------- run=134, buffer_size: 53 ----------
21:40:17.642 - ---------- run=135, buffer_size: 55 ----------
21:40:20.175 - ---------- run=136, buffer_size: 54 ----------
21:40:22.651 - ---------- run=137, buffer_size: 56 ----------
21:40:24.862 - ---------- run=138, buffer_size: 53 ----------
21:40:27.246 - ---------- run=139, buffer_size: 53 ----------
21:40:29.485 - ---------- run=140, buffer_size: 54 ----------
21:40:31.894 - ---------- run=141, buffer_size: 55 ----------
21:40:34.114 - ---------- run=142, buffer_size: 54 ----------
21:40:36.489 - ---------- run=143, buffer_size: 53 ----------
21:40:39.112 - ---------- run=144, buffer_size: 54 ----------
21:40:41.747 - ---------- run=145, buffer_size: 54 ----------
21:40:44.161 - ---------- run=146, buffer_size: 54 ----------
21:40:46.755 - ---------- run=147, buffer_size: 56 ----------
21:40:49.199 - ---------- run=148, buffer_size: 52 ----------
21:40:51.424 - ---------- run=149, buffer_size: 54 ----------
21:40:53.903 - ---------- run=150, buffer_size: 54 ----------
21:40:56.660 - ---------- run=151, buffer_size: 56 ----------
21:40:59.127 - ---------- run=152, buffer_size: 54 ----------
21:41:01.596 - ---------- run=153, buffer_size: 53 ----------
21:41:04.088 - ---------- run=154, buffer_size: 53 ----------
21:41:06.326 - ---------- run=155, buffer_size: 53 ----------
21:41:08.341 - ---------- run=156, buffer_size: 54 ----------
21:41:10.834 - ---------- run=157, buffer_size: 55 ----------
21:41:13.049 - ---------- run=158, buffer_size: 55 ----------
21:41:14.964 - ---------- run=159, buffer_size: 53 ----------
21:41:17.473 - ---------- run=160, buffer_size: 53 ----------
21:41:19.903 - ---------- run=161, buffer_size: 56 ----------
21:41:22.777 - ---------- run=162, buffer_size: 53 ----------
21:41:25.374 - ---------- run=163, buffer_size: 52 ----------
21:41:27.848 - ---------- run=164, buffer_size: 54 ----------
21:41:30.741 - ---------- run=165, buffer_size: 55 ----------
21:41:33.461 - ---------- run=166, buffer_size: 53 ----------
21:41:35.870 - ---------- run=167, buffer_size: 53 ----------
21:41:38.383 - ---------- run=168, buffer_size: 53 ----------
21:41:40.774 - ---------- run=169, buffer_size: 54 ----------
21:41:43.435 - ---------- run=170, buffer_size: 53 ----------
21:41:45.863 - ---------- run=171, buffer_size: 54 ----------
21:41:47.915 - ---------- run=172, buffer_size: 53 ----------
21:41:50.292 - ---------- run=173, buffer_size: 55 ----------
21:41:52.971 - ---------- run=174, buffer_size: 55 ----------
21:41:55.427 - ---------- run=175, buffer_size: 54 ----------
21:41:57.779 - ---------- run=176, buffer_size: 54 ----------
21:42:00.222 - ---------- run=177, buffer_size: 52 ----------
21:42:02.594 - ---------- run=178, buffer_size: 53 ----------
21:42:04.914 - ---------- run=179, buffer_size: 53 ----------
21:42:07.166 - ---------- run=180, buffer_size: 53 ----------
21:42:09.578 - ---------- run=181, buffer_size: 57 ----------
21:42:11.938 - ---------- run=182, buffer_size: 53 ----------
21:42:14.359 - ---------- run=183, buffer_size: 54 ----------
21:42:16.415 - ---------- run=184, buffer_size: 53 ----------
21:42:18.654 - ---------- run=185, buffer_size: 55 ----------
21:42:20.894 - ---------- run=186, buffer_size: 53 ----------
21:42:23.521 - ---------- run=187, buffer_size: 55 ----------
21:42:25.630 - ---------- run=188, buffer_size: 54 ----------
21:42:28.078 - ---------- run=189, buffer_size: 52 ----------
21:42:30.003 - ---------- run=190, buffer_size: 54 ----------
21:42:32.079 - ---------- run=191, buffer_size: 53 ----------
21:42:34.243 - ---------- run=192, buffer_size: 54 ----------
21:42:36.980 - ---------- run=193, buffer_size: 54 ----------
21:42:39.462 - ---------- run=194, buffer_size: 52 ----------
21:42:41.654 - ---------- run=195, buffer_size: 53 ----------
21:42:44.009 - ---------- run=196, buffer_size: 54 ----------
21:42:46.340 - ---------- run=197, buffer_size: 53 ----------
21:42:48.715 - ---------- run=198, buffer_size: 54 ----------
21:42:51.311 - ---------- run=199, buffer_size: 54 ----------
21:42:53.615 - ---------- run=200, buffer_size: 54 ----------
21:42:56.110 - ---------- run=201, buffer_size: 56 ----------
21:42:58.631 - ---------- run=202, buffer_size: 55 ----------
21:43:01.091 - ---------- run=203, buffer_size: 56 ----------
21:43:03.571 - ---------- run=204, buffer_size: 53 ----------
21:43:06.219 - ---------- run=205, buffer_size: 54 ----------
21:43:08.772 - ---------- run=206, buffer_size: 54 ----------
21:43:11.105 - ---------- run=207, buffer_size: 54 ----------
21:43:13.290 - ---------- run=208, buffer_size: 53 ----------
21:43:15.667 - ---------- run=209, buffer_size: 53 ----------
21:43:17.863 - ---------- run=210, buffer_size: 53 ----------
21:43:20.272 - ---------- run=211, buffer_size: 53 ----------
21:43:22.589 - ---------- run=212, buffer_size: 54 ----------
21:43:24.825 - ---------- run=213, buffer_size: 54 ----------
21:43:27.020 - ---------- run=214, buffer_size: 56 ----------
21:43:28.986 - ---------- run=215, buffer_size: 55 ----------
21:43:31.258 - ---------- run=216, buffer_size: 54 ----------
21:43:33.908 - ---------- run=217, buffer_size: 52 ----------
21:43:36.110 - ---------- run=218, buffer_size: 54 ----------
21:43:38.605 - ---------- run=219, buffer_size: 54 ----------
21:43:40.790 - ---------- run=220, buffer_size: 53 ----------
21:43:43.062 - ---------- run=221, buffer_size: 55 ----------
21:43:45.378 - ---------- run=222, buffer_size: 53 ----------
21:43:47.739 - ---------- run=223, buffer_size: 55 ----------
21:43:50.436 - ---------- run=224, buffer_size: 56 ----------
21:43:53.077 - ---------- run=225, buffer_size: 53 ----------
