06:06:36.407 - ---------- run=0, count=249 ----------
06:06:38.686 - ---------- run=1, count=103 ----------
06:06:40.545 - ---------- run=2, count=85 ----------
06:06:42.849 - ---------- run=3, count=104 ----------
06:06:45.101 - ---------- run=4, count=103 ----------
06:06:47.599 - ---------- run=5, count=113 ----------
06:06:50.200 - ---------- run=6, count=118 ----------
06:06:53.004 - ---------- run=7, count=127 ----------
06:06:55.025 - ---------- run=8, count=92 ----------
06:06:57.306 - ---------- run=9, count=104 ----------
06:06:59.701 - ---------- run=10, count=109 ----------
06:07:02.164 - ---------- run=11, count=111 ----------
06:07:04.577 - ---------- run=12, count=110 ----------
06:07:06.615 - ---------- run=13, count=92 ----------
06:07:13.475 - ---------- run=14, count=312 ----------
06:07:15.722 - ---------- run=15, count=102 ----------
06:07:18.333 - ---------- run=16, count=118 ----------
06:07:20.519 - ---------- run=17, count=100 ----------
06:07:23.049 - ---------- run=18, count=115 ----------
06:07:25.247 - ---------- run=19, count=100 ----------
06:07:27.280 - ---------- run=20, count=92 ----------
06:07:29.604 - ---------- run=21, count=105 ----------
06:07:32.123 - ---------- run=22, count=115 ----------
06:07:35.000 - ---------- run=23, count=130 ----------
06:07:37.570 - ---------- run=24, count=117 ----------
06:07:39.906 - ---------- run=25, count=106 ----------
06:07:42.311 - ---------- run=26, count=109 ----------
06:07:44.608 - ---------- run=27, count=104 ----------
06:07:51.888 - ---------- run=28, count=331 ----------
06:07:54.218 - ---------- run=29, count=106 ----------
06:07:56.906 - ---------- run=30, count=122 ----------
06:07:58.959 - ---------- run=31, count=93 ----------
06:08:01.439 - ---------- run=32, count=113 ----------
06:08:03.800 - ---------- run=33, count=107 ----------
06:08:06.317 - ---------- run=34, count=114 ----------
06:08:08.475 - ---------- run=35, count=98 ----------
06:08:10.710 - ---------- run=36, count=101 ----------
06:08:16.486 - ---------- run=37, count=263 ----------
06:08:18.377 - ---------- run=38, count=85 ----------
06:08:20.460 - ---------- run=39, count=95 ----------
06:08:23.017 - ---------- run=40, count=116 ----------
06:08:25.433 - ---------- run=41, count=110 ----------
06:08:27.894 - ---------- run=42, count=112 ----------
06:08:30.226 - ---------- run=43, count=106 ----------
06:08:32.464 - ---------- run=44, count=101 ----------
06:08:34.636 - ---------- run=45, count=99 ----------
06:08:36.923 - ---------- run=46, count=104 ----------
06:08:42.157 - ---------- run=47, count=237 ----------
06:08:48.912 - ---------- run=48, count=307 ----------
06:08:51.617 - ---------- run=49, count=123 ----------
06:08:54.068 - ---------- run=50, count=111 ----------
06:08:56.388 - ---------- run=51, count=106 ----------
06:08:58.849 - ---------- run=52, count=111 ----------
06:09:01.206 - ---------- run=53, count=107 ----------
06:09:03.020 - ---------- run=54, count=83 ----------
06:09:05.258 - ---------- run=55, count=101 ----------
06:09:07.968 - ---------- run=56, count=123 ----------
06:09:09.889 - ---------- run=57, count=88 ----------
06:09:12.201 - ---------- run=58, count=105 ----------
06:09:14.789 - ---------- run=59, count=117 ----------
06:09:17.204 - ---------- run=60, count=110 ----------
06:09:19.474 - ---------- run=61, count=103 ----------
06:09:21.769 - ---------- run=62, count=104 ----------
06:09:24.050 - ---------- run=63, count=104 ----------
06:09:26.535 - ---------- run=64, count=113 ----------
06:09:28.928 - ---------- run=65, count=108 ----------
06:09:31.467 - ---------- run=66, count=116 ----------
06:09:33.831 - ---------- run=67, count=107 ----------
06:09:36.032 - ---------- run=68, count=100 ----------
06:09:38.408 - ---------- run=69, count=108 ----------
06:09:41.042 - ---------- run=70, count=119 ----------
06:09:47.842 - ---------- run=71, count=309 ----------
06:09:50.561 - ---------- run=72, count=124 ----------
06:09:52.877 - ---------- run=73, count=105 ----------
06:09:54.979 - ---------- run=74, count=95 ----------
06:09:57.184 - ---------- run=75, count=100 ----------
06:10:03.425 - ---------- run=76, count=284 ----------
06:10:05.522 - ---------- run=77, count=95 ----------
06:10:07.927 - ---------- run=78, count=109 ----------
06:10:10.324 - ---------- run=79, count=109 ----------
06:10:12.195 - ---------- run=80, count=85 ----------
06:10:14.258 - ---------- run=81, count=93 ----------
06:10:16.484 - ---------- run=82, count=101 ----------
06:10:18.843 - ---------- run=83, count=107 ----------
06:10:21.474 - ---------- run=84, count=120 ----------
06:10:23.859 - ---------- run=85, count=108 ----------
06:10:26.077 - ---------- run=86, count=101 ----------
06:10:28.213 - ---------- run=87, count=97 ----------
06:10:30.940 - ---------- run=88, count=123 ----------
06:10:33.526 - ---------- run=89, count=118 ----------
06:10:36.050 - ---------- run=90, count=114 ----------
06:10:38.486 - ---------- run=91, count=111 ----------
06:10:40.937 - ---------- run=92, count=111 ----------
06:10:43.292 - ---------- run=93, count=107 ----------
06:10:45.503 - ---------- run=94, count=101 ----------
06:10:47.904 - ---------- run=95, count=109 ----------
06:10:50.374 - ---------- run=96, count=112 ----------
06:10:52.756 - ---------- run=97, count=109 ----------
06:10:55.177 - ---------- run=98, count=110 ----------
06:10:57.541 - ---------- run=99, count=107 ----------
06:10:59.682 - ---------- run=100, count=97 ----------
06:11:05.169 - ---------- run=101, count=250 ----------
06:11:07.976 - ---------- run=102, count=127 ----------
06:11:10.400 - ---------- run=103, count=110 ----------
06:11:12.605 - ---------- run=104, count=100 ----------
06:11:17.910 - ---------- run=105, count=242 ----------
06:11:20.471 - ---------- run=106, count=116 ----------
06:11:23.008 - ---------- run=107, count=115 ----------
06:11:25.308 - ---------- run=108, count=104 ----------
06:11:27.642 - ---------- run=109, count=106 ----------
06:11:30.064 - ---------- run=110, count=110 ----------
06:11:32.404 - ---------- run=111, count=107 ----------
06:11:34.673 - ---------- run=112, count=103 ----------
06:11:36.910 - ---------- run=113, count=101 ----------
06:11:39.265 - ---------- run=114, count=107 ----------
06:11:41.450 - ---------- run=115, count=99 ----------
06:11:43.786 - ---------- run=116, count=106 ----------
06:11:45.894 - ---------- run=117, count=96 ----------
06:11:48.232 - ---------- run=118, count=107 ----------
06:11:50.661 - ---------- run=119, count=110 ----------
06:11:53.114 - ---------- run=120, count=111 ----------
06:11:55.720 - ---------- run=121, count=119 ----------
06:11:58.257 - ---------- run=122, count=115 ----------
06:12:00.717 - ---------- run=123, count=112 ----------
06:12:03.313 - ---------- run=124, count=118 ----------
06:12:06.101 - ---------- run=125, count=126 ----------
06:12:08.319 - ---------- run=126, count=101 ----------
06:12:10.639 - ---------- run=127, count=106 ----------
06:12:15.784 - ---------- run=128, count=233 ----------
06:12:18.110 - ---------- run=129, count=106 ----------
06:12:20.605 - ---------- run=130, count=113 ----------
06:12:22.945 - ---------- run=131, count=106 ----------
06:12:25.780 - ---------- run=132, count=128 ----------
06:12:28.101 - ---------- run=133, count=106 ----------
06:12:30.214 - ---------- run=134, count=96 ----------
06:12:32.664 - ---------- run=135, count=111 ----------
06:12:35.179 - ---------- run=136, count=114 ----------
06:12:37.728 - ---------- run=137, count=116 ----------
06:12:40.290 - ---------- run=138, count=117 ----------
06:12:42.310 - ---------- run=139, count=91 ----------
06:12:44.637 - ---------- run=140, count=106 ----------
06:12:47.136 - ---------- run=141, count=114 ----------
06:12:49.831 - ---------- run=142, count=122 ----------
06:12:52.282 - ---------- run=143, count=111 ----------
06:12:55.031 - ---------- run=144, count=125 ----------
06:12:57.174 - ---------- run=145, count=98 ----------
06:12:59.280 - ---------- run=146, count=95 ----------
06:13:01.636 - ---------- run=147, count=107 ----------
06:13:07.117 - ---------- run=148, count=250 ----------
06:13:09.049 - ---------- run=149, count=88 ----------
06:13:11.453 - ---------- run=150, count=109 ----------
06:13:13.602 - ---------- run=151, count=97 ----------
06:13:15.552 - ---------- run=152, count=88 ----------
06:13:18.027 - ---------- run=153, count=113 ----------
06:13:20.583 - ---------- run=154, count=116 ----------
06:13:23.021 - ---------- run=155, count=111 ----------
06:13:28.991 - ---------- run=156, count=271 ----------
06:13:31.378 - ---------- run=157, count=108 ----------
06:13:33.801 - ---------- run=158, count=111 ----------
06:13:35.948 - ---------- run=159, count=97 ----------
06:13:38.473 - ---------- run=160, count=115 ----------
06:13:40.966 - ---------- run=161, count=113 ----------
06:13:43.103 - ---------- run=162, count=97 ----------
06:13:45.667 - ---------- run=163, count=117 ----------
06:13:47.774 - ---------- run=164, count=95 ----------
06:13:49.916 - ---------- run=165, count=98 ----------
06:13:52.551 - ---------- run=166, count=119 ----------
06:13:55.318 - ---------- run=167, count=126 ----------
06:13:57.497 - ---------- run=168, count=99 ----------
06:13:59.952 - ---------- run=169, count=112 ----------
06:14:02.213 - ---------- run=170, count=102 ----------
06:14:04.564 - ---------- run=171, count=107 ----------
06:14:06.930 - ---------- run=172, count=108 ----------
