04:01:59.874 - ---------- run=0, buffer_size: 50 ----------
04:02:02.108 - ---------- run=1, buffer_size: 52 ----------
04:02:04.380 - ---------- run=2, buffer_size: 51 ----------
04:02:06.612 - ---------- run=3, buffer_size: 53 ----------
04:02:09.009 - ---------- run=4, buffer_size: 51 ----------
04:02:11.041 - ---------- run=5, buffer_size: 51 ----------
04:02:13.376 - ---------- run=6, buffer_size: 55 ----------
04:02:15.393 - ---------- run=7, buffer_size: 52 ----------
04:02:17.928 - ---------- run=8, buffer_size: 52 ----------
04:02:20.282 - ---------- run=9, buffer_size: 53 ----------
04:02:23.293 - ---------- run=10, buffer_size: 53 ----------
04:02:25.684 - ---------- run=11, buffer_size: 53 ----------
04:02:28.145 - ---------- run=12, buffer_size: 53 ----------
04:02:31.154 - ---------- run=13, buffer_size: 52 ----------
04:02:33.371 - ---------- run=14, buffer_size: 54 ----------
04:02:35.806 - ---------- run=15, buffer_size: 52 ----------
04:02:38.044 - ---------- run=16, buffer_size: 52 ----------
04:02:40.037 - ---------- run=17, buffer_size: 52 ----------
04:02:42.652 - ---------- run=18, buffer_size: 53 ----------
04:02:45.002 - ---------- run=19, buffer_size: 52 ----------
04:02:47.399 - ---------- run=20, buffer_size: 52 ----------
04:02:49.926 - ---------- run=21, buffer_size: 53 ----------
04:02:52.171 - ---------- run=22, buffer_size: 52 ----------
04:02:54.563 - ---------- run=23, buffer_size: 52 ----------
04:02:56.773 - ---------- run=24, buffer_size: 52 ----------
04:02:59.275 - ---------- run=25, buffer_size: 52 ----------
04:03:01.718 - ---------- run=26, buffer_size: 54 ----------
04:03:04.457 - ---------- run=27, buffer_size: 54 ----------
04:03:07.099 - ---------- run=28, buffer_size: 52 ----------
04:03:09.660 - ---------- run=29, buffer_size: 52 ----------
04:03:12.291 - ---------- run=30, buffer_size: 53 ----------
04:03:14.711 - ---------- run=31, buffer_size: 57 ----------
04:03:16.710 - ---------- run=32, buffer_size: 52 ----------
04:03:19.057 - ---------- run=33, buffer_size: 52 ----------
04:03:21.195 - ---------- run=34, buffer_size: 52 ----------
04:03:23.242 - ---------- run=35, buffer_size: 51 ----------
04:03:25.634 - ---------- run=36, buffer_size: 53 ----------
04:03:27.723 - ---------- run=37, buffer_size: 52 ----------
04:03:30.257 - ---------- run=38, buffer_size: 52 ----------
04:03:32.539 - ---------- run=39, buffer_size: 53 ----------
04:03:34.986 - ---------- run=40, buffer_size: 53 ----------
04:03:37.833 - ---------- run=41, buffer_size: 53 ----------
04:03:39.956 - ---------- run=42, buffer_size: 53 ----------
04:03:42.023 - ---------- run=43, buffer_size: 52 ----------
04:03:44.309 - ---------- run=44, buffer_size: 54 ----------
04:03:46.622 - ---------- run=45, buffer_size: 53 ----------
04:03:48.929 - ---------- run=46, buffer_size: 52 ----------
04:03:51.277 - ---------- run=47, buffer_size: 52 ----------
04:03:53.603 - ---------- run=48, buffer_size: 51 ----------
04:03:55.996 - ---------- run=49, buffer_size: 52 ----------
04:03:58.324 - ---------- run=50, buffer_size: 51 ----------
04:04:00.316 - ---------- run=51, buffer_size: 52 ----------
04:04:02.577 - ---------- run=52, buffer_size: 53 ----------
04:04:04.839 - ---------- run=53, buffer_size: 52 ----------
04:04:07.309 - ---------- run=54, buffer_size: 54 ----------
04:04:09.516 - ---------- run=55, buffer_size: 52 ----------
04:04:12.144 - ---------- run=56, buffer_size: 52 ----------
04:04:14.676 - ---------- run=57, buffer_size: 56 ----------
04:04:16.786 - ---------- run=58, buffer_size: 52 ----------
04:04:18.864 - ---------- run=59, buffer_size: 53 ----------
04:04:20.970 - ---------- run=60, buffer_size: 52 ----------
04:04:23.627 - ---------- run=61, buffer_size: 52 ----------
04:04:26.286 - ---------- run=62, buffer_size: 52 ----------
04:04:28.725 - ---------- run=63, buffer_size: 52 ----------
04:04:30.920 - ---------- run=64, buffer_size: 51 ----------
04:04:33.330 - ---------- run=65, buffer_size: 54 ----------
04:04:35.635 - ---------- run=66, buffer_size: 52 ----------
04:04:38.561 - ---------- run=67, buffer_size: 53 ----------
04:04:40.854 - ---------- run=68, buffer_size: 52 ----------
04:04:43.059 - ---------- run=69, buffer_size: 52 ----------
04:04:45.222 - ---------- run=70, buffer_size: 52 ----------
04:04:47.596 - ---------- run=71, buffer_size: 52 ----------
04:04:50.001 - ---------- run=72, buffer_size: 52 ----------
04:04:52.328 - ---------- run=73, buffer_size: 53 ----------
04:04:55.029 - ---------- run=74, buffer_size: 53 ----------
04:04:57.663 - ---------- run=75, buffer_size: 52 ----------
04:05:00.188 - ---------- run=76, buffer_size: 53 ----------
04:05:02.406 - ---------- run=77, buffer_size: 55 ----------
04:05:04.751 - ---------- run=78, buffer_size: 52 ----------
04:05:06.627 - ---------- run=79, buffer_size: 52 ----------
04:05:09.045 - ---------- run=80, buffer_size: 52 ----------
04:05:11.190 - ---------- run=81, buffer_size: 52 ----------
04:05:13.463 - ---------- run=82, buffer_size: 53 ----------
04:05:15.867 - ---------- run=83, buffer_size: 52 ----------
