22:56:27.254 - ---------- run=0, buffer_size: 50 ----------
22:56:29.416 - ---------- run=1, buffer_size: 56 ----------
22:56:31.658 - ---------- run=2, buffer_size: 54 ----------
22:56:33.890 - ---------- run=3, buffer_size: 52 ----------
22:56:36.503 - ---------- run=4, buffer_size: 54 ----------
22:56:38.736 - ---------- run=5, buffer_size: 53 ----------
22:56:41.173 - ---------- run=6, buffer_size: 55 ----------
22:56:43.451 - ---------- run=7, buffer_size: 52 ----------
22:56:45.614 - ---------- run=8, buffer_size: 52 ----------
22:56:48.414 - ---------- run=9, buffer_size: 55 ----------
22:56:50.946 - ---------- run=10, buffer_size: 53 ----------
22:56:53.511 - ---------- run=11, buffer_size: 52 ----------
22:56:55.720 - ---------- run=12, buffer_size: 52 ----------
22:56:58.156 - ---------- run=13, buffer_size: 53 ----------
22:57:00.435 - ---------- run=14, buffer_size: 53 ----------
22:57:02.368 - ---------- run=15, buffer_size: 53 ----------
22:57:05.042 - ---------- run=16, buffer_size: 53 ----------
22:57:07.190 - ---------- run=17, buffer_size: 53 ----------
22:57:09.541 - ---------- run=18, buffer_size: 53 ----------
22:57:11.849 - ---------- run=19, buffer_size: 52 ----------
22:57:14.352 - ---------- run=20, buffer_size: 55 ----------
22:57:17.032 - ---------- run=21, buffer_size: 52 ----------
22:57:19.290 - ---------- run=22, buffer_size: 53 ----------
22:57:22.011 - ---------- run=23, buffer_size: 52 ----------
22:57:24.148 - ---------- run=24, buffer_size: 53 ----------
22:57:26.415 - ---------- run=25, buffer_size: 52 ----------
22:57:28.958 - ---------- run=26, buffer_size: 54 ----------
22:57:30.797 - ---------- run=27, buffer_size: 52 ----------
22:57:33.184 - ---------- run=28, buffer_size: 52 ----------
22:57:35.687 - ---------- run=29, buffer_size: 52 ----------
22:57:37.733 - ---------- run=30, buffer_size: 52 ----------
22:57:40.561 - ---------- run=31, buffer_size: 53 ----------
22:57:43.096 - ---------- run=32, buffer_size: 56 ----------
22:57:45.368 - ---------- run=33, buffer_size: 53 ----------
22:57:47.478 - ---------- run=34, buffer_size: 53 ----------
22:57:49.786 - ---------- run=35, buffer_size: 52 ----------
22:57:52.219 - ---------- run=36, buffer_size: 53 ----------
22:57:54.538 - ---------- run=37, buffer_size: 53 ----------
22:57:56.703 - ---------- run=38, buffer_size: 52 ----------
22:57:59.028 - ---------- run=39, buffer_size: 52 ----------
22:58:01.459 - ---------- run=40, buffer_size: 54 ----------
22:58:03.812 - ---------- run=41, buffer_size: 54 ----------
22:58:06.114 - ---------- run=42, buffer_size: 54 ----------
22:58:08.319 - ---------- run=43, buffer_size: 53 ----------
22:58:10.873 - ---------- run=44, buffer_size: 53 ----------
22:58:13.100 - xxxxxxxxxx run=45 failed
22:58:15.356 - ---------- run=46, buffer_size: 52 ----------
22:58:18.165 - ---------- run=47, buffer_size: 53 ----------
22:58:20.307 - ---------- run=48, buffer_size: 53 ----------
22:58:22.738 - ---------- run=49, buffer_size: 54 ----------
22:58:25.050 - ---------- run=50, buffer_size: 52 ----------
22:58:27.406 - ---------- run=51, buffer_size: 52 ----------
22:58:29.713 - ---------- run=52, buffer_size: 53 ----------
22:58:32.624 - ---------- run=53, buffer_size: 51 ----------
22:58:35.100 - ---------- run=54, buffer_size: 53 ----------
22:58:37.630 - ---------- run=55, buffer_size: 53 ----------
22:58:39.591 - ---------- run=56, buffer_size: 52 ----------
22:58:42.249 - ---------- run=57, buffer_size: 53 ----------
22:58:44.858 - ---------- run=58, buffer_size: 53 ----------
22:58:47.199 - ---------- run=59, buffer_size: 52 ----------
22:58:49.632 - ---------- run=60, buffer_size: 56 ----------
22:58:51.920 - ---------- run=61, buffer_size: 53 ----------
22:58:54.267 - ---------- run=62, buffer_size: 54 ----------
22:58:56.194 - ---------- run=63, buffer_size: 52 ----------
22:58:58.722 - ---------- run=64, buffer_size: 54 ----------
22:59:01.158 - ---------- run=65, buffer_size: 53 ----------
22:59:03.378 - ---------- run=66, buffer_size: 52 ----------
22:59:05.896 - ---------- run=67, buffer_size: 53 ----------
22:59:08.225 - ---------- run=68, buffer_size: 53 ----------
22:59:10.652 - ---------- run=69, buffer_size: 52 ----------
22:59:12.541 - ---------- run=70, buffer_size: 52 ----------
