23:14:56.687 - ---------- run=0, buffer_size: 50 ----------
23:14:59.057 - ---------- run=1, buffer_size: 52 ----------
23:15:01.208 - ---------- run=2, buffer_size: 52 ----------
23:15:03.793 - ---------- run=3, buffer_size: 57 ----------
23:15:05.857 - ---------- run=4, buffer_size: 54 ----------
23:15:07.990 - ---------- run=5, buffer_size: 53 ----------
23:15:10.219 - ---------- run=6, buffer_size: 52 ----------
23:15:12.530 - ---------- run=7, buffer_size: 52 ----------
23:15:15.166 - ---------- run=8, buffer_size: 54 ----------
23:15:17.292 - ---------- run=9, buffer_size: 52 ----------
23:15:19.799 - ---------- run=10, buffer_size: 52 ----------
23:15:22.231 - ---------- run=11, buffer_size: 54 ----------
23:15:24.599 - ---------- run=12, buffer_size: 54 ----------
23:15:26.981 - ---------- run=13, buffer_size: 54 ----------
23:15:29.463 - ---------- run=14, buffer_size: 53 ----------
23:15:32.019 - ---------- run=15, buffer_size: 52 ----------
23:15:33.986 - ---------- run=16, buffer_size: 52 ----------
23:15:36.174 - ---------- run=17, buffer_size: 53 ----------
23:15:38.711 - ---------- run=18, buffer_size: 53 ----------
23:15:41.323 - ---------- run=19, buffer_size: 53 ----------
23:15:43.827 - ---------- run=20, buffer_size: 52 ----------
23:15:46.152 - ---------- run=21, buffer_size: 54 ----------
23:15:48.336 - ---------- run=22, buffer_size: 52 ----------
23:15:51.046 - ---------- run=23, buffer_size: 52 ----------
23:15:53.654 - ---------- run=24, buffer_size: 52 ----------
23:15:56.047 - ---------- run=25, buffer_size: 55 ----------
23:15:58.010 - ---------- run=26, buffer_size: 55 ----------
23:16:00.719 - ---------- run=27, buffer_size: 52 ----------
23:16:03.153 - ---------- run=28, buffer_size: 52 ----------
23:16:05.642 - ---------- run=29, buffer_size: 51 ----------
23:16:07.551 - ---------- run=30, buffer_size: 52 ----------
23:16:10.062 - ---------- run=31, buffer_size: 54 ----------
23:16:12.397 - ---------- run=32, buffer_size: 52 ----------
23:16:14.670 - ---------- run=33, buffer_size: 54 ----------
23:16:17.237 - ---------- run=34, buffer_size: 51 ----------
23:16:19.651 - ---------- run=35, buffer_size: 53 ----------
23:16:22.438 - ---------- run=36, buffer_size: 52 ----------
23:16:25.025 - ---------- run=37, buffer_size: 53 ----------
23:16:27.092 - ---------- run=38, buffer_size: 52 ----------
23:16:29.542 - ---------- run=39, buffer_size: 55 ----------
23:16:31.829 - ---------- run=40, buffer_size: 52 ----------
23:16:34.827 - ---------- run=41, buffer_size: 54 ----------
23:16:36.998 - ---------- run=42, buffer_size: 54 ----------
23:16:39.234 - ---------- run=43, buffer_size: 54 ----------
23:16:41.269 - ---------- run=44, buffer_size: 52 ----------
23:16:43.610 - ---------- run=45, buffer_size: 52 ----------
23:16:45.843 - ---------- run=46, buffer_size: 55 ----------
23:16:48.125 - ---------- run=47, buffer_size: 52 ----------
23:16:50.712 - ---------- run=48, buffer_size: 52 ----------
23:16:53.195 - ---------- run=49, buffer_size: 54 ----------
23:16:55.793 - ---------- run=50, buffer_size: 53 ----------
23:16:58.066 - ---------- run=51, buffer_size: 53 ----------
23:17:00.324 - ---------- run=52, buffer_size: 53 ----------
23:17:02.927 - ---------- run=53, buffer_size: 52 ----------
23:17:05.171 - ---------- run=54, buffer_size: 52 ----------
23:17:07.779 - ---------- run=55, buffer_size: 53 ----------
23:17:10.186 - ---------- run=56, buffer_size: 52 ----------
23:17:12.330 - ---------- run=57, buffer_size: 53 ----------
