23:19:16.056 - ---------- run=0, buffer_size: 53 ----------
23:19:18.615 - ---------- run=1, buffer_size: 51 ----------
23:19:20.508 - ---------- run=2, buffer_size: 51 ----------
23:19:23.223 - ---------- run=3, buffer_size: 52 ----------
23:19:25.478 - ---------- run=4, buffer_size: 54 ----------
23:19:27.591 - ---------- run=5, buffer_size: 52 ----------
23:19:30.019 - ---------- run=6, buffer_size: 53 ----------
23:19:32.789 - ---------- run=7, buffer_size: 52 ----------
23:19:34.978 - ---------- run=8, buffer_size: 51 ----------
23:19:37.196 - ---------- run=9, buffer_size: 53 ----------
23:19:40.117 - ---------- run=10, buffer_size: 52 ----------
23:19:42.866 - ---------- run=11, buffer_size: 53 ----------
23:19:45.268 - ---------- run=12, buffer_size: 54 ----------
23:19:48.057 - ---------- run=13, buffer_size: 54 ----------
23:19:50.908 - ---------- run=14, buffer_size: 55 ----------
23:19:53.507 - ---------- run=15, buffer_size: 54 ----------
23:19:55.973 - ---------- run=16, buffer_size: 53 ----------
23:19:58.103 - ---------- run=17, buffer_size: 52 ----------
23:20:00.265 - ---------- run=18, buffer_size: 54 ----------
23:20:02.547 - ---------- run=19, buffer_size: 53 ----------
23:20:04.866 - ---------- run=20, buffer_size: 53 ----------
23:20:07.153 - ---------- run=21, buffer_size: 52 ----------
23:20:09.221 - ---------- run=22, buffer_size: 52 ----------
23:20:11.617 - ---------- run=23, buffer_size: 55 ----------
23:20:14.166 - ---------- run=24, buffer_size: 54 ----------
23:20:16.527 - ---------- run=25, buffer_size: 52 ----------
23:20:19.418 - ---------- run=26, buffer_size: 54 ----------
23:20:21.511 - ---------- run=27, buffer_size: 54 ----------
23:20:23.933 - ---------- run=28, buffer_size: 52 ----------
23:20:26.068 - ---------- run=29, buffer_size: 52 ----------
23:20:28.320 - ---------- run=30, buffer_size: 53 ----------
23:20:30.525 - ---------- run=31, buffer_size: 51 ----------
23:20:33.035 - ---------- run=32, buffer_size: 57 ----------
23:20:35.609 - ---------- run=33, buffer_size: 52 ----------
23:20:38.392 - ---------- run=34, buffer_size: 52 ----------
23:20:40.810 - ---------- run=35, buffer_size: 54 ----------
23:20:43.246 - ---------- run=36, buffer_size: 53 ----------
23:20:45.599 - ---------- run=37, buffer_size: 52 ----------
23:20:48.234 - ---------- run=38, buffer_size: 54 ----------
23:20:50.508 - ---------- run=39, buffer_size: 52 ----------
23:20:53.109 - ---------- run=40, buffer_size: 55 ----------
23:20:55.055 - ---------- run=41, buffer_size: 52 ----------
23:20:57.486 - ---------- run=42, buffer_size: 53 ----------
23:20:59.606 - ---------- run=43, buffer_size: 52 ----------
23:21:01.857 - ---------- run=44, buffer_size: 53 ----------
23:21:03.990 - ---------- run=45, buffer_size: 52 ----------
23:21:06.305 - ---------- run=46, buffer_size: 52 ----------
23:21:08.496 - ---------- run=47, buffer_size: 52 ----------
23:21:10.882 - ---------- run=48, buffer_size: 54 ----------
23:21:13.222 - ---------- run=49, buffer_size: 53 ----------
23:21:15.671 - ---------- run=50, buffer_size: 52 ----------
23:21:17.991 - ---------- run=51, buffer_size: 54 ----------
23:21:20.694 - ---------- run=52, buffer_size: 52 ----------
23:21:23.034 - ---------- run=53, buffer_size: 53 ----------
23:21:25.771 - ---------- run=54, buffer_size: 53 ----------
23:21:28.043 - ---------- run=55, buffer_size: 54 ----------
23:21:30.684 - ---------- run=56, buffer_size: 54 ----------
23:21:33.004 - ---------- run=57, buffer_size: 55 ----------
23:21:35.773 - ---------- run=58, buffer_size: 54 ----------
23:21:37.806 - ---------- run=59, buffer_size: 52 ----------
23:21:40.119 - ---------- run=60, buffer_size: 52 ----------
23:21:42.478 - ---------- run=61, buffer_size: 52 ----------
23:21:44.692 - ---------- run=62, buffer_size: 53 ----------
23:21:46.599 - ---------- run=63, buffer_size: 53 ----------
23:21:49.194 - ---------- run=64, buffer_size: 56 ----------
23:21:51.370 - ---------- run=65, buffer_size: 53 ----------
23:21:53.844 - ---------- run=66, buffer_size: 54 ----------
23:21:56.620 - ---------- run=67, buffer_size: 54 ----------
23:21:59.016 - ---------- run=68, buffer_size: 52 ----------
23:22:01.288 - ---------- run=69, buffer_size: 53 ----------
23:22:03.572 - ---------- run=70, buffer_size: 55 ----------
23:22:05.704 - ---------- run=71, buffer_size: 52 ----------
23:22:07.725 - ---------- run=72, buffer_size: 53 ----------
23:22:10.624 - ---------- run=73, buffer_size: 53 ----------
23:22:13.075 - ---------- run=74, buffer_size: 54 ----------
23:22:15.309 - ---------- run=75, buffer_size: 52 ----------
23:22:17.836 - ---------- run=76, buffer_size: 53 ----------
23:22:19.975 - ---------- run=77, buffer_size: 52 ----------
23:22:22.333 - ---------- run=78, buffer_size: 53 ----------
23:22:24.942 - ---------- run=79, buffer_size: 54 ----------
23:22:27.665 - ---------- run=80, buffer_size: 52 ----------
23:22:30.615 - ---------- run=81, buffer_size: 54 ----------
23:22:32.728 - ---------- run=82, buffer_size: 53 ----------
23:22:35.056 - ---------- run=83, buffer_size: 53 ----------
23:22:37.175 - ---------- run=84, buffer_size: 52 ----------
23:22:39.488 - ---------- run=85, buffer_size: 52 ----------
23:22:41.901 - ---------- run=86, buffer_size: 52 ----------
23:22:44.702 - ---------- run=87, buffer_size: 53 ----------
23:22:46.772 - ---------- run=88, buffer_size: 53 ----------
23:22:49.346 - ---------- run=89, buffer_size: 53 ----------
23:22:51.557 - ---------- run=90, buffer_size: 52 ----------
23:22:54.639 - ---------- run=91, buffer_size: 54 ----------
23:22:56.859 - ---------- run=92, buffer_size: 52 ----------
23:22:59.361 - ---------- run=93, buffer_size: 54 ----------
23:23:01.493 - ---------- run=94, buffer_size: 53 ----------
23:23:04.070 - ---------- run=95, buffer_size: 52 ----------
23:23:06.507 - ---------- run=96, buffer_size: 53 ----------
23:23:08.986 - ---------- run=97, buffer_size: 53 ----------
23:23:11.368 - ---------- run=98, buffer_size: 52 ----------
23:23:13.434 - ---------- run=99, buffer_size: 52 ----------
23:23:16.128 - ---------- run=100, buffer_size: 52 ----------
23:23:18.454 - ---------- run=101, buffer_size: 53 ----------
23:23:20.794 - ---------- run=102, buffer_size: 54 ----------
23:23:23.043 - ---------- run=103, buffer_size: 52 ----------
23:23:25.132 - ---------- run=104, buffer_size: 54 ----------
23:23:27.177 - ---------- run=105, buffer_size: 52 ----------
23:23:29.574 - ---------- run=106, buffer_size: 54 ----------
23:23:32.224 - ---------- run=107, buffer_size: 52 ----------
23:23:34.462 - ---------- run=108, buffer_size: 52 ----------
23:23:37.226 - ---------- run=109, buffer_size: 54 ----------
23:23:39.487 - ---------- run=110, buffer_size: 53 ----------
23:23:42.000 - ---------- run=111, buffer_size: 54 ----------
23:23:44.026 - ---------- run=112, buffer_size: 53 ----------
23:23:46.817 - ---------- run=113, buffer_size: 54 ----------
23:23:49.064 - ---------- run=114, buffer_size: 52 ----------
23:23:50.999 - ---------- run=115, buffer_size: 52 ----------
23:23:53.368 - ---------- run=116, buffer_size: 54 ----------
23:23:55.901 - ---------- run=117, buffer_size: 55 ----------
23:23:58.504 - ---------- run=118, buffer_size: 55 ----------
23:24:00.765 - ---------- run=119, buffer_size: 53 ----------
23:24:03.011 - ---------- run=120, buffer_size: 55 ----------
23:24:05.368 - ---------- run=121, buffer_size: 52 ----------
23:24:08.011 - ---------- run=122, buffer_size: 52 ----------
23:24:10.566 - ---------- run=123, buffer_size: 53 ----------
23:24:13.111 - ---------- run=124, buffer_size: 53 ----------
23:24:15.728 - ---------- run=125, buffer_size: 55 ----------
23:24:17.865 - ---------- run=126, buffer_size: 53 ----------
23:24:20.464 - ---------- run=127, buffer_size: 52 ----------
23:24:22.410 - ---------- run=128, buffer_size: 54 ----------
23:24:24.597 - ---------- run=129, buffer_size: 52 ----------
23:24:27.099 - ---------- run=130, buffer_size: 53 ----------
23:24:29.523 - ---------- run=131, buffer_size: 52 ----------
23:24:31.780 - ---------- run=132, buffer_size: 53 ----------
23:24:34.354 - ---------- run=133, buffer_size: 52 ----------
23:24:36.270 - ---------- run=134, buffer_size: 52 ----------
23:24:38.646 - ---------- run=135, buffer_size: 53 ----------
23:24:40.938 - ---------- run=136, buffer_size: 52 ----------
23:24:43.393 - ---------- run=137, buffer_size: 53 ----------
23:24:45.501 - ---------- run=138, buffer_size: 54 ----------
23:24:48.087 - ---------- run=139, buffer_size: 54 ----------
23:24:50.301 - ---------- run=140, buffer_size: 52 ----------
23:24:52.700 - ---------- run=141, buffer_size: 53 ----------
23:24:55.400 - ---------- run=142, buffer_size: 53 ----------
23:24:58.122 - ---------- run=143, buffer_size: 56 ----------
23:25:00.151 - ---------- run=144, buffer_size: 53 ----------
23:25:02.480 - ---------- run=145, buffer_size: 54 ----------
23:25:04.957 - ---------- run=146, buffer_size: 53 ----------
23:25:07.417 - ---------- run=147, buffer_size: 54 ----------
23:25:09.758 - ---------- run=148, buffer_size: 53 ----------
23:25:12.296 - ---------- run=149, buffer_size: 54 ----------
23:25:14.649 - ---------- run=150, buffer_size: 52 ----------
23:25:17.114 - ---------- run=151, buffer_size: 53 ----------
23:25:19.591 - ---------- run=152, buffer_size: 54 ----------
23:25:21.868 - ---------- run=153, buffer_size: 52 ----------
23:25:24.160 - ---------- run=154, buffer_size: 55 ----------
23:25:26.473 - ---------- run=155, buffer_size: 52 ----------
23:25:29.143 - ---------- run=156, buffer_size: 53 ----------
23:25:31.683 - ---------- run=157, buffer_size: 52 ----------
23:25:34.412 - ---------- run=158, buffer_size: 52 ----------
23:25:36.731 - ---------- run=159, buffer_size: 55 ----------
23:25:39.191 - ---------- run=160, buffer_size: 54 ----------
23:25:41.795 - ---------- run=161, buffer_size: 53 ----------
23:25:44.475 - ---------- run=162, buffer_size: 53 ----------
23:25:46.889 - ---------- run=163, buffer_size: 55 ----------
23:25:49.824 - ---------- run=164, buffer_size: 51 ----------
23:25:52.308 - ---------- run=165, buffer_size: 53 ----------
23:25:54.392 - ---------- run=166, buffer_size: 52 ----------
23:25:56.626 - ---------- run=167, buffer_size: 53 ----------
23:25:59.039 - ---------- run=168, buffer_size: 53 ----------
23:26:01.027 - ---------- run=169, buffer_size: 53 ----------
23:26:03.356 - ---------- run=170, buffer_size: 53 ----------
23:26:05.858 - ---------- run=171, buffer_size: 51 ----------
23:26:08.417 - ---------- run=172, buffer_size: 54 ----------
23:26:10.747 - ---------- run=173, buffer_size: 54 ----------
23:26:12.771 - ---------- run=174, buffer_size: 52 ----------
23:26:15.542 - ---------- run=175, buffer_size: 52 ----------
23:26:17.722 - ---------- run=176, buffer_size: 54 ----------
23:26:20.173 - ---------- run=177, buffer_size: 53 ----------
23:26:22.700 - ---------- run=178, buffer_size: 55 ----------
23:26:25.199 - ---------- run=179, buffer_size: 54 ----------
23:26:27.546 - ---------- run=180, buffer_size: 52 ----------
23:26:29.566 - ---------- run=181, buffer_size: 52 ----------
23:26:31.837 - ---------- run=182, buffer_size: 53 ----------
23:26:33.912 - ---------- run=183, buffer_size: 52 ----------
23:26:36.368 - ---------- run=184, buffer_size: 55 ----------
23:26:38.964 - ---------- run=185, buffer_size: 53 ----------
23:26:41.172 - ---------- run=186, buffer_size: 53 ----------
23:26:43.661 - ---------- run=187, buffer_size: 54 ----------
23:26:45.789 - ---------- run=188, buffer_size: 55 ----------
23:26:47.890 - ---------- run=189, buffer_size: 53 ----------
23:26:50.606 - ---------- run=190, buffer_size: 52 ----------
23:26:52.943 - ---------- run=191, buffer_size: 52 ----------
23:26:55.403 - ---------- run=192, buffer_size: 54 ----------
23:26:58.210 - ---------- run=193, buffer_size: 54 ----------
23:27:00.745 - ---------- run=194, buffer_size: 53 ----------
23:27:03.329 - ---------- run=195, buffer_size: 53 ----------
23:27:05.695 - ---------- run=196, buffer_size: 53 ----------
23:27:07.947 - ---------- run=197, buffer_size: 52 ----------
23:27:10.281 - ---------- run=198, buffer_size: 53 ----------
23:27:12.850 - ---------- run=199, buffer_size: 53 ----------
23:27:15.016 - ---------- run=200, buffer_size: 52 ----------
23:27:17.196 - ---------- run=201, buffer_size: 55 ----------
23:27:19.298 - ---------- run=202, buffer_size: 54 ----------
23:27:21.687 - ---------- run=203, buffer_size: 55 ----------
23:27:23.745 - ---------- run=204, buffer_size: 54 ----------
