23:04:35.869 - ---------- run=0, buffer_size: 51 ----------
23:04:38.395 - ---------- run=1, buffer_size: 56 ----------
23:04:40.820 - ---------- run=2, buffer_size: 54 ----------
23:04:43.370 - ---------- run=3, buffer_size: 55 ----------
23:04:45.799 - ---------- run=4, buffer_size: 56 ----------
23:04:46.721 - xxxxxxxxxx run=5 failed
23:04:49.126 - ---------- run=6, buffer_size: 56 ----------
23:04:52.128 - ---------- run=7, buffer_size: 55 ----------
23:04:54.776 - ---------- run=8, buffer_size: 54 ----------
23:04:57.391 - ---------- run=9, buffer_size: 58 ----------
23:05:00.098 - ---------- run=10, buffer_size: 52 ----------
23:05:02.488 - ---------- run=11, buffer_size: 56 ----------
23:05:04.933 - ---------- run=12, buffer_size: 57 ----------
23:05:07.461 - ---------- run=13, buffer_size: 59 ----------
23:05:10.191 - ---------- run=14, buffer_size: 54 ----------
23:05:12.594 - ---------- run=15, buffer_size: 54 ----------
23:05:14.887 - ---------- run=16, buffer_size: 57 ----------
23:05:17.120 - ---------- run=17, buffer_size: 54 ----------
23:05:19.487 - ---------- run=18, buffer_size: 57 ----------
23:05:22.150 - ---------- run=19, buffer_size: 54 ----------
23:05:24.647 - ---------- run=20, buffer_size: 55 ----------
23:05:27.389 - ---------- run=21, buffer_size: 57 ----------
23:05:29.747 - ---------- run=22, buffer_size: 56 ----------
23:05:31.956 - ---------- run=23, buffer_size: 55 ----------
23:05:34.521 - ---------- run=24, buffer_size: 56 ----------
23:05:37.201 - ---------- run=25, buffer_size: 57 ----------
23:05:39.441 - ---------- run=26, buffer_size: 57 ----------
23:05:41.602 - ---------- run=27, buffer_size: 54 ----------
23:05:44.219 - ---------- run=28, buffer_size: 58 ----------
23:05:46.695 - ---------- run=29, buffer_size: 56 ----------
23:05:49.009 - ---------- run=30, buffer_size: 55 ----------
23:05:51.639 - ---------- run=31, buffer_size: 55 ----------
23:05:54.075 - ---------- run=32, buffer_size: 56 ----------
23:05:56.161 - ---------- run=33, buffer_size: 58 ----------
23:05:59.075 - ---------- run=34, buffer_size: 58 ----------
23:06:01.592 - ---------- run=35, buffer_size: 58 ----------
23:06:04.098 - ---------- run=36, buffer_size: 55 ----------
23:06:06.420 - ---------- run=37, buffer_size: 54 ----------
23:06:08.595 - ---------- run=38, buffer_size: 54 ----------
23:06:10.763 - ---------- run=39, buffer_size: 56 ----------
23:06:11.057 - xxxxxxxxxx run=40 failed
23:06:13.575 - ---------- run=41, buffer_size: 55 ----------
23:06:16.675 - ---------- run=42, buffer_size: 59 ----------
23:06:18.758 - ---------- run=43, buffer_size: 55 ----------
23:06:21.302 - ---------- run=44, buffer_size: 58 ----------
23:06:23.983 - ---------- run=45, buffer_size: 55 ----------
23:06:26.370 - ---------- run=46, buffer_size: 58 ----------
23:06:28.772 - ---------- run=47, buffer_size: 54 ----------
23:06:31.464 - ---------- run=48, buffer_size: 61 ----------
23:06:33.643 - ---------- run=49, buffer_size: 56 ----------
23:06:36.232 - ---------- run=50, buffer_size: 54 ----------
23:06:38.881 - ---------- run=51, buffer_size: 59 ----------
23:06:41.325 - ---------- run=52, buffer_size: 57 ----------
23:06:43.621 - ---------- run=53, buffer_size: 55 ----------
23:06:45.724 - xxxxxxxxxx run=54 failed
23:06:48.454 - ---------- run=55, buffer_size: 59 ----------
23:06:50.737 - ---------- run=56, buffer_size: 57 ----------
23:06:53.287 - ---------- run=57, buffer_size: 56 ----------
23:06:55.682 - ---------- run=58, buffer_size: 56 ----------
23:06:58.170 - ---------- run=59, buffer_size: 55 ----------
23:07:00.297 - ---------- run=60, buffer_size: 55 ----------
23:07:00.860 - xxxxxxxxxx run=61 failed
23:07:03.457 - ---------- run=62, buffer_size: 55 ----------
23:07:05.613 - ---------- run=63, buffer_size: 54 ----------
23:07:08.254 - ---------- run=64, buffer_size: 56 ----------
23:07:10.532 - ---------- run=65, buffer_size: 54 ----------
23:07:13.006 - ---------- run=66, buffer_size: 55 ----------
23:07:16.167 - ---------- run=67, buffer_size: 57 ----------
23:07:18.459 - ---------- run=68, buffer_size: 57 ----------
23:07:20.971 - ---------- run=69, buffer_size: 56 ----------
23:07:23.711 - ---------- run=70, buffer_size: 55 ----------
23:07:26.248 - ---------- run=71, buffer_size: 55 ----------
23:07:28.977 - ---------- run=72, buffer_size: 56 ----------
23:07:31.352 - ---------- run=73, buffer_size: 56 ----------
23:07:33.600 - ---------- run=74, buffer_size: 55 ----------
23:07:36.010 - ---------- run=75, buffer_size: 56 ----------
23:07:38.528 - ---------- run=76, buffer_size: 54 ----------
23:07:40.714 - ---------- run=77, buffer_size: 57 ----------
23:07:42.878 - ---------- run=78, buffer_size: 54 ----------
23:07:45.758 - ---------- run=79, buffer_size: 55 ----------
23:07:48.366 - ---------- run=80, buffer_size: 55 ----------
23:07:50.919 - ---------- run=81, buffer_size: 57 ----------
23:07:53.611 - ---------- run=82, buffer_size: 55 ----------
23:07:56.412 - ---------- run=83, buffer_size: 56 ----------
23:07:59.393 - ---------- run=84, buffer_size: 57 ----------
23:08:01.793 - ---------- run=85, buffer_size: 60 ----------
23:08:04.204 - ---------- run=86, buffer_size: 55 ----------
23:08:06.187 - ---------- run=87, buffer_size: 55 ----------
23:08:08.469 - ---------- run=88, buffer_size: 55 ----------
23:08:10.588 - xxxxxxxxxx run=89 failed
23:08:12.652 - ---------- run=90, buffer_size: 55 ----------
23:08:15.453 - ---------- run=91, buffer_size: 59 ----------
23:08:17.935 - ---------- run=92, buffer_size: 56 ----------
23:08:20.300 - ---------- run=93, buffer_size: 55 ----------
23:08:23.114 - ---------- run=94, buffer_size: 54 ----------
23:08:25.509 - ---------- run=95, buffer_size: 55 ----------
23:08:27.995 - ---------- run=96, buffer_size: 56 ----------
23:08:30.406 - ---------- run=97, buffer_size: 57 ----------
23:08:33.219 - ---------- run=98, buffer_size: 57 ----------
23:08:36.017 - ---------- run=99, buffer_size: 55 ----------
23:08:38.261 - ---------- run=100, buffer_size: 56 ----------
23:08:39.699 - xxxxxxxxxx run=101 failed
23:08:42.118 - xxxxxxxxxx run=102 failed
23:08:44.215 - ---------- run=103, buffer_size: 55 ----------
23:08:46.559 - ---------- run=104, buffer_size: 57 ----------
23:08:49.014 - ---------- run=105, buffer_size: 55 ----------
23:08:50.713 - xxxxxxxxxx run=106 failed
23:08:53.126 - ---------- run=107, buffer_size: 58 ----------
23:08:54.584 - xxxxxxxxxx run=108 failed
23:08:56.976 - ---------- run=109, buffer_size: 56 ----------
23:08:59.368 - ---------- run=110, buffer_size: 54 ----------
23:09:01.747 - ---------- run=111, buffer_size: 54 ----------
23:09:04.232 - ---------- run=112, buffer_size: 55 ----------
23:09:05.917 - xxxxxxxxxx run=113 failed
23:09:08.660 - ---------- run=114, buffer_size: 57 ----------
23:09:11.170 - ---------- run=115, buffer_size: 58 ----------
23:09:14.240 - ---------- run=116, buffer_size: 56 ----------
23:09:16.554 - ---------- run=117, buffer_size: 53 ----------
23:09:18.959 - ---------- run=118, buffer_size: 55 ----------
23:09:21.178 - ---------- run=119, buffer_size: 56 ----------
23:09:23.362 - ---------- run=120, buffer_size: 54 ----------
23:09:25.762 - ---------- run=121, buffer_size: 57 ----------
23:09:26.397 - xxxxxxxxxx run=122 failed
23:09:26.772 - xxxxxxxxxx run=123 failed
23:09:29.241 - ---------- run=124, buffer_size: 54 ----------
23:09:31.806 - ---------- run=125, buffer_size: 58 ----------
23:09:34.334 - ---------- run=126, buffer_size: 54 ----------
23:09:36.836 - ---------- run=127, buffer_size: 55 ----------
23:09:39.193 - ---------- run=128, buffer_size: 55 ----------
23:09:42.274 - ---------- run=129, buffer_size: 57 ----------
23:09:45.009 - ---------- run=130, buffer_size: 58 ----------
23:09:47.563 - ---------- run=131, buffer_size: 56 ----------
23:09:50.216 - ---------- run=132, buffer_size: 57 ----------
23:09:52.669 - ---------- run=133, buffer_size: 56 ----------
23:09:55.578 - ---------- run=134, buffer_size: 61 ----------
23:09:57.861 - ---------- run=135, buffer_size: 57 ----------
23:09:58.795 - xxxxxxxxxx run=136 failed
23:10:01.230 - ---------- run=137, buffer_size: 57 ----------
23:10:03.561 - ---------- run=138, buffer_size: 55 ----------
23:10:05.715 - ---------- run=139, buffer_size: 54 ----------
23:10:08.257 - ---------- run=140, buffer_size: 55 ----------
23:10:10.957 - ---------- run=141, buffer_size: 54 ----------
23:10:13.561 - ---------- run=142, buffer_size: 56 ----------
23:10:15.969 - ---------- run=143, buffer_size: 55 ----------
23:10:18.870 - ---------- run=144, buffer_size: 60 ----------
23:10:19.612 - xxxxxxxxxx run=145 failed
23:10:22.012 - ---------- run=146, buffer_size: 58 ----------
23:10:24.641 - ---------- run=147, buffer_size: 55 ----------
23:10:27.207 - ---------- run=148, buffer_size: 54 ----------
23:10:29.982 - ---------- run=149, buffer_size: 58 ----------
23:10:32.430 - ---------- run=150, buffer_size: 57 ----------
23:10:34.678 - xxxxxxxxxx run=151 failed
23:10:37.045 - ---------- run=152, buffer_size: 54 ----------
23:10:40.170 - ---------- run=153, buffer_size: 57 ----------
23:10:42.371 - ---------- run=154, buffer_size: 56 ----------
23:10:44.873 - ---------- run=155, buffer_size: 56 ----------
23:10:47.760 - ---------- run=156, buffer_size: 54 ----------
23:10:50.142 - ---------- run=157, buffer_size: 57 ----------
23:10:52.520 - ---------- run=158, buffer_size: 55 ----------
23:10:55.119 - ---------- run=159, buffer_size: 57 ----------
23:10:55.200 - xxxxxxxxxx run=160 failed
23:10:57.502 - ---------- run=161, buffer_size: 55 ----------
23:11:00.344 - ---------- run=162, buffer_size: 56 ----------
23:11:02.781 - ---------- run=163, buffer_size: 56 ----------
23:11:05.325 - ---------- run=164, buffer_size: 55 ----------
23:11:06.675 - xxxxxxxxxx run=165 failed
23:11:08.792 - ---------- run=166, buffer_size: 56 ----------
23:11:11.281 - ---------- run=167, buffer_size: 55 ----------
23:11:13.702 - ---------- run=168, buffer_size: 55 ----------
23:11:16.122 - ---------- run=169, buffer_size: 57 ----------
23:11:18.635 - ---------- run=170, buffer_size: 55 ----------
23:11:21.352 - ---------- run=171, buffer_size: 55 ----------
23:11:24.166 - ---------- run=172, buffer_size: 57 ----------
23:11:26.025 - ---------- run=173, buffer_size: 54 ----------
23:11:28.432 - ---------- run=174, buffer_size: 55 ----------
23:11:30.568 - ---------- run=175, buffer_size: 55 ----------
23:11:33.169 - ---------- run=176, buffer_size: 56 ----------
23:11:35.680 - ---------- run=177, buffer_size: 55 ----------
23:11:37.038 - xxxxxxxxxx run=178 failed
23:11:39.587 - ---------- run=179, buffer_size: 57 ----------
23:11:42.062 - ---------- run=180, buffer_size: 56 ----------
23:11:44.827 - ---------- run=181, buffer_size: 56 ----------
23:11:47.584 - ---------- run=182, buffer_size: 55 ----------
23:11:50.223 - ---------- run=183, buffer_size: 58 ----------
23:11:52.782 - ---------- run=184, buffer_size: 55 ----------
23:11:55.293 - ---------- run=185, buffer_size: 57 ----------
23:11:57.834 - ---------- run=186, buffer_size: 59 ----------
23:12:00.046 - ---------- run=187, buffer_size: 54 ----------
23:12:02.736 - ---------- run=188, buffer_size: 56 ----------
23:12:02.959 - xxxxxxxxxx run=189 failed
23:12:05.459 - ---------- run=190, buffer_size: 55 ----------
23:12:07.794 - ---------- run=191, buffer_size: 55 ----------
23:12:10.442 - ---------- run=192, buffer_size: 56 ----------
23:12:13.266 - ---------- run=193, buffer_size: 56 ----------
23:12:15.569 - ---------- run=194, buffer_size: 57 ----------
23:12:18.281 - ---------- run=195, buffer_size: 57 ----------
23:12:21.144 - ---------- run=196, buffer_size: 56 ----------
23:12:23.887 - ---------- run=197, buffer_size: 59 ----------
23:12:26.403 - ---------- run=198, buffer_size: 54 ----------
23:12:28.924 - ---------- run=199, buffer_size: 57 ----------
23:12:29.794 - xxxxxxxxxx run=200 failed
23:12:32.247 - ---------- run=201, buffer_size: 55 ----------
23:12:32.802 - xxxxxxxxxx run=202 failed
23:12:35.618 - ---------- run=203, buffer_size: 59 ----------
23:12:38.304 - ---------- run=204, buffer_size: 56 ----------
23:12:40.872 - ---------- run=205, buffer_size: 55 ----------
23:12:43.698 - ---------- run=206, buffer_size: 55 ----------
23:12:46.398 - ---------- run=207, buffer_size: 57 ----------
23:12:48.810 - ---------- run=208, buffer_size: 58 ----------
23:12:51.411 - ---------- run=209, buffer_size: 62 ----------
23:12:53.151 - xxxxxxxxxx run=210 failed
23:12:56.258 - ---------- run=211, buffer_size: 56 ----------
23:12:59.155 - ---------- run=212, buffer_size: 59 ----------
23:13:01.583 - ---------- run=213, buffer_size: 56 ----------
23:13:04.266 - ---------- run=214, buffer_size: 57 ----------
23:13:06.729 - ---------- run=215, buffer_size: 56 ----------
23:13:09.479 - ---------- run=216, buffer_size: 54 ----------
23:13:12.348 - ---------- run=217, buffer_size: 56 ----------
23:13:15.089 - ---------- run=218, buffer_size: 56 ----------
23:13:17.538 - ---------- run=219, buffer_size: 56 ----------
23:13:20.080 - ---------- run=220, buffer_size: 60 ----------
23:13:22.265 - ---------- run=221, buffer_size: 55 ----------
23:13:25.107 - ---------- run=222, buffer_size: 55 ----------
23:13:28.074 - ---------- run=223, buffer_size: 58 ----------
23:13:30.976 - ---------- run=224, buffer_size: 59 ----------
23:13:33.226 - ---------- run=225, buffer_size: 55 ----------
23:13:34.586 - xxxxxxxxxx run=226 failed
23:13:37.183 - ---------- run=227, buffer_size: 58 ----------
23:13:39.876 - ---------- run=228, buffer_size: 55 ----------
23:13:42.086 - ---------- run=229, buffer_size: 55 ----------
23:13:43.778 - xxxxxxxxxx run=230 failed
23:13:45.390 - xxxxxxxxxx run=231 failed
23:13:47.872 - ---------- run=232, buffer_size: 54 ----------
23:13:50.180 - ---------- run=233, buffer_size: 54 ----------
23:13:52.506 - ---------- run=234, buffer_size: 56 ----------
23:13:53.592 - xxxxxxxxxx run=235 failed
23:13:55.868 - xxxxxxxxxx run=236 failed
23:13:58.538 - ---------- run=237, buffer_size: 59 ----------
23:14:01.169 - ---------- run=238, buffer_size: 56 ----------
23:14:04.002 - ---------- run=239, buffer_size: 55 ----------
23:14:06.822 - ---------- run=240, buffer_size: 59 ----------
23:14:09.091 - ---------- run=241, buffer_size: 57 ----------
23:14:11.595 - ---------- run=242, buffer_size: 55 ----------
23:14:13.707 - ---------- run=243, buffer_size: 54 ----------
23:14:16.578 - ---------- run=244, buffer_size: 57 ----------
23:14:18.721 - ---------- run=245, buffer_size: 53 ----------
23:14:21.175 - xxxxxxxxxx run=246 failed
23:14:21.649 - xxxxxxxxxx run=247 failed
23:14:22.511 - xxxxxxxxxx run=248 failed
23:14:24.766 - ---------- run=249, buffer_size: 54 ----------
23:14:27.533 - ---------- run=250, buffer_size: 54 ----------
23:14:30.532 - ---------- run=251, buffer_size: 57 ----------
23:14:32.874 - ---------- run=252, buffer_size: 55 ----------
23:14:34.039 - xxxxxxxxxx run=253 failed
23:14:36.780 - ---------- run=254, buffer_size: 61 ----------
23:14:39.278 - ---------- run=255, buffer_size: 54 ----------
23:14:41.529 - ---------- run=256, buffer_size: 53 ----------
23:14:44.308 - ---------- run=257, buffer_size: 59 ----------
23:14:46.641 - ---------- run=258, buffer_size: 56 ----------
23:14:49.185 - ---------- run=259, buffer_size: 56 ----------
23:14:51.514 - ---------- run=260, buffer_size: 55 ----------
23:14:54.074 - ---------- run=261, buffer_size: 57 ----------
23:14:56.192 - ---------- run=262, buffer_size: 54 ----------
23:14:58.701 - ---------- run=263, buffer_size: 55 ----------
23:15:00.987 - ---------- run=264, buffer_size: 55 ----------
23:15:03.254 - ---------- run=265, buffer_size: 54 ----------
23:15:05.681 - xxxxxxxxxx run=266 failed
23:15:08.623 - ---------- run=267, buffer_size: 55 ----------
23:15:11.366 - ---------- run=268, buffer_size: 58 ----------
23:15:13.602 - ---------- run=269, buffer_size: 55 ----------
23:15:16.595 - ---------- run=270, buffer_size: 63 ----------
23:15:19.509 - ---------- run=271, buffer_size: 57 ----------
23:15:22.381 - ---------- run=272, buffer_size: 57 ----------
23:15:24.933 - ---------- run=273, buffer_size: 55 ----------
23:15:27.353 - ---------- run=274, buffer_size: 58 ----------
23:15:29.851 - ---------- run=275, buffer_size: 55 ----------
23:15:32.616 - ---------- run=276, buffer_size: 56 ----------
23:15:34.863 - ---------- run=277, buffer_size: 55 ----------
23:15:37.343 - ---------- run=278, buffer_size: 57 ----------
23:15:40.193 - ---------- run=279, buffer_size: 56 ----------
23:15:42.558 - ---------- run=280, buffer_size: 56 ----------
23:15:44.779 - ---------- run=281, buffer_size: 54 ----------
23:15:46.901 - ---------- run=282, buffer_size: 54 ----------
23:15:49.295 - ---------- run=283, buffer_size: 54 ----------
23:15:51.706 - ---------- run=284, buffer_size: 56 ----------
23:15:53.884 - ---------- run=285, buffer_size: 58 ----------
23:15:56.266 - ---------- run=286, buffer_size: 55 ----------
23:15:58.517 - ---------- run=287, buffer_size: 56 ----------
23:15:58.650 - xxxxxxxxxx run=288 failed
23:16:00.794 - ---------- run=289, buffer_size: 55 ----------
23:16:03.165 - ---------- run=290, buffer_size: 54 ----------
23:16:06.059 - ---------- run=291, buffer_size: 56 ----------
23:16:08.489 - ---------- run=292, buffer_size: 55 ----------
23:16:09.266 - xxxxxxxxxx run=293 failed
23:16:11.511 - ---------- run=294, buffer_size: 56 ----------
23:16:13.872 - ---------- run=295, buffer_size: 55 ----------
23:16:16.645 - ---------- run=296, buffer_size: 57 ----------
23:16:18.816 - ---------- run=297, buffer_size: 57 ----------
23:16:21.159 - ---------- run=298, buffer_size: 55 ----------
23:16:23.502 - xxxxxxxxxx run=299 failed
23:16:25.923 - ---------- run=300, buffer_size: 55 ----------
23:16:28.156 - ---------- run=301, buffer_size: 53 ----------
23:16:30.750 - ---------- run=302, buffer_size: 56 ----------
23:16:33.407 - ---------- run=303, buffer_size: 58 ----------
23:16:35.659 - ---------- run=304, buffer_size: 56 ----------
23:16:38.455 - ---------- run=305, buffer_size: 61 ----------
23:16:40.671 - ---------- run=306, buffer_size: 55 ----------
23:16:43.228 - ---------- run=307, buffer_size: 54 ----------
23:16:46.032 - ---------- run=308, buffer_size: 57 ----------
23:16:47.284 - xxxxxxxxxx run=309 failed
23:16:49.964 - ---------- run=310, buffer_size: 67 ----------
23:16:52.400 - ---------- run=311, buffer_size: 56 ----------
23:16:54.944 - ---------- run=312, buffer_size: 54 ----------
23:16:57.244 - ---------- run=313, buffer_size: 54 ----------
23:16:59.686 - ---------- run=314, buffer_size: 56 ----------
23:17:02.423 - ---------- run=315, buffer_size: 55 ----------
23:17:04.969 - ---------- run=316, buffer_size: 56 ----------
23:17:07.599 - ---------- run=317, buffer_size: 58 ----------
23:17:10.236 - ---------- run=318, buffer_size: 55 ----------
23:17:12.770 - ---------- run=319, buffer_size: 56 ----------
23:17:15.441 - ---------- run=320, buffer_size: 55 ----------
23:17:17.849 - ---------- run=321, buffer_size: 55 ----------
23:17:20.179 - ---------- run=322, buffer_size: 54 ----------
23:17:21.808 - xxxxxxxxxx run=323 failed
23:17:24.700 - ---------- run=324, buffer_size: 58 ----------
23:17:26.976 - ---------- run=325, buffer_size: 58 ----------
23:17:29.549 - ---------- run=326, buffer_size: 56 ----------
23:17:31.747 - ---------- run=327, buffer_size: 54 ----------
23:17:34.133 - ---------- run=328, buffer_size: 56 ----------
23:17:36.550 - ---------- run=329, buffer_size: 57 ----------
23:17:38.929 - ---------- run=330, buffer_size: 58 ----------
23:17:41.820 - ---------- run=331, buffer_size: 57 ----------
23:17:44.329 - ---------- run=332, buffer_size: 59 ----------
23:17:46.775 - ---------- run=333, buffer_size: 56 ----------
23:17:47.775 - xxxxxxxxxx run=334 failed
23:17:50.014 - ---------- run=335, buffer_size: 56 ----------
23:17:51.859 - ---------- run=336, buffer_size: 53 ----------
23:17:54.254 - ---------- run=337, buffer_size: 55 ----------
23:17:56.987 - ---------- run=338, buffer_size: 57 ----------
23:17:59.055 - xxxxxxxxxx run=339 failed
23:18:01.470 - ---------- run=340, buffer_size: 57 ----------
23:18:04.171 - ---------- run=341, buffer_size: 58 ----------
23:18:06.104 - xxxxxxxxxx run=342 failed
23:18:08.436 - ---------- run=343, buffer_size: 53 ----------
23:18:10.924 - ---------- run=344, buffer_size: 55 ----------
23:18:13.273 - ---------- run=345, buffer_size: 56 ----------
23:18:15.550 - ---------- run=346, buffer_size: 55 ----------
23:18:17.997 - ---------- run=347, buffer_size: 56 ----------
23:18:20.385 - ---------- run=348, buffer_size: 60 ----------
23:18:22.920 - ---------- run=349, buffer_size: 57 ----------
23:18:25.039 - xxxxxxxxxx run=350 failed
23:18:27.842 - ---------- run=351, buffer_size: 62 ----------
23:18:30.121 - ---------- run=352, buffer_size: 55 ----------
23:18:32.418 - ---------- run=353, buffer_size: 55 ----------
23:18:34.997 - ---------- run=354, buffer_size: 57 ----------
23:18:37.311 - ---------- run=355, buffer_size: 58 ----------
23:18:39.319 - ---------- run=356, buffer_size: 57 ----------
23:18:41.518 - ---------- run=357, buffer_size: 56 ----------
23:18:44.204 - ---------- run=358, buffer_size: 58 ----------
23:18:46.520 - ---------- run=359, buffer_size: 53 ----------
23:18:48.791 - ---------- run=360, buffer_size: 55 ----------
23:18:51.368 - ---------- run=361, buffer_size: 58 ----------
23:18:54.113 - ---------- run=362, buffer_size: 57 ----------
23:18:56.533 - ---------- run=363, buffer_size: 56 ----------
23:18:58.958 - ---------- run=364, buffer_size: 54 ----------
23:19:01.102 - ---------- run=365, buffer_size: 59 ----------
23:19:03.781 - ---------- run=366, buffer_size: 57 ----------
23:19:06.365 - ---------- run=367, buffer_size: 56 ----------
23:19:08.911 - ---------- run=368, buffer_size: 54 ----------
23:19:09.654 - xxxxxxxxxx run=369 failed
23:19:12.476 - ---------- run=370, buffer_size: 58 ----------
23:19:14.860 - ---------- run=371, buffer_size: 60 ----------
23:19:17.365 - ---------- run=372, buffer_size: 55 ----------
23:19:19.552 - ---------- run=373, buffer_size: 55 ----------
23:19:22.176 - ---------- run=374, buffer_size: 57 ----------
23:19:23.362 - xxxxxxxxxx run=375 failed
23:19:25.852 - ---------- run=376, buffer_size: 57 ----------
23:19:28.316 - ---------- run=377, buffer_size: 55 ----------
23:19:30.850 - ---------- run=378, buffer_size: 54 ----------
23:19:33.336 - ---------- run=379, buffer_size: 55 ----------
23:19:35.856 - ---------- run=380, buffer_size: 59 ----------
23:19:38.091 - ---------- run=381, buffer_size: 56 ----------
23:19:40.682 - ---------- run=382, buffer_size: 54 ----------
23:19:43.642 - ---------- run=383, buffer_size: 56 ----------
23:19:46.212 - ---------- run=384, buffer_size: 55 ----------
23:19:48.407 - ---------- run=385, buffer_size: 55 ----------
23:19:51.334 - ---------- run=386, buffer_size: 59 ----------
23:19:53.823 - ---------- run=387, buffer_size: 60 ----------
23:19:54.364 - xxxxxxxxxx run=388 failed
23:19:56.646 - ---------- run=389, buffer_size: 55 ----------
23:19:59.178 - ---------- run=390, buffer_size: 57 ----------
23:20:01.823 - ---------- run=391, buffer_size: 55 ----------
23:20:04.368 - ---------- run=392, buffer_size: 57 ----------
23:20:05.160 - xxxxxxxxxx run=393 failed
23:20:07.825 - ---------- run=394, buffer_size: 55 ----------
23:20:10.233 - ---------- run=395, buffer_size: 55 ----------
23:20:12.612 - ---------- run=396, buffer_size: 55 ----------
23:20:15.038 - ---------- run=397, buffer_size: 56 ----------
23:20:17.530 - ---------- run=398, buffer_size: 54 ----------
23:20:17.812 - xxxxxxxxxx run=399 failed
23:20:20.382 - ---------- run=400, buffer_size: 54 ----------
23:20:23.292 - ---------- run=401, buffer_size: 55 ----------
23:20:25.681 - ---------- run=402, buffer_size: 54 ----------
23:20:28.152 - ---------- run=403, buffer_size: 56 ----------
23:20:30.124 - ---------- run=404, buffer_size: 54 ----------
