03:26:08.958 - ---------- run=0, count=234 ----------
03:26:11.198 - ---------- run=1, count=102 ----------
03:26:13.664 - ---------- run=2, count=112 ----------
03:26:15.860 - ---------- run=3, count=100 ----------
03:26:18.137 - ---------- run=4, count=103 ----------
03:26:20.682 - ---------- run=5, count=116 ----------
03:26:23.309 - ---------- run=6, count=119 ----------
03:26:25.817 - ---------- run=7, count=114 ----------
03:26:28.228 - ---------- run=8, count=110 ----------
03:26:31.027 - ---------- run=9, count=127 ----------
03:26:33.322 - ---------- run=10, count=104 ----------
03:26:35.791 - ---------- run=11, count=112 ----------
03:26:38.085 - ---------- run=12, count=104 ----------
03:26:40.457 - ---------- run=13, count=108 ----------
03:26:42.960 - ---------- run=14, count=113 ----------
03:26:45.159 - ---------- run=15, count=100 ----------
03:26:47.846 - ---------- run=16, count=122 ----------
03:26:50.549 - ---------- run=17, count=123 ----------
03:26:53.132 - ---------- run=18, count=118 ----------
03:26:54.952 - ---------- run=19, count=83 ----------
03:26:57.553 - ---------- run=20, count=118 ----------
03:27:00.000 - ---------- run=21, count=111 ----------
03:27:02.651 - ---------- run=22, count=121 ----------
03:27:05.119 - ---------- run=23, count=112 ----------
03:27:07.459 - ---------- run=24, count=106 ----------
03:27:09.885 - ---------- run=25, count=110 ----------
03:27:12.228 - ---------- run=26, count=107 ----------
03:27:14.922 - ---------- run=27, count=122 ----------
03:27:17.796 - ---------- run=28, count=130 ----------
03:27:20.081 - ---------- run=29, count=103 ----------
03:27:22.325 - ---------- run=30, count=102 ----------
03:27:25.455 - ---------- run=31, count=143 ----------
03:27:27.652 - ---------- run=32, count=99 ----------
03:27:29.860 - ---------- run=33, count=101 ----------
03:27:32.395 - ---------- run=34, count=115 ----------
03:27:34.782 - ---------- run=35, count=108 ----------
03:27:37.134 - ---------- run=36, count=107 ----------
03:27:39.379 - ---------- run=37, count=102 ----------
03:27:42.001 - ---------- run=38, count=120 ----------
03:27:44.680 - ---------- run=39, count=121 ----------
03:27:46.849 - ---------- run=40, count=99 ----------
03:27:49.445 - ---------- run=41, count=118 ----------
03:27:51.940 - ---------- run=42, count=113 ----------
03:27:54.106 - ---------- run=43, count=99 ----------
03:27:56.532 - ---------- run=44, count=110 ----------
03:27:59.215 - ---------- run=45, count=122 ----------
03:28:01.765 - ---------- run=46, count=116 ----------
03:28:04.357 - ---------- run=47, count=118 ----------
03:28:06.912 - ---------- run=48, count=116 ----------
03:28:09.156 - ---------- run=49, count=102 ----------
03:28:11.265 - ---------- run=50, count=96 ----------
03:28:13.797 - ---------- run=51, count=115 ----------
03:28:16.257 - ---------- run=52, count=111 ----------
03:28:18.631 - ---------- run=53, count=108 ----------
03:28:20.756 - ---------- run=54, count=97 ----------
03:28:23.060 - ---------- run=55, count=105 ----------
03:28:25.719 - ---------- run=56, count=121 ----------
03:28:28.568 - ---------- run=57, count=129 ----------
03:28:31.238 - ---------- run=58, count=121 ----------
03:28:33.772 - ---------- run=59, count=115 ----------
03:28:35.896 - ---------- run=60, count=96 ----------
03:28:38.121 - ---------- run=61, count=101 ----------
03:28:40.504 - ---------- run=62, count=108 ----------
03:28:43.060 - ---------- run=63, count=117 ----------
03:28:45.774 - ---------- run=64, count=123 ----------
03:28:48.198 - ---------- run=65, count=110 ----------
03:28:50.343 - ---------- run=66, count=98 ----------
03:28:52.431 - ---------- run=67, count=94 ----------
03:28:54.559 - ---------- run=68, count=97 ----------
03:28:57.358 - ---------- run=69, count=127 ----------
03:28:59.706 - ---------- run=70, count=107 ----------
03:29:02.307 - ---------- run=71, count=119 ----------
03:29:04.899 - ---------- run=72, count=117 ----------
03:29:07.286 - ---------- run=73, count=109 ----------
03:29:09.483 - ---------- run=74, count=100 ----------
03:29:11.700 - ---------- run=75, count=101 ----------
03:29:13.706 - ---------- run=76, count=91 ----------
03:29:16.033 - ---------- run=77, count=105 ----------
03:29:18.434 - ---------- run=78, count=109 ----------
03:29:20.857 - ---------- run=79, count=111 ----------
03:29:23.095 - ---------- run=80, count=101 ----------
03:29:25.127 - ---------- run=81, count=93 ----------
03:29:27.663 - ---------- run=82, count=115 ----------
03:29:30.160 - ---------- run=83, count=113 ----------
03:29:32.555 - ---------- run=84, count=109 ----------
03:29:35.169 - ---------- run=85, count=119 ----------
03:29:37.611 - ---------- run=86, count=111 ----------
03:29:39.791 - ---------- run=87, count=99 ----------
03:29:42.239 - ---------- run=88, count=111 ----------
03:29:44.955 - ---------- run=89, count=124 ----------
03:29:47.248 - ---------- run=90, count=104 ----------
03:29:49.557 - ---------- run=91, count=105 ----------
03:29:51.954 - ---------- run=92, count=109 ----------
03:29:54.787 - ---------- run=93, count=129 ----------
03:29:57.240 - ---------- run=94, count=111 ----------
03:29:59.824 - ---------- run=95, count=118 ----------
03:30:02.507 - ---------- run=96, count=122 ----------
03:30:04.655 - ---------- run=97, count=97 ----------
03:30:07.033 - ---------- run=98, count=108 ----------
03:30:09.141 - ---------- run=99, count=96 ----------
03:30:11.353 - ---------- run=100, count=101 ----------
03:30:13.524 - ---------- run=101, count=98 ----------
03:30:15.836 - ---------- run=102, count=106 ----------
03:30:18.079 - ---------- run=103, count=102 ----------
03:30:20.568 - ---------- run=104, count=113 ----------
03:30:22.864 - ---------- run=105, count=104 ----------
03:30:25.631 - ---------- run=106, count=126 ----------
03:30:28.151 - ---------- run=107, count=115 ----------
03:30:30.801 - ---------- run=108, count=120 ----------
03:30:33.088 - ---------- run=109, count=104 ----------
03:30:35.467 - ---------- run=110, count=108 ----------
03:30:37.722 - ---------- run=111, count=103 ----------
03:30:39.841 - ---------- run=112, count=96 ----------
03:30:41.972 - ---------- run=113, count=97 ----------
03:30:44.102 - ---------- run=114, count=97 ----------
03:30:46.612 - ---------- run=115, count=114 ----------
03:30:49.582 - ---------- run=116, count=135 ----------
03:30:51.898 - ---------- run=117, count=106 ----------
03:30:54.022 - ---------- run=118, count=96 ----------
03:30:56.379 - ---------- run=119, count=107 ----------
03:30:59.089 - ---------- run=120, count=124 ----------
03:31:01.780 - ---------- run=121, count=122 ----------
03:31:04.063 - ---------- run=122, count=104 ----------
03:31:06.579 - ---------- run=123, count=114 ----------
03:31:08.944 - ---------- run=124, count=108 ----------
03:31:11.057 - ---------- run=125, count=96 ----------
03:31:13.726 - ---------- run=126, count=121 ----------
03:31:16.249 - ---------- run=127, count=115 ----------
